Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,23823,1964,1.30 [1.21-1.41],7.667551901394079e-12
ADGRE1,Adhesion G protein-coupled receptor E1,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,20977,115,2.35 [1.79-3.09],7.38897451758875e-10
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter IX Diseases of the circulatory system,"Hypertension, portal",24373,49,5.25 [3.89-7.08],1.481255961380907e-27
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter IX Diseases of the circulatory system,Oesophageal varices,23375,31,5.04 [3.44-7.38],9.860478496527023e-17
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter IX Diseases of the circulatory system,Other other unspecified disorders of the circulatory system,23874,41,3.80 [2.66-5.43],2.2816656355994e-13
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",24399,75,3.79 [2.90-4.95],1.7662752524272357e-22
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter XI Diseases of the digestive system,Diseases of liver,24423,658,1.60 [1.41-1.82],2.3519922865564813e-13
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,23858,93,3.60 [2.82-4.59],4.96608464670281e-25
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter XI Diseases of the digestive system,Other diseases of liver,24294,529,1.70 [1.48-1.96],3.7399452039650744e-14
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,24156,143,2.30 [1.82-2.91],4.774077411240202e-12
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,24067,755,1.52 [1.35-1.71],3.654753975149213e-12
ADGRE1,Adhesion G protein-coupled receptor E1,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,24374,1336,1.38 [1.26-1.51],2.2881574488120208e-12
