Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,27430,2772,1.31 [1.20-1.42],5.658653033439557e-10
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27687,2092,1.75 [1.60-1.93],9.868536900454916e-32
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,28011,998,1.55 [1.36-1.78],1.9361876686827437e-10
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26946,642,1.99 [1.68-2.36],8.665913444122234e-16
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,26061,622,2.46 [2.09-2.90],7.775424137665404e-27
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,21025,1219,1.67 [1.48-1.89],2.2557733128499165e-16
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,26065,286,2.57 [2.01-3.28],2.871516681035705e-14
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27539,610,1.80 [1.52-2.13],1.178389890287092e-11
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,28223,707,1.81 [1.55-2.12],1.0759070129545421e-13
OGN,Mimecan,Chapter I Certain infectious and parasitic diseases,Other septicaemia,28137,621,1.93 [1.64-2.28],7.919987589653064e-15
OGN,Mimecan,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,26877,57,7.80 [5.36-11.36],7.675451960897358e-27
OGN,Mimecan,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,27511,2278,1.58 [1.44-1.73],1.3162685115520054e-22
OGN,Mimecan,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,27878,1058,1.94 [1.70-2.20],1.865707826148806e-23
OGN,Mimecan,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,27878,1058,1.94 [1.70-2.20],1.865707826148806e-23
OGN,Mimecan,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,28224,279,2.43 [1.90-3.10],8.715380879842099e-13
OGN,Mimecan,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,28059,114,4.95 [3.59-6.82],1.4303347265301252e-22
OGN,Mimecan,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,24270,130,6.68 [5.06-8.82],9.57594023947505e-41
OGN,Mimecan,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,24306,166,4.71 [3.57-6.21],4.438388524366993e-28
