Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SCRG1,Scrapie-responsive protein 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),24055,1831,1.70 [1.50-1.93],2.662977681285352e-16
SCRG1,Scrapie-responsive protein 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,22608,530,2.25 [1.88-2.68],2.813147973088283e-19
SCRG1,Scrapie-responsive protein 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,18219,1062,1.76 [1.47-2.10],8.314752391435284e-10
SCRG1,Scrapie-responsive protein 1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,22627,247,2.31 [1.82-2.94],6.202176970417924e-12
SCRG1,Scrapie-responsive protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of calcium metabolism,21114,166,2.78 [2.19-3.52],2.823035294257078e-17
SCRG1,Scrapie-responsive protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,24539,232,2.43 [1.88-3.15],1.585492520656928e-11
SCRG1,Scrapie-responsive protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,24400,93,3.08 [2.31-4.09],1.0634520859700794e-14
SCRG1,Scrapie-responsive protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,21063,115,3.13 [2.43-4.04],1.0961879704699445e-18
SCRG1,Scrapie-responsive protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,21085,137,2.72 [2.17-3.40],3.061634510735677e-18
SCRG1,Scrapie-responsive protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,24394,87,3.18 [2.41-4.19],3.115894115369133e-16
SCRG1,Scrapie-responsive protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",21747,799,1.87 [1.56-2.24],1.2272161964936055e-11
SCRG1,Scrapie-responsive protein 1,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",19062,81,4.26 [2.86-6.36],1.1806691939292288e-12
SCRG1,Scrapie-responsive protein 1,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,19022,41,7.86 [6.01-10.27],2.7471232443279004e-51
SCRG1,Scrapie-responsive protein 1,Chapter IX Diseases of the circulatory system,Hypotension,24538,611,1.91 [1.56-2.34],2.65622492920218e-10
SCRG1,Scrapie-responsive protein 1,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,24403,541,2.02 [1.65-2.47],7.724310752173927e-12
SCRG1,Scrapie-responsive protein 1,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",23224,440,2.19 [1.78-2.69],8.41133242711322e-14
SCRG1,Scrapie-responsive protein 1,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,22767,525,2.27 [1.82-2.83],2.877093383880186e-13
SCRG1,Scrapie-responsive protein 1,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,24223,139,2.57 [1.93-3.42],1.1335683782729032e-10
SCRG1,Scrapie-responsive protein 1,Chapter IX Diseases of the circulatory system,Secondary right heart disease,24220,136,2.58 [1.93-3.43],1.0255476806386239e-10
SCRG1,Scrapie-responsive protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,22963,4173,1.40 [1.27-1.55],5.937414228096155e-11
SCRG1,Scrapie-responsive protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,19138,348,3.02 [2.41-3.79],8.4458651257731815e-22
SCRG1,Scrapie-responsive protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",24577,338,2.40 [1.96-2.94],1.7565922443875374e-17
SCRG1,Scrapie-responsive protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,20378,1588,1.65 [1.42-1.92],3.727177916190516e-11
SCRG1,Scrapie-responsive protein 1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,24158,756,2.28 [1.97-2.63],1.6731659221752654e-29
SCRG1,Scrapie-responsive protein 1,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,23971,569,2.96 [2.68-3.28],3.157173229155041e-96
SCRG1,Scrapie-responsive protein 1,Chapter XIV Diseases of the genitourinary system,Dialysis,23445,43,4.57 [3.63-5.74],1.11702583339869e-38
SCRG1,Scrapie-responsive protein 1,Chapter XIV Diseases of the genitourinary system,Hydronephrosis,23323,200,2.40 [1.82-3.16],5.053104697266828e-10
SCRG1,Scrapie-responsive protein 1,Chapter XIV Diseases of the genitourinary system,Other obstructive and reflux uropathy,23353,230,2.41 [1.85-3.14],5.8088666673563785e-11
SCRG1,Scrapie-responsive protein 1,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,24463,1340,2.37 [2.14-2.63],1.899348684949652e-61
SCRG1,Scrapie-responsive protein 1,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,23462,60,4.50 [3.01-6.70],1.7074521525887788e-13
