Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",27971,107,1.87 [0.94-3.73],0.0738542194644863
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",28551,150,1.51 [0.83-2.73],0.1746645543964678
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",28298,1023,1.26 [1.00-1.59],0.0507629706637882
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Candidiasis,28585,309,1.40 [0.93-2.13],0.1104446077304257
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,27782,2818,1.12 [0.97-1.29],0.11581073345658
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),28036,2117,1.38 [1.18-1.62],6.961113072769906e-05
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,28366,1023,1.21 [0.96-1.53],0.1085021752573325
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,28495,45,2.19 [0.79-6.07],0.1331127027697955
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,27294,650,1.46 [1.09-1.95],0.0101988474756216
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,26391,628,1.87 [1.40-2.50],1.9814518328156763e-05
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,26645,175,2.16 [1.26-3.69],0.0049256854947841
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,21291,1229,1.45 [1.18-1.79],0.0004859976294261
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,26397,290,2.44 [1.62-3.68],1.939621824684022e-05
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,28535,1192,1.23 [1.00-1.53],0.054033180936895
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Mycoses,28647,371,1.46 [1.00-2.14],0.0483619372706407
CA4,Carbonic anhydrase 4,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27897,622,1.64 [1.22-2.20],0.0009261284333147
