Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",27564,109,1.08 [0.91-1.29],0.368239298430692
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",28137,148,0.99 [0.85-1.15],0.8827203110069218
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27889,1008,1.04 [0.98-1.10],0.1592245460082323
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Candidiasis,28171,306,1.02 [0.92-1.14],0.6754418941048819
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,27382,2782,1.04 [1.01-1.08],0.0245709184247762
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27628,2096,1.03 [0.99-1.07],0.1836406528448778
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,27955,1007,1.03 [0.97-1.09],0.3863710255359089
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,28083,45,0.80 [0.59-1.08],0.1404791963828396
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26891,644,0.99 [0.92-1.07],0.861327430029727
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,26012,627,1.04 [0.96-1.11],0.3371897299099056
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,26251,175,1.04 [0.91-1.20],0.5350136307840829
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,20973,1219,1.06 [1.01-1.12],0.0205968519955007
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,26006,287,1.04 [0.94-1.16],0.4588242806921798
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,28122,1174,1.02 [0.97-1.08],0.4504601259648257
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Mycoses,28233,368,1.00 [0.91-1.10],0.9702229032193956
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27493,612,1.09 [1.01-1.17],0.0193160010399252
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,28169,714,1.01 [0.95-1.09],0.7040692916342242
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,27098,150,0.98 [0.85-1.14],0.8232539693241328
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,28275,32,1.25 [0.94-1.66],0.1256462701691604
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Other septicaemia,28077,622,0.99 [0.92-1.07],0.7872374469988702
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,28112,74,1.14 [0.93-1.39],0.1998861412458855
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Other viral diseases,28184,176,1.25 [1.11-1.42],0.0002817436271878
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",28168,160,1.25 [1.10-1.42],0.0006405073883804
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,27217,336,1.03 [0.93-1.14],0.5814469883585869
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,27127,246,1.04 [0.93-1.17],0.4739361883023586
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,27029,81,0.99 [0.80-1.21],0.8870538754052806
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,28248,55,0.96 [0.75-1.24],0.7580315435210244
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,28211,133,1.06 [0.90-1.23],0.4938307112245593
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Viral warts,28123,45,0.91 [0.68-1.21],0.5160900903268486
CXCL1,Growth-regulated alpha protein,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],28129,51,1.14 [0.89-1.45],0.2910816509428169
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign lipomatous neoplasm,27983,318,1.09 [0.99-1.21],0.0728213305525231
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,28184,76,1.16 [0.96-1.41],0.1301289604034184
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,28163,81,1.14 [0.94-1.38],0.1736664805683143
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,12605,44,1.07 [0.81-1.42],0.6391388357194651
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",28076,1206,1.00 [0.95-1.06],0.8713885790712524
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm of meninges,28264,50,1.14 [0.89-1.44],0.3021367325220583
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,28238,51,0.94 [0.72-1.22],0.6326650379783793
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,28252,94,0.93 [0.77-1.13],0.4674316329513438
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm of ovary,15607,100,0.90 [0.75-1.09],0.2781513219444325
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm: Ascending colon,28268,284,0.95 [0.85-1.07],0.3987037407201748
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm: Caecum,28264,210,0.97 [0.85-1.11],0.6752466166669011
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",28205,60,0.74 [0.56-0.96],0.0228404601294511
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm: Descending colon,28267,180,1.02 [0.89-1.17],0.7774553504844904
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm: Rectum,28229,297,1.03 [0.93-1.15],0.5553141671441169
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,28198,557,0.98 [0.90-1.06],0.6106902103848701
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Benign neoplasm: Transverse colon,28269,318,1.04 [0.94-1.15],0.4670058075008954
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Carcinoma in situ of breast,13407,89,0.79 [0.64-0.97],0.0262510455375498
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",13453,100,0.89 [0.74-1.08],0.2423442035296429
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",24410,31,0.77 [0.53-1.12],0.1781204053513601
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",24419,40,1.17 [0.89-1.53],0.2683881827647407
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",28231,115,0.97 [0.82-1.16],0.7645189378872852
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Haemangioma, any site",28231,113,0.97 [0.81-1.15],0.7184678602158747
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Leiomyoma of uterus,14960,424,1.11 [1.02-1.20],0.0163477947012537
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Lung cancer and mesothelioma,21003,177,0.99 [0.85-1.15],0.9053576202194108
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Lymphoid leukaemia,24409,30,0.91 [0.64-1.30],0.5932522519377896
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",24529,150,0.99 [0.85-1.16],0.9439690833198932
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",24469,90,1.12 [0.93-1.35],0.2450894461516023
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",13510,85,0.99 [0.81-1.20],0.8874177496267349
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",24433,54,1.10 [0.86-1.40],0.436845460656692
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",24449,70,1.01 [0.80-1.26],0.950746641250491
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",24452,73,1.33 [1.11-1.60],0.0020664449932461
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of ovary, excluding all cancers (controls excluding all cancers)",13480,55,0.98 [0.77-1.25],0.886954835219506
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)",24438,59,1.06 [0.84-1.33],0.6293175637522843
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",11375,421,0.99 [0.90-1.09],0.8715113733199638
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",24471,92,0.99 [0.81-1.20],0.9043362891340532
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",24436,57,1.27 [1.03-1.57],0.0273490638017662
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,24444,65,0.86 [0.67-1.10],0.2370047972943814
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Melanocytic naevi,28026,218,1.09 [0.97-1.23],0.1649988062367505
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Melanocytic naevi of trunk,28222,98,1.14 [0.96-1.36],0.1367331116807328
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,Melanoma in situ,24394,52,1.03 [0.79-1.33],0.841130330308046
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",24440,61,1.11 [0.88-1.40],0.3653360907796403
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",24499,120,1.07 [0.90-1.26],0.4435766448209151
CXCL1,Growth-regulated alpha protein,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",24498,119,0.99 [0.83-1.17],0.8725569525473676
