Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",27652,105,2.11 [1.20-3.71],0.0091347476866487
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",28231,147,1.38 [0.85-2.23],0.1932999758983351
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27975,1005,1.21 [1.01-1.46],0.0407434967900987
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Candidiasis,28264,308,1.14 [0.82-1.59],0.4489773564229278
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,27468,2786,1.19 [1.06-1.33],0.0028073609489038
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27717,2101,1.38 [1.21-1.57],1.4012870372182432e-06
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,28047,1006,1.18 [0.98-1.43],0.0738544390769026
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,28174,43,3.53 [1.54-8.11],0.0028934303071038
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26981,647,1.48 [1.17-1.87],0.0011015713843504
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,26091,624,2.04 [1.62-2.59],2.456925515753101e-09
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,26339,175,1.77 [1.13-2.77],0.0129550815640852
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,21053,1221,1.48 [1.25-1.76],5.399127499619267e-06
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,26094,288,2.59 [1.84-3.66],5.833542720931185e-08
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,28215,1174,1.16 [0.98-1.38],0.0941979261116723
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Mycoses,28325,369,1.15 [0.85-1.56],0.372185671571513
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,27580,610,1.69 [1.33-2.14],1.758171825077403e-05
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,28261,714,1.40 [1.12-1.74],0.0027788310400717
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,27190,149,1.33 [0.82-2.16],0.2466290040842041
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,28365,33,1.61 [0.58-4.45],0.3571985967868533
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Other septicaemia,28172,625,1.43 [1.13-1.81],0.0031586506762581
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,28206,75,1.24 [0.63-2.43],0.5343428698765726
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Other viral diseases,28269,171,1.66 [1.06-2.61],0.0271438075513353
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",28255,157,1.78 [1.11-2.84],0.016916037738373
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,27308,338,1.14 [0.83-1.57],0.4208024283854898
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,27217,247,1.14 [0.78-1.67],0.4969585209168983
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,27122,81,1.18 [0.61-2.26],0.6249590726678788
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,28336,53,2.22 [1.01-4.86],0.0460013948589063
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,28302,133,2.26 [1.37-3.73],0.0014469491886441
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Viral warts,28215,46,4.05 [1.85-8.87],0.0004568762479081
KLK6,Kallikrein-6,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],28219,50,0.80 [0.35-1.82],0.5969424047558048
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign lipomatous neoplasm,28070,319,1.20 [0.86-1.67],0.2753137997423381
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,28272,76,1.18 [0.60-2.33],0.6259945601644937
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,28252,79,0.78 [0.41-1.51],0.4649500460507789
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,12638,44,1.84 [0.75-4.50],0.1812697317417281
KLK6,Kallikrein-6,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",28168,1206,1.13 [0.95-1.34],0.1585691060251272
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm of meninges,28353,50,0.60 [0.28-1.32],0.2079099171478591
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,28328,52,1.88 [0.83-4.23],0.1287374572718793
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,28344,95,0.96 [0.53-1.74],0.8851959801300731
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm of ovary,15663,101,0.70 [0.40-1.25],0.2286438819739639
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm: Ascending colon,28358,282,1.59 [1.12-2.25],0.0094732505855555
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm: Caecum,28354,211,1.08 [0.72-1.62],0.7003983257706624
KLK6,Kallikrein-6,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",28296,59,0.88 [0.41-1.85],0.7273063150329714
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm: Descending colon,28357,180,1.02 [0.66-1.57],0.9275016340120392
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm: Rectum,28321,301,1.00 [0.71-1.40],0.9912190512553676
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,28289,554,1.24 [0.97-1.60],0.0903502761213704
KLK6,Kallikrein-6,Chapter II Neoplasms,Benign neoplasm: Transverse colon,28358,323,1.02 [0.74-1.42],0.8910940598640871
KLK6,Kallikrein-6,Chapter II Neoplasms,Carcinoma in situ of breast,13469,90,1.07 [0.57-2.02],0.8400937576593184
KLK6,Kallikrein-6,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",13516,102,0.56 [0.31-1.00],0.0519341353987188
KLK6,Kallikrein-6,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",24500,32,1.50 [0.53-4.28],0.4468355599099939
KLK6,Kallikrein-6,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",24505,37,0.85 [0.33-2.23],0.741347386647222
KLK6,Kallikrein-6,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",28324,113,0.79 [0.46-1.36],0.3896445078273201
KLK6,Kallikrein-6,Chapter II Neoplasms,"Haemangioma, any site",28324,112,0.78 [0.45-1.35],0.3839137620734424
KLK6,Kallikrein-6,Chapter II Neoplasms,Leiomyoma of uterus,15022,424,0.96 [0.72-1.28],0.7809377575742976
KLK6,Kallikrein-6,Chapter II Neoplasms,Lung cancer and mesothelioma,21082,177,0.71 [0.46-1.10],0.1225283512646387
KLK6,Kallikrein-6,Chapter II Neoplasms,Lymphoid leukaemia,24497,29,1.76 [0.59-5.31],0.3128780284594117
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",24620,152,1.21 [0.74-1.98],0.4421868524539986
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",24556,88,0.53 [0.31-0.88],0.0154017086687941
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",13572,85,1.72 [0.90-3.30],0.1020765210039538
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",24521,53,1.27 [0.57-2.86],0.5555958561653451
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",24538,70,1.22 [0.60-2.48],0.584426119485103
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",24538,70,1.39 [0.69-2.77],0.3552742009613666
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of ovary, excluding all cancers (controls excluding all cancers)",13543,56,1.60 [0.72-3.57],0.2466009775127295
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)",24525,57,1.60 [0.73-3.51],0.238570615831089
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",11405,424,0.92 [0.69-1.22],0.5489490691725483
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",24561,93,1.10 [0.60-2.04],0.7512069341138383
KLK6,Kallikrein-6,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",24524,56,1.22 [0.55-2.68],0.6242954124333551
KLK6,Kallikrein-6,Chapter II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,24534,66,1.32 [0.63-2.77],0.463284759318551
KLK6,Kallikrein-6,Chapter II Neoplasms,Melanocytic naevi,28117,220,1.35 [0.90-2.01],0.1487401335347626
KLK6,Kallikrein-6,Chapter II Neoplasms,Melanocytic naevi of trunk,28313,99,1.15 [0.63-2.10],0.642653200885797
KLK6,Kallikrein-6,Chapter II Neoplasms,Melanoma in situ,24484,53,0.76 [0.34-1.74],0.5206428886616581
KLK6,Kallikrein-6,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",24526,58,0.77 [0.36-1.64],0.4983732109024961
KLK6,Kallikrein-6,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",24588,120,0.95 [0.55-1.62],0.842211744649352
KLK6,Kallikrein-6,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",24589,121,0.66 [0.39-1.14],0.1366581654683279
KLK6,Kallikrein-6,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",24536,68,1.75 [0.85-3.59],0.1269627045349841
KLK6,Kallikrein-6,Chapter II Neoplasms,Other benign neoplasms of skin,28180,143,1.53 [0.93-2.51],0.0928460491741265
KLK6,Kallikrein-6,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",25134,666,1.42 [1.12-1.79],0.0032415041040908
KLK6,Kallikrein-6,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",25167,699,1.40 [1.12-1.76],0.0036766483128901
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,28086,288,1.23 [0.87-1.74],0.2490070452336631
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,26908,59,12.38 [6.74-22.75],5.090389106475297e-16
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,27868,70,0.49 [0.26-0.92],0.0253312503569267
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,27545,2289,1.25 [1.10-1.42],0.0004130598664507
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,27145,25,2.47 [0.80-7.59],0.1157569306306335
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,28005,36,1.89 [0.72-4.96],0.1948999623431641
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,27908,1059,1.34 [1.12-1.61],0.0015917118448063
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,27908,1059,1.34 [1.12-1.61],0.0015917118448063
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,26908,59,2.34 [1.08-5.07],0.0302793623227041
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,28076,956,1.35 [1.11-1.63],0.0021507847414677
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other coagulation defects,28084,115,1.86 [1.08-3.21],0.0255191189315887
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,27853,55,2.16 [1.01-4.62],0.0480514006624696
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,27841,43,1.41 [0.58-3.45],0.4533906336657932
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,28165,196,1.35 [0.88-2.05],0.1668341116349708
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Sarcoidosis,28285,72,1.62 [0.81-3.22],0.1709983918851522
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",28134,165,1.47 [0.93-2.32],0.1001099117128212
KLK6,Kallikrein-6,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,27195,75,1.51 [0.76-3.00],0.2366668267376794
KLK6,Kallikrein-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,24385,216,1.67 [1.11-2.50],0.0136106877367359
KLK6,Kallikrein-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,26393,127,0.48 [0.30-0.78],0.002784620636814
KLK6,Kallikrein-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,26408,142,0.61 [0.39-0.96],0.0324921494190908
KLK6,Kallikrein-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Alkalosis,24207,38,0.43 [0.23-0.83],0.0121333632379813
KLK6,Kallikrein-6,"Chapter IV Endocrine, nutritional and metabolic diseases",Bipolar affective disorders,26339,71,2.33 [1.19-4.59],0.0140812845354551
