Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",27619,103,0.95 [0.75-1.20],0.6819722243964954
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",28191,143,0.97 [0.80-1.18],0.7592012119586664
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",27938,1009,1.02 [0.95-1.10],0.5323958094217411
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Candidiasis,28224,308,1.09 [0.95-1.24],0.2188105483892519
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,27430,2772,1.06 [1.02-1.11],0.0058836282782338
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),27687,2092,1.06 [1.00-1.11],0.0350978378244609
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,28011,998,1.04 [0.97-1.12],0.2657202379235627
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,28139,43,1.08 [0.76-1.54],0.669022604594363
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,26946,642,1.14 [1.04-1.25],0.0039225128039233
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,26061,622,1.11 [1.02-1.22],0.0216991250807538
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,26307,175,1.28 [1.08-1.52],0.0050963383376786
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,21025,1219,1.09 [1.02-1.16],0.01571758669509
NID2,Nidogen-2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,26065,286,1.12 [0.97-1.28],0.1143795622331503
