Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22268,4232,1.09 [1.05-1.14],3.26042740125639e-05
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22211,4291,1.11 [1.06-1.15],9.442533959056688e-07
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20218,1303,1.16 [1.08-1.25],7.5541835409262e-05
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19503,1584,1.17 [1.10-1.26],1.888189728599256e-06
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14974,2738,1.14 [1.08-1.19],1.1390925727780669e-06
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23049,1439,1.16 [1.08-1.24],2.487992713834351e-05
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,15456,392,1.34 [1.18-1.52],8.106370614258278e-06
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,15496,432,1.29 [1.14-1.45],5.584732164460211e-05
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypokalaemia,15723,659,1.28 [1.16-1.41],9.53120744251503e-07
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",17324,2260,1.18 [1.11-1.24],8.684814886799276e-09
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,22404,536,1.26 [1.13-1.41],3.330806791449982e-05
EIF4EBP1,Eukaryotic translation initiation factor 4E-binding protein 1,Chapter IX Diseases of the circulatory system,Secondary right heart disease,22397,529,1.27 [1.14-1.42],2.086565169684433e-05
