Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
HSPA1A,Heat shock 70 kDa protein 1A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,22884,1446,1.14 [1.07-1.22],6.162574777447642e-05
HSPA1A,Heat shock 70 kDa protein 1A,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",23004,295,0.71 [0.61-0.83],2.788947614078877e-05
HSPA1A,Heat shock 70 kDa protein 1A,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,22963,1432,1.12 [1.05-1.20],0.0004875037481217
HSPA1A,Heat shock 70 kDa protein 1A,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,19560,1388,1.14 [1.06-1.21],0.000142286268846
HSPA1A,Heat shock 70 kDa protein 1A,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",19932,1460,1.13 [1.06-1.20],0.0002227169326748
HSPA1A,Heat shock 70 kDa protein 1A,Chapter X Diseases of the respiratory system,Bronchiectasis,19496,519,1.20 [1.08-1.33],0.0007772386694676
HSPA1A,Heat shock 70 kDa protein 1A,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,21084,6123,1.07 [1.03-1.10],6.228990402983843e-05
HSPA1A,Heat shock 70 kDa protein 1A,Chapter X Diseases of the respiratory system,Emphysema,19414,437,1.23 [1.10-1.38],0.0003160146655121
HSPA1A,Heat shock 70 kDa protein 1A,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified seropositive rheumatoid arthritis,23221,70,1.68 [1.30-2.18],7.971601350973998e-05
HSPA1A,Heat shock 70 kDa protein 1A,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,14554,551,1.19 [1.08-1.32],0.0007066741929679
HSPA1A,Heat shock 70 kDa protein 1A,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Seropositive rheumatoid arthritis, wide",23225,74,1.58 [1.22-2.04],0.0004796706612373
