Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,19950,71,1.57 [1.18-2.07],0.0016412285164627
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter II Neoplasms,Benign neoplasm: Rectum,19950,353,1.30 [1.08-1.57],0.0065059379826157
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter IX Diseases of the circulatory system,Other other unspecified disorders of the circulatory system,18596,51,1.63 [1.13-2.34],0.0085968526151053
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter X Diseases of the respiratory system,"Bacterial pneumonia, not elsewhere classified",17735,86,0.38 [0.19-0.79],0.0091757243003288
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter X Diseases of the respiratory system,Bronchiectasis,16773,442,0.67 [0.51-0.89],0.0057705288736083
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter XI Diseases of the digestive system,Embedded and impacted teeth,20000,20,1.84 [1.27-2.67],0.0013573596728006
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter XI Diseases of the digestive system,Haemorrhoids and perianal venous thrombosis,13603,1019,0.77 [0.65-0.92],0.0043912479885267
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter XI Diseases of the digestive system,Inguinal hernia,16094,934,0.77 [0.64-0.93],0.0071724540376589
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter XI Diseases of the digestive system,Palatinal maxillary canine,19997,24,1.76 [1.20-2.57],0.0034734689750424
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibromyalgia,16771,127,0.46 [0.26-0.81],0.0074298997414812
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter XIV Diseases of the genitourinary system,Other disorders of breast,10253,46,1.60 [1.16-2.20],0.0037884802283456
BTN1A1,Butyrophilin subfamily 1 member A1,Chapter XIV Diseases of the genitourinary system,Other noninflammatory disorders of vagina,8097,50,1.53 [1.13-2.08],0.0055912260684727
