Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
GORASP2,Golgi reassembly-stacking protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,19763,1185,1.23 [1.10-1.38],0.0004364250807626
GORASP2,Golgi reassembly-stacking protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",19853,242,0.54 [0.40-0.71],1.7617386739026858e-05
GORASP2,Golgi reassembly-stacking protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression,19843,1192,1.17 [1.04-1.31],0.0086170648573288
GORASP2,Golgi reassembly-stacking protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,16984,1163,1.17 [1.04-1.32],0.0074455209952671
GORASP2,Golgi reassembly-stacking protein 2,"Chapter IV Endocrine, nutritional and metabolic diseases",Unspecified dementia,19159,511,0.75 [0.62-0.91],0.0030918595631465
GORASP2,Golgi reassembly-stacking protein 2,Chapter IX Diseases of the circulatory system,Aortic aneurysm,18896,315,0.73 [0.57-0.93],0.0096525922389632
GORASP2,Golgi reassembly-stacking protein 2,Chapter IX Diseases of the circulatory system,Cardiomyopathy,14967,176,0.54 [0.39-0.76],0.0003458155119773
GORASP2,Golgi reassembly-stacking protein 2,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",19957,166,1.55 [1.16-2.08],0.0027466549959841
GORASP2,Golgi reassembly-stacking protein 2,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Chalazion,18982,36,2.08 [1.20-3.59],0.0088147979783032
GORASP2,Golgi reassembly-stacking protein 2,Chapter XI Diseases of the digestive system,Coeliac disease,18586,104,1.94 [1.38-2.71],0.0001241680114919
GORASP2,Golgi reassembly-stacking protein 2,Chapter XI Diseases of the digestive system,Intestinal malabsorption,18605,123,1.63 [1.17-2.26],0.0039671134747289
GORASP2,Golgi reassembly-stacking protein 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,14850,2688,1.13 [1.05-1.22],0.0019695287654491
