Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
NIT2,Omega-amidase NIT2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19320,3524,1.06 [1.02-1.11],0.0069532928917275
NIT2,Omega-amidase NIT2,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",7208,823,0.88 [0.80-0.97],0.009862575749853
NIT2,Omega-amidase NIT2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,18670,61,1.75 [1.25-2.43],0.0010223878150374
NIT2,Omega-amidase NIT2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,19787,1178,1.19 [1.11-1.29],6.247889028647147e-06
NIT2,Omega-amidase NIT2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",19875,242,0.76 [0.64-0.90],0.0016460330395131
NIT2,Omega-amidase NIT2,"Chapter IV Endocrine, nutritional and metabolic diseases",Depression or dysthymia,17006,1165,1.11 [1.03-1.20],0.0083572961036708
NIT2,Omega-amidase NIT2,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,18760,5488,1.05 [1.02-1.09],0.003778432824206
NIT2,Omega-amidase NIT2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,19389,1838,1.20 [1.13-1.27],1.2796111258675304e-08
NIT2,Omega-amidase NIT2,"Chapter IV Endocrine, nutritional and metabolic diseases",Unspecified dementia,19184,508,0.83 [0.74-0.94],0.0025740431989307
NIT2,Omega-amidase NIT2,Chapter VI Diseases of the nervous system,Falls/tendency to fall,19515,2869,0.92 [0.88-0.97],0.0013544128455693
NIT2,Omega-amidase NIT2,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of optic nerve and visual pathways,20078,68,1.57 [1.14-2.15],0.0051349512106837
NIT2,Omega-amidase NIT2,Chapter VIII Diseases of the ear and mastoid process,Sensorineural hearing loss,19088,127,0.70 [0.55-0.88],0.0028521505974512
NIT2,Omega-amidase NIT2,Chapter X Diseases of the respiratory system,Bronchiectasis,16811,446,1.22 [1.08-1.38],0.0018644217439181
NIT2,Omega-amidase NIT2,Chapter XI Diseases of the digestive system,Diseases of liver,19984,797,1.18 [1.07-1.30],0.0005323691525216
NIT2,Omega-amidase NIT2,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",19490,1303,1.10 [1.02-1.19],0.0095170670525073
NIT2,Omega-amidase NIT2,Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,20060,287,1.41 [1.21-1.65],1.5411505398130835e-05
NIT2,Omega-amidase NIT2,Chapter XI Diseases of the digestive system,Other diseases of liver,19846,659,1.17 [1.05-1.29],0.003546900870105
NIT2,Omega-amidase NIT2,Chapter XI Diseases of the digestive system,Other inflammatory liver diseases,19286,99,1.51 [1.16-1.97],0.0021396772826587
NIT2,Omega-amidase NIT2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,12849,653,1.16 [1.05-1.29],0.005324207394688
NIT2,Omega-amidase NIT2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",20002,647,1.16 [1.05-1.29],0.0052706868784874
NIT2,Omega-amidase NIT2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Kyphosis,16673,67,1.55 [1.13-2.13],0.0067071366258904
NIT2,Omega-amidase NIT2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,14874,2678,1.08 [1.02-1.14],0.0039729198075022
