Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PPIE,Peptidyl-prolyl cis-trans isomerase E,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19033,3488,1.07 [1.02-1.12],0.0074120605756372
PPIE,Peptidyl-prolyl cis-trans isomerase E,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with neurological complications,2114,81,1.38 [1.08-1.75],0.0091393991751689
PPIE,Peptidyl-prolyl cis-trans isomerase E,Chapter IX Diseases of the circulatory system,Other arterial embolism and thrombosis,18446,109,1.31 [1.07-1.61],0.0094622522026179
PPIE,Peptidyl-prolyl cis-trans isomerase E,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Corneal degeneration,19533,194,1.31 [1.12-1.54],0.0008609336448988
PPIE,Peptidyl-prolyl cis-trans isomerase E,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic neuropathy,2559,92,1.39 [1.12-1.73],0.0032040882994421
PPIE,Peptidyl-prolyl cis-trans isomerase E,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of sclera, cornea, iris and ciliary body",19766,427,1.20 [1.07-1.36],0.0025964816843078
PPIE,Peptidyl-prolyl cis-trans isomerase E,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Keratitis,19671,332,1.26 [1.11-1.43],0.0004252112131015
PPIE,Peptidyl-prolyl cis-trans isomerase E,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of cornea,19634,295,1.30 [1.14-1.48],7.502525251258485e-05
PPIE,Peptidyl-prolyl cis-trans isomerase E,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of eye and adnexa,19785,159,1.27 [1.06-1.53],0.0098095758473937
PPIE,Peptidyl-prolyl cis-trans isomerase E,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal vascular occlusion,18465,104,1.34 [1.08-1.66],0.0088989387562139
PPIE,Peptidyl-prolyl cis-trans isomerase E,Chapter XI Diseases of the digestive system,Acute gastritis,13852,83,1.38 [1.10-1.73],0.005820643340435
