Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",6826,782,0.92 [0.86-0.98],0.0081559822339441
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",13899,284,0.86 [0.77-0.95],0.0029146911884521
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,17700,60,1.45 [1.12-1.87],0.0048512453438958
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,18766,1126,1.10 [1.04-1.16],0.000936738654918
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,18908,284,0.77 [0.70-0.86],6.639673405553742e-07
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",18856,232,0.70 [0.63-0.78],1.0228672836448344e-10
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",18946,153,1.24 [1.06-1.44],0.0076782821044582
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter VI Diseases of the nervous system,Falls/tendency to fall,18523,2736,0.95 [0.92-0.99],0.0059549546322891
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,12176,625,1.10 [1.03-1.19],0.0089250235316142
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Kyphosis,15844,68,1.42 [1.11-1.81],0.0048632320893498
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other soft tissue disorders, not elsewhere classified",16933,1098,1.09 [1.03-1.15],0.0022798067629028
PSTPIP2,Proline-serine-threonine phosphatase-interacting protein 2,Chapter XIV Diseases of the genitourinary system,Other disorders of  bladder,16519,776,0.92 [0.86-0.98],0.0095021552065193
