Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TXNL1,Thioredoxin-like protein 1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,16114,263,1.18 [1.06-1.30],0.001656348434013
TXNL1,Thioredoxin-like protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,17579,96,1.24 [1.06-1.45],0.0062150746822462
TXNL1,Thioredoxin-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,18931,1427,1.09 [1.04-1.14],0.000574862829694
TXNL1,Thioredoxin-like protein 1,Chapter VI Diseases of the nervous system,Other neurological diseases,19371,471,1.15 [1.07-1.25],0.000269209246176
TXNL1,Thioredoxin-like protein 1,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,18354,390,1.13 [1.03-1.23],0.007428331035536
TXNL1,Thioredoxin-like protein 1,Chapter X Diseases of the respiratory system,Interstitial lung disease,18389,425,1.12 [1.03-1.22],0.0075357183160703
TXNL1,Thioredoxin-like protein 1,Chapter X Diseases of the respiratory system,Other diseases of pleura,19223,2218,1.06 [1.02-1.10],0.0061523159361524
TXNL1,Thioredoxin-like protein 1,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,19354,498,1.11 [1.03-1.21],0.0070414744573931
TXNL1,Thioredoxin-like protein 1,Chapter X Diseases of the respiratory system,Pleural effusion,18102,1097,1.08 [1.02-1.14],0.0071525889936195
TXNL1,Thioredoxin-like protein 1,Chapter XI Diseases of the digestive system,Coeliac disease,18026,103,1.62 [1.45-1.80],1.5895370698842573e-18
TXNL1,Thioredoxin-like protein 1,Chapter XI Diseases of the digestive system,Diseases of the digestive system,19191,1268,1.08 [1.03-1.14],0.0033931486283879
TXNL1,Thioredoxin-like protein 1,Chapter XI Diseases of the digestive system,"Hepatic failure, not elsewhere classified",18658,59,1.36 [1.12-1.63],0.0014272338351706
TXNL1,Thioredoxin-like protein 1,Chapter XI Diseases of the digestive system,Intestinal malabsorption,18045,122,1.54 [1.39-1.71],5.499530360771393e-16
TXNL1,Thioredoxin-like protein 1,Chapter XI Diseases of the digestive system,Recurring oral aphthae,19451,44,1.34 [1.09-1.65],0.005228477874124
