Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
USO1,General vesicular transport factor p115,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,22706,1423,1.10 [1.04-1.16],0.0005267134121312
USO1,General vesicular transport factor p115,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,22888,355,0.84 [0.75-0.93],0.0007536119577745
USO1,General vesicular transport factor p115,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",22825,292,0.77 [0.69-0.86],7.586918081372159e-06
USO1,General vesicular transport factor p115,Chapter IX Diseases of the circulatory system,Aortic aneurysm,21684,376,0.87 [0.78-0.96],0.0051341452781569
USO1,General vesicular transport factor p115,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,11674,2838,0.95 [0.91-0.98],0.0047503960165687
USO1,General vesicular transport factor p115,Chapter IX Diseases of the circulatory system,Cardiomyopathy,17046,201,0.81 [0.70-0.92],0.0021767703634517
USO1,General vesicular transport factor p115,Chapter X Diseases of the respiratory system,Bronchiectasis,19358,519,1.13 [1.03-1.23],0.0069788705706351
USO1,General vesicular transport factor p115,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,21942,3103,1.06 [1.02-1.10],0.0016145293449302
USO1,General vesicular transport factor p115,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,20922,6089,1.04 [1.01-1.06],0.0065625741989819
USO1,General vesicular transport factor p115,Chapter X Diseases of the respiratory system,Emphysema,19269,430,1.14 [1.03-1.25],0.0079689405717115
USO1,General vesicular transport factor p115,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibromyalgia,19297,147,1.24 [1.06-1.47],0.008807230065247
USO1,General vesicular transport factor p115,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified seropositive rheumatoid arthritis,23041,68,1.42 [1.12-1.80],0.0041600868050679
