Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ANPEP,Aminopeptidase N,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22357,4241,1.11 [1.01-1.22],0.0369055055571329
ANPEP,Aminopeptidase N,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22301,4314,1.15 [1.04-1.26],0.0059635896337111
ANPEP,Aminopeptidase N,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20297,1305,1.24 [1.04-1.48],0.0190861002353381
ANPEP,Aminopeptidase N,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19572,1583,1.25 [1.06-1.46],0.0066465843884773
ANPEP,Aminopeptidase N,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,15027,2752,1.19 [1.06-1.35],0.0042091621345364
ANPEP,Aminopeptidase N,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23140,1440,1.24 [1.05-1.47],0.0098100872068621
ANPEP,Aminopeptidase N,Chapter I Certain infectious and parasitic diseases,Other septicaemia,22957,1257,1.22 [1.02-1.46],0.0275598881118282
ANPEP,Aminopeptidase N,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21580,504,1.46 [1.12-1.91],0.0055933711862159
ANPEP,Aminopeptidase N,Chapter II Neoplasms,Benign neoplasm: Transverse colon,23215,546,1.32 [1.01-1.72],0.0403713956028692
ANPEP,Aminopeptidase N,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",16645,111,2.13 [1.26-3.62],0.0050114174963147
ANPEP,Aminopeptidase N,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,22962,397,0.64 [0.46-0.90],0.0104171874319028
ANPEP,Aminopeptidase N,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,20940,163,1.67 [1.04-2.66],0.0332426874452321
ANPEP,Aminopeptidase N,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,22637,72,2.61 [1.43-4.75],0.0017576234299617
ANPEP,Aminopeptidase N,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other coagulation defects,22846,112,1.87 [1.10-3.19],0.0215493065806525
ANPEP,Aminopeptidase N,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,23093,359,1.53 [1.11-2.11],0.0089044506855396
ANPEP,Aminopeptidase N,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",23028,294,1.83 [1.30-2.57],0.000526938364262
ANPEP,Aminopeptidase N,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,15574,418,1.51 [1.12-2.03],0.0062899543337181
