Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22771,1752,1.31 [1.18-1.45],4.262454616699128e-07
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Candidiasis,23052,551,1.34 [1.12-1.62],0.0015667695737789
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22294,4233,1.29 [1.20-1.38],3.7392740131512187e-13
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22240,4315,1.28 [1.19-1.37],1.0794712531517372e-12
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,22756,1428,1.21 [1.08-1.37],0.0012408610236996
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20228,1302,1.40 [1.24-1.57],5.841331500810704e-08
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19517,1585,1.38 [1.24-1.53],6.361605222114787e-09
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,19010,341,1.41 [1.12-1.79],0.0037340626754444
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14976,2750,1.42 [1.30-1.54],3.9901650465135884e-16
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,18944,495,1.56 [1.29-1.88],4.218930168491628e-06
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,23028,1700,1.17 [1.05-1.30],0.0056498707563563
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Mycoses,23147,646,1.40 [1.19-1.66],7.504894374331213e-05
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22263,1244,1.26 [1.11-1.42],0.0002809947347501
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23075,1437,1.32 [1.18-1.48],2.0046294383691e-06
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Other infectious diseases,23207,67,2.22 [1.45-3.40],0.0002311429817659
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Other septicaemia,22892,1254,1.34 [1.19-1.52],2.13454140955758e-06
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Other viral diseases,23142,144,1.80 [1.31-2.48],0.0002635113173594
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23120,122,1.58 [1.10-2.28],0.0140967035236374
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21515,496,1.48 [1.23-1.77],3.221979199363094e-05
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,21326,307,1.43 [1.12-1.83],0.0036316296920331
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23138,176,1.45 [1.06-1.99],0.02142793167279
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter I Certain infectious and parasitic diseases,Viral warts,23018,56,1.83 [1.10-3.03],0.0201333135215012
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter II Neoplasms,Benign neoplasm of meninges,23191,64,1.81 [1.10-2.96],0.0191852148386038
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",9199,105,0.54 [0.33-0.89],0.0164494178535808
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",16588,110,1.69 [1.17-2.44],0.0052561200330051
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,22443,3526,1.24 [1.14-1.33],5.8987443449647284e-08
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,22692,1980,1.26 [1.14-1.39],6.3394281706416505e-06
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,22690,1978,1.25 [1.14-1.39],7.758517571709093e-06
SOD2,"Superoxide dismutase [Mn], mitochondrial",Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,22843,1444,1.40 [1.25-1.56],5.252999160788809e-09
