Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
STEAP4,Metalloreductase STEAP4,Chapter II Neoplasms,Benign lipomatous neoplasm,19265,220,0.76 [0.61-0.96],0.0191126501053246
STEAP4,Metalloreductase STEAP4,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,19423,69,1.31 [1.04-1.64],0.0212803580661781
STEAP4,Metalloreductase STEAP4,Chapter II Neoplasms,Benign neoplasm: Caecum,19483,322,0.81 [0.68-0.97],0.0211492425510097
STEAP4,Metalloreductase STEAP4,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",13994,60,0.54 [0.32-0.89],0.0168399683823923
STEAP4,Metalloreductase STEAP4,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,18123,60,0.55 [0.33-0.91],0.0207650197882616
STEAP4,Metalloreductase STEAP4,"Chapter IV Endocrine, nutritional and metabolic diseases","Disorder of thyroid, unspecified",17626,86,0.46 [0.30-0.72],0.0005633719325687
STEAP4,Metalloreductase STEAP4,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypokalaemia,13399,537,1.11 [1.00-1.22],0.0452064266494731
STEAP4,Metalloreductase STEAP4,Chapter IX Diseases of the circulatory system,Arterial embolism and thrombosis of lower extremity artery,18117,66,1.35 [1.06-1.72],0.014755844923082
STEAP4,Metalloreductase STEAP4,Chapter IX Diseases of the circulatory system,Cardiomyopathy,14590,176,0.76 [0.59-0.97],0.0291499364797646
STEAP4,Metalloreductase STEAP4,Chapter IX Diseases of the circulatory system,Vascular diseases of the intestine,18066,97,1.31 [1.08-1.59],0.0058415460889005
STEAP4,Metalloreductase STEAP4,Chapter V Mental and behavioural disorders,Vascular dementia,18799,196,0.79 [0.63-1.00],0.0486986458824057
STEAP4,Metalloreductase STEAP4,Chapter VI Diseases of the nervous system,Falls/tendency to fall,18949,2805,0.95 [0.90-1.00],0.0472252913088614
STEAP4,Metalloreductase STEAP4,Chapter VI Diseases of the nervous system,Other facial nerve disorders,17992,78,0.64 [0.42-0.96],0.0325007902976853
STEAP4,Metalloreductase STEAP4,Chapter VI Diseases of the nervous system,Vascular dementia (undefined),18744,190,0.77 [0.61-0.98],0.0346277173206983
STEAP4,Metalloreductase STEAP4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of lacrimal system,18671,253,1.18 [1.03-1.35],0.0180769716402596
STEAP4,Metalloreductase STEAP4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Retinal vascular occlusion,18184,104,1.24 [1.01-1.53],0.0379609643930873
STEAP4,Metalloreductase STEAP4,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Stenosis and insufficiency of lacrimal passages,18499,81,1.28 [1.02-1.59],0.0298181845993723
STEAP4,Metalloreductase STEAP4,Chapter VIII Diseases of the ear and mastoid process,Sensorineural hearing loss,18531,123,1.22 [1.00-1.48],0.0469868131812126
STEAP4,Metalloreductase STEAP4,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,19262,1040,0.90 [0.82-0.99],0.0245997833398523
STEAP4,Metalloreductase STEAP4,Chapter X Diseases of the respiratory system,Pulmonary oedema,18966,73,0.63 [0.41-0.97],0.0344924328091463
STEAP4,Metalloreductase STEAP4,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,19248,1026,0.91 [0.83-0.99],0.0315718859521678
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,Constipation,19260,1732,0.93 [0.87-0.99],0.0298032102101741
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,Diseases of salivary glands,18797,43,1.46 [1.15-1.87],0.002334833509951
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,Functional dyspepsia,14029,478,0.78 [0.67-0.91],0.0010694900019233
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,Haemorrhoids and perianal venous thrombosis,13264,998,0.90 [0.82-0.99],0.026102030733137
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,"Hepatic failure, not elsewhere classified",18695,59,1.46 [1.18-1.81],0.0004548138777972
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,Irritable bowel syndrome,12856,429,0.87 [0.75-1.00],0.0476727235793065
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,Oral lichen ruber planus,19452,113,0.73 [0.53-1.00],0.0495987742376773
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,Other diseases of peritoneum,19369,361,0.85 [0.72-1.00],0.0434872851714786
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,14196,1769,0.92 [0.86-0.99],0.0242484223596787
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,Ulcerative colitis,18085,135,0.63 [0.46-0.86],0.0041514877277824
STEAP4,Metalloreductase STEAP4,Chapter XI Diseases of the digestive system,"Ulcerative colitis, NAS",18059,109,0.63 [0.44-0.89],0.0091666743769397
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,12463,636,0.89 [0.79-1.00],0.0461517843589676
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",19362,456,0.82 [0.71-0.95],0.0089811600136559
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other bursopathies,16310,84,1.26 [1.02-1.56],0.0351250337677809
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other crystal arthropathies,11892,65,0.50 [0.31-0.81],0.0054077527521237
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),11941,114,0.69 [0.50-0.94],0.0201089219806609
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other hammer toe(s) (acquired),11954,127,0.70 [0.52-0.94],0.0172489163790357
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,19374,452,0.83 [0.72-0.96],0.0130480329660291
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,14429,2602,0.94 [0.89-0.99],0.0294751052469077
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,12290,463,0.82 [0.71-0.94],0.0054210176608429
STEAP4,Metalloreductase STEAP4,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Sciatica+with lumbago,16393,239,0.81 [0.66-0.99],0.04350741950212
STEAP4,Metalloreductase STEAP4,Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,8563,1779,0.93 [0.87-1.00],0.0468920915011216
STEAP4,Metalloreductase STEAP4,Chapter XIV Diseases of the genitourinary system,Disorders of breast,10038,103,1.25 [1.03-1.50],0.0205589375962524
STEAP4,Metalloreductase STEAP4,Chapter XIV Diseases of the genitourinary system,Hyperplasia of prostate,8297,1513,0.91 [0.84-0.98],0.0171574054584968
STEAP4,Metalloreductase STEAP4,Chapter XIV Diseases of the genitourinary system,Polyp of the female genital tract,8007,181,0.78 [0.61-0.98],0.0353127689211179
