Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
ALDH1A1,Retinal dehydrogenase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Alcohol dependence,21699,114,2.03 [1.61-2.56],1.951518282020554e-09
ALDH1A1,Retinal dehydrogenase 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,22355,2147,1.48 [1.39-1.57],6.424530692795225e-37
ALDH1A1,Retinal dehydrogenase 1,Chapter IX Diseases of the circulatory system,"Hypertension, portal",23034,96,2.67 [2.13-3.34],1.0778324164907004e-17
ALDH1A1,Retinal dehydrogenase 1,Chapter IX Diseases of the circulatory system,Oesophageal varices,21353,68,2.54 [1.95-3.31],3.854649602512681e-12
ALDH1A1,Retinal dehydrogenase 1,Chapter IX Diseases of the circulatory system,Other other unspecified disorders of the circulatory system,21436,63,2.55 [1.94-3.37],3.202244137015054e-11
ALDH1A1,Retinal dehydrogenase 1,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",23096,396,1.42 [1.23-1.65],3.516926148949331e-06
ALDH1A1,Retinal dehydrogenase 1,Chapter VI Diseases of the nervous system,Generalized epilepsy,22822,54,2.12 [1.52-2.95],9.796687094825196e-06
ALDH1A1,Retinal dehydrogenase 1,Chapter XI Diseases of the digestive system,Alcoholic liver disease,22228,65,2.94 [2.22-3.88],3.1802490596822336e-14
ALDH1A1,Retinal dehydrogenase 1,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",23065,127,2.47 [2.02-3.02],1.235995641672177e-18
ALDH1A1,Retinal dehydrogenase 1,Chapter XI Diseases of the digestive system,Diseases of liver,23085,922,1.46 [1.33-1.60],5.095629635670071e-15
ALDH1A1,Retinal dehydrogenase 1,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,22311,148,2.33 [1.93-2.83],5.6424936183179984e-18
ALDH1A1,Retinal dehydrogenase 1,Chapter XI Diseases of the digestive system,"Hepatic failure, not elsewhere classified",22234,71,2.11 [1.56-2.84],9.677130270395658e-07
ALDH1A1,Retinal dehydrogenase 1,Chapter XI Diseases of the digestive system,Nonalcoholic fatty liver disease,23172,337,1.65 [1.43-1.91],7.419127337196377e-12
ALDH1A1,Retinal dehydrogenase 1,Chapter XI Diseases of the digestive system,Other diseases of liver,22923,760,1.42 [1.28-1.58],5.975516845846028e-11
ALDH1A1,Retinal dehydrogenase 1,Chapter XI Diseases of the digestive system,Other inflammatory liver diseases,22276,113,2.18 [1.74-2.73],1.5228507266935138e-11
