Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
POMC,Pro-opiomelanocortin,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,15929,7559,0.92 [0.89-0.95],1.0625466889997362e-06
POMC,Pro-opiomelanocortin,Chapter IX Diseases of the circulatory system,Hypertension,16967,6686,0.92 [0.88-0.95],4.460117328911711e-07
POMC,Pro-opiomelanocortin,Chapter IX Diseases of the circulatory system,"Hypertension, essential",16973,6692,0.92 [0.89-0.95],6.0899601942365e-07
POMC,Pro-opiomelanocortin,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",13254,1466,0.78 [0.73-0.84],9.914965332721351e-11
POMC,Pro-opiomelanocortin,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",13557,1448,0.78 [0.72-0.84],8.759120354844207e-11
POMC,Pro-opiomelanocortin,Chapter X Diseases of the respiratory system,Bronchiectasis,16461,439,0.73 [0.63-0.83],2.69156154774898e-06
POMC,Pro-opiomelanocortin,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,18698,2676,0.85 [0.80-0.89],1.7895045311167987e-09
POMC,Pro-opiomelanocortin,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",19408,1362,0.81 [0.75-0.88],8.550601894804342e-08
POMC,Pro-opiomelanocortin,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,17824,5114,0.89 [0.85-0.92],4.509789880713005e-09
POMC,Pro-opiomelanocortin,Chapter X Diseases of the respiratory system,Later onset COPD,19207,1266,0.83 [0.77-0.90],2.5001549838861325e-06
POMC,Pro-opiomelanocortin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,18864,2599,0.87 [0.83-0.92],1.0500431399996723e-06
POMC,Pro-opiomelanocortin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),12055,113,0.55 [0.43-0.71],4.1089078873075095e-06
POMC,Pro-opiomelanocortin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylopathies,17896,1631,0.85 [0.79-0.91],2.5975406656984987e-06
