Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
TCN1,Transcobalamin-1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18971,3505,1.29 [1.19-1.40],1.601979374499519e-09
TCN1,Transcobalamin-1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,16699,1244,1.40 [1.24-1.58],3.1027955376994626e-08
TCN1,Transcobalamin-1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,12788,2220,1.29 [1.17-1.43],2.5035140859191466e-07
TCN1,Transcobalamin-1,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,10455,127,2.22 [1.61-3.05],8.903167179972386e-07
TCN1,Transcobalamin-1,Chapter VI Diseases of the nervous system,Alzheimer disease,19758,497,1.57 [1.29-1.91],4.938353259407529e-06
TCN1,Transcobalamin-1,Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,14990,795,1.47 [1.26-1.71],5.55986625326873e-07
TCN1,Transcobalamin-1,Chapter VI Diseases of the nervous system,Unspecific neurodegenerative disorder,19758,502,1.59 [1.31-1.92],2.0060900662453773e-06
TCN1,Transcobalamin-1,Chapter X Diseases of the respiratory system,Bronchiectasis,16544,445,1.87 [1.60-2.18],2.5732247231738414e-15
TCN1,Transcobalamin-1,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,18799,2700,1.31 [1.19-1.45],5.625610820627677e-08
TCN1,Transcobalamin-1,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",19511,1367,1.37 [1.20-1.57],3.1998234338147013e-06
TCN1,Transcobalamin-1,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,17926,5148,1.20 [1.11-1.29],1.222420497408543e-06
TCN1,Transcobalamin-1,Chapter X Diseases of the respiratory system,Influenza and pneumonia,19537,2115,1.41 [1.27-1.56],3.0019619941543434e-11
TCN1,Transcobalamin-1,Chapter X Diseases of the respiratory system,Later onset COPD,19299,1267,1.38 [1.20-1.58],5.354865353898215e-06
TCN1,Transcobalamin-1,Chapter X Diseases of the respiratory system,Other diseases of pleura,19515,2265,1.29 [1.16-1.43],1.7828247609209077e-06
TCN1,Transcobalamin-1,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",19296,1874,1.42 [1.28-1.58],5.640208399016407e-11
TCN1,Transcobalamin-1,Chapter XI Diseases of the digestive system,Diseases of liver,19660,783,1.47 [1.25-1.73],4.238522608648472e-06
TCN1,Transcobalamin-1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,18638,1796,1.35 [1.22-1.50],2.39090022033332e-08
TCN1,Transcobalamin-1,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,18562,1720,1.35 [1.21-1.51],7.334013134559506e-08
TCN1,Transcobalamin-1,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,19575,91,2.06 [1.53-2.78],2.0955273217313155e-06
TCN1,Transcobalamin-1,Chapter XIV Diseases of the genitourinary system,Other disorders of urethra and urinary system,18229,1880,1.30 [1.16-1.46],6.98502710883934e-06
TCN1,Transcobalamin-1,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,19548,2961,1.33 [1.22-1.45],1.1229090752464403e-10
