Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19442,201,1.78 [1.47-2.16],3.671487430307502e-09
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19215,1407,1.41 [1.29-1.55],1.4062904421599092e-13
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,18821,3439,1.32 [1.24-1.40],4.722340856379242e-18
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18799,3481,1.42 [1.34-1.51],1.5408474916332005e-29
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19207,1165,1.41 [1.27-1.56],4.13857266822974e-11
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19365,105,1.95 [1.54-2.46],2.026934608285187e-08
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17171,1019,1.57 [1.43-1.73],6.471670722762178e-20
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,16565,1242,1.63 [1.50-1.78],1.9163075742155024e-29
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,16209,264,1.72 [1.43-2.07],1.3210820658554285e-08
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,12707,2209,1.44 [1.35-1.55],5.060897214042976e-24
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,16152,392,1.84 [1.60-2.11],1.5176437097847913e-17
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,19420,1378,1.42 [1.30-1.56],7.56948039206444e-14
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18798,990,1.46 [1.32-1.63],1.9686718330654498e-12
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,19467,1121,1.54 [1.40-1.70],3.704596488938429e-19
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,18243,201,1.79 [1.48-2.17],1.468412919876717e-09
POF1B,Protein POF1B,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19330,984,1.54 [1.39-1.71],3.525121041853885e-17
POF1B,Protein POF1B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,18962,2876,1.46 [1.37-1.55],5.601372130106326e-32
POF1B,Protein POF1B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,19172,1597,1.54 [1.42-1.66],3.4074074150874475e-26
POF1B,Protein POF1B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,19170,1595,1.54 [1.42-1.66],4.994974466890736e-26
POF1B,Protein POF1B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,19271,1159,1.56 [1.42-1.71],5.216096422797458e-20
POF1B,Protein POF1B,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,18223,111,1.92 [1.52-2.42],5.152566742210666e-08
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,13245,330,1.85 [1.61-2.12],2.7403230584328084e-18
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,13216,301,2.00 [1.73-2.31],2.2569262059940966e-20
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,13236,321,1.96 [1.71-2.25],1.1916420302285849e-21
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Hypo-osmolality and hyponatraemia,13656,741,1.47 [1.30-1.66],1.5036014225644634e-09
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,18273,5358,1.21 [1.15-1.27],2.421652124237358e-12
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",14738,1823,1.50 [1.40-1.62],1.0253219838144756e-26
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,19560,241,1.96 [1.66-2.31],7.922539141810905e-16
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,17242,156,2.00 [1.67-2.39],7.246508580513099e-14
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with peripheral circulatory complications,17153,67,2.42 [1.94-3.03],8.334487712462746e-15
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,18885,1799,1.34 [1.23-1.46],1.1262339483381135e-11
POF1B,Protein POF1B,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,13805,890,1.53 [1.38-1.70],6.478510250403371e-16
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Angina pectoris,16968,1276,1.39 [1.24-1.54],2.347129737709208e-09
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,10007,2347,1.36 [1.26-1.48],3.9438098767507446e-14
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Cardiac arrest,7880,220,2.14 [1.75-2.62],1.4347060687438072e-13
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Conduction disorders,15703,1268,1.35 [1.22-1.50],6.1476390135840806e-09
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,17962,2292,1.27 [1.17-1.38],9.771380182795564e-09
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,15857,7520,1.14 [1.09-1.20],5.74695962508036e-08
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,"Heart failure, strict",19330,1363,1.43 [1.30-1.57],3.93307851276896e-14
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Hypertension,16890,6652,1.17 [1.11-1.23],5.462212840552007e-10
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,"Hypertension, essential",16895,6657,1.17 [1.12-1.23],1.9609298536503848e-10
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",10476,238,1.78 [1.50-2.11],2.2511196068037638e-11
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,10361,123,2.43 [2.09-2.82],1.2797365561179084e-31
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Hypotension,19425,1309,1.47 [1.33-1.61],1.4576020233707392e-15
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",16449,757,1.46 [1.27-1.67],4.52817458343677e-08
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,15613,1178,1.37 [1.24-1.53],2.2214866702871766e-09
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,18706,604,1.51 [1.33-1.71],8.689368976751764e-11
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,18924,457,1.61 [1.40-1.85],1.5152955943635032e-11
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Peripheral artery disease,18556,484,1.60 [1.41-1.82],5.59815523035075e-13
POF1B,Protein POF1B,Chapter IX Diseases of the circulatory system,Secondary right heart disease,18919,452,1.63 [1.42-1.87],5.733311497197807e-12
POF1B,Protein POF1B,Chapter VI Diseases of the nervous system,Falls/tendency to fall,19011,2819,1.23 [1.14-1.32],2.7476465418604708e-08
POF1B,Protein POF1B,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,19366,222,1.94 [1.63-2.31],1.3363185134914177e-13
POF1B,Protein POF1B,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,17746,5089,1.17 [1.11-1.24],2.3914177886985984e-08
POF1B,Protein POF1B,Chapter X Diseases of the respiratory system,Influenza and pneumonia,19348,2090,1.36 [1.26-1.47],2.1412139439141912e-14
POF1B,Protein POF1B,Chapter X Diseases of the respiratory system,Interstitial lung disease,18490,429,1.56 [1.35-1.81],3.8397551239524304e-09
POF1B,Protein POF1B,Chapter X Diseases of the respiratory system,Other diseases of pleura,19327,2228,1.37 [1.28-1.48],6.09517569158034e-17
POF1B,Protein POF1B,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,19452,505,1.58 [1.38-1.81],2.5713978352580566e-11
POF1B,Protein POF1B,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,19456,1438,1.39 [1.26-1.52],3.625692294351749e-12
POF1B,Protein POF1B,Chapter X Diseases of the respiratory system,Pleural effusion,18203,1104,1.46 [1.32-1.62],3.921224065180708e-13
POF1B,Protein POF1B,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",19114,1856,1.36 [1.25-1.47],8.252432032808207e-13
POF1B,Protein POF1B,Chapter XI Diseases of the digestive system,Coeliac disease,18118,106,2.59 [2.22-3.02],2.134184908515861e-33
POF1B,Protein POF1B,Chapter XI Diseases of the digestive system,Constipation,19331,1737,1.31 [1.20-1.43],1.3124056738816844e-09
POF1B,Protein POF1B,Chapter XI Diseases of the digestive system,Diseases of the digestive system,19295,1283,1.50 [1.37-1.64],3.850061756183916e-18
POF1B,Protein POF1B,Chapter XI Diseases of the digestive system,Diverticular disease of intestine,15640,3181,1.24 [1.16-1.33],9.089098348149083e-10
POF1B,Protein POF1B,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,14195,6931,1.16 [1.11-1.22],6.237151272903491e-10
POF1B,Protein POF1B,Chapter XI Diseases of the digestive system,Intestinal malabsorption,18137,125,2.46 [2.11-2.87],3.250548814721535e-30
POF1B,Protein POF1B,Chapter XI Diseases of the digestive system,Other diseases of intestines,17636,5177,1.23 [1.16-1.30],5.423059451785749e-14
POF1B,Protein POF1B,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,14234,1775,1.39 [1.27-1.51],5.105232529097025e-14
