Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22509,1735,1.25 [1.18-1.33],1.2474110772683893e-13
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22042,4185,1.20 [1.16-1.25],2.1950524457200426e-19
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),21994,4271,1.26 [1.21-1.30],4.126446788771715e-31
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,19997,1289,1.37 [1.28-1.46],9.369909338058666e-21
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19296,1573,1.41 [1.33-1.49],1.0194926640030076e-31
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14815,2719,1.30 [1.24-1.36],5.912261425836534e-29
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,18742,497,1.57 [1.42-1.72],1.7371595344827244e-20
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,22764,1676,1.24 [1.16-1.32],4.1547692026187375e-11
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22003,1229,1.28 [1.19-1.37],1.4638390832258838e-11
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,22813,1425,1.34 [1.26-1.43],2.0193708927731103e-20
CALCA,Calcitonin,Chapter I Certain infectious and parasitic diseases,Other septicaemia,22631,1243,1.33 [1.24-1.42],2.1034297108758886e-16
CALCA,Calcitonin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,20633,162,1.78 [1.56-2.03],7.634293267616475e-18
CALCA,Calcitonin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,22187,3488,1.21 [1.16-1.27],6.513528842354372e-18
CALCA,Calcitonin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,22431,1960,1.24 [1.17-1.31],2.8502294671918456e-13
CALCA,Calcitonin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,22429,1958,1.24 [1.17-1.31],3.868961341256906e-13
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,15336,412,1.76 [1.61-1.92],1.2432882690198997e-36
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of parathyroid gland,22673,160,1.79 [1.56-2.05],8.812213190490653e-17
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases","Disorders of plasma-protein metabolism, not elsewhere classified",15006,82,1.86 [1.55-2.24],2.7635306483910564e-11
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Fluid overload,15304,380,1.52 [1.37-1.70],4.482434971642361e-14
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperkalaemia,15349,425,1.73 [1.58-1.88],1.124530481452501e-34
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Hyperparathyroidism,22663,150,1.80 [1.56-2.07],3.2622146340312907e-16
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,21306,6382,1.13 [1.09-1.17],6.472044114655834e-12
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",17151,2227,1.33 [1.27-1.40],7.030936963232343e-29
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Other disorders of glucose regulation and pancreatic internal secretion,22925,311,1.56 [1.39-1.75],5.3872457970255174e-14
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes with renal complications,2435,75,2.00 [1.64-2.45],1.1594855722509711e-11
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,22104,2129,1.23 [1.16-1.29],2.2415399987742197e-13
CALCA,Calcitonin,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,16031,1107,1.41 [1.32-1.51],2.9354894194626965e-22
CALCA,Calcitonin,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,18406,8815,1.10 [1.07-1.13],2.6378453965257923e-10
CALCA,Calcitonin,Chapter IX Diseases of the circulatory system,"Heart failure, strict",22652,1646,1.31 [1.24-1.39],1.910137130163117e-19
CALCA,Calcitonin,Chapter IX Diseases of the circulatory system,Hypertension,19635,7847,1.12 [1.09-1.16],1.354118217483664e-13
CALCA,Calcitonin,Chapter IX Diseases of the circulatory system,"Hypertension, essential",19654,7866,1.13 [1.09-1.16],6.267440809510094e-14
CALCA,Calcitonin,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,11995,207,2.01 [1.82-2.21],1.411252007796444e-45
CALCA,Calcitonin,Chapter IX Diseases of the circulatory system,Peripheral artery disease,21751,591,1.38 [1.26-1.52],7.990829945570962e-12
CALCA,Calcitonin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic nephropathy, excluding more controls",2439,76,2.03 [1.65-2.49],1.7608622701614066e-11
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",22649,1622,1.24 [1.17-1.32],3.049251896383669e-12
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,20812,6086,1.16 [1.13-1.20],1.2704058776454585e-18
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,Influenza and pneumonia,22680,2567,1.33 [1.27-1.40],5.095884161615421e-33
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,Later onset COPD,22421,1515,1.23 [1.15-1.31],2.9819606272734547e-10
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,22660,1290,1.29 [1.21-1.38],2.270184539487747e-14
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,Other diseases of pleura,22649,2676,1.28 [1.22-1.34],1.4806111000972428e-24
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,22807,1712,1.33 [1.26-1.41],4.206772433405822e-22
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,Pleural effusion,21329,1356,1.37 [1.29-1.46],1.5121561183649851e-22
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",22394,2281,1.35 [1.28-1.42],1.2865632697825975e-32
CALCA,Calcitonin,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,22636,1266,1.30 [1.21-1.39],1.3203217198480078e-14
CALCA,Calcitonin,Chapter XI Diseases of the digestive system,"Cirrhosis of liver, NAS",22802,122,1.84 [1.58-2.14],3.281831497620716e-15
CALCA,Calcitonin,Chapter XI Diseases of the digestive system,Diseases of liver,22818,914,1.32 [1.22-1.43],6.576481738730759e-12
CALCA,Calcitonin,Chapter XI Diseases of the digestive system,Fibrosis and cirrhosis of liver,22047,143,1.80 [1.57-2.07],1.591821190280953e-16
CALCA,Calcitonin,Chapter XII Diseases of the skin and subcutaneous tissue,Decubitus ulcer and pressure area,20854,630,1.38 [1.26-1.51],2.863675573793569e-12
CALCA,Calcitonin,Chapter XII Diseases of the skin and subcutaneous tissue,"Ulcer of lower limb, not elsewhere classified",20562,338,1.49 [1.33-1.67],1.2689124531470796e-11
CALCA,Calcitonin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Gout,14596,783,1.31 [1.21-1.43],4.9020935847701515e-11
CALCA,Calcitonin,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Gout, unspecified",22845,776,1.35 [1.24-1.46],1.1913530278629334e-12
CALCA,Calcitonin,Chapter XIV Diseases of the genitourinary system,Acute renal failure,21441,2244,1.46 [1.39-1.53],5.969848589132583e-58
CALCA,Calcitonin,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,21513,2316,1.65 [1.58-1.71],1.6607340442670945e-131
CALCA,Calcitonin,Chapter XIV Diseases of the genitourinary system,Chronic nephritic syndrome,22703,128,1.88 [1.64-2.14],3.384135052655852e-20
CALCA,Calcitonin,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,18896,6259,1.15 [1.11-1.19],7.864116559861541e-16
CALCA,Calcitonin,Chapter XIV Diseases of the genitourinary system,Glomerular disorders in diseases classified elsewhere,22671,96,2.02 [1.72-2.38],3.3027224806258145e-17
