Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",18401,147,0.98 [0.70-1.38],0.8996317732512271
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19348,197,1.04 [0.79-1.38],0.7621302960237561
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19122,1393,1.05 [0.95-1.17],0.3397970029708283
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Candidiasis,19362,436,1.10 [0.92-1.31],0.2799814877686049
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,18726,3408,1.07 [1.00-1.14],0.04033014397535
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18709,3465,1.05 [0.99-1.12],0.1270467528381033
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19123,1151,1.16 [1.05-1.29],0.004360951638477
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19278,105,1.19 [0.85-1.65],0.311947737751805
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17093,1013,1.16 [1.04-1.30],0.0072988438372567
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,16480,1222,1.11 [0.99-1.23],0.0644194430475237
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,16125,258,0.98 [0.75-1.27],0.8658154028861297
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,12618,2181,1.08 [1.00-1.17],0.0459407858486704
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,16082,392,1.11 [0.92-1.34],0.2849785631474074
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,19330,1358,1.15 [1.05-1.27],0.0033512678583022
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Mycoses,19429,503,1.11 [0.95-1.31],0.1930084613488207
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18710,981,1.11 [0.99-1.25],0.0637792541428265
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,19372,1118,1.12 [1.01-1.25],0.0350835203862999
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,18169,197,1.05 [0.80-1.39],0.7088995897919224
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,19479,49,0.92 [0.49-1.71],0.7873500024419745
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19232,978,1.16 [1.04-1.30],0.0098987078263969
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19234,61,0.91 [0.53-1.57],0.7345542567095469
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Other viral diseases,19428,108,1.12 [0.79-1.58],0.5227588934055238
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",19414,94,1.00 [0.66-1.52],0.982601020188762
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18107,378,0.94 [0.76-1.17],0.5958977334668509
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,17980,251,0.97 [0.74-1.26],0.8139257950914741
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,18074,102,1.17 [0.83-1.64],0.3725561451169555
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,19464,45,0.88 [0.46-1.69],0.7024122379478333
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,19419,151,0.97 [0.69-1.35],0.8362777373624641
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Viral warts,19316,48,1.23 [0.79-1.92],0.3572304924130374
BRD3,Bromodomain-containing protein 3,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],19340,72,0.73 [0.42-1.30],0.2879558622233096
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign lipomatous neoplasm,19234,218,0.85 [0.63-1.15],0.3015140801517539
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,19406,36,1.05 [0.56-1.99],0.8711044431073572
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,19392,41,0.64 [0.29-1.41],0.2693318346841602
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,9195,71,1.07 [0.70-1.63],0.7687154304110806
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",19094,1394,0.98 [0.88-1.09],0.7143166148744602
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm of meninges,19465,55,0.74 [0.39-1.41],0.3586949767582729
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,19402,68,1.27 [0.89-1.82],0.1870984203882074
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,19456,100,0.76 [0.47-1.23],0.2637504953989761
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm of ovary,10232,65,1.19 [0.79-1.79],0.4041149770956832
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm: Ascending colon,19445,376,1.08 [0.89-1.31],0.4563858231404282
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm: Caecum,19458,318,0.94 [0.74-1.18],0.5802577821764103
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",19357,73,0.62 [0.34-1.13],0.1176525354149675
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm: Descending colon,19444,217,0.90 [0.66-1.21],0.4703488598408647
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm: Rectum,19402,342,0.85 [0.67-1.08],0.1913896771352821
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,19346,579,1.06 [0.91-1.24],0.4531438138110413
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Benign neoplasm: Transverse colon,19438,445,1.04 [0.86-1.25],0.6819026132733401
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Carcinoma in situ of breast,7710,44,1.07 [0.59-1.93],0.831900024309739
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",7741,52,1.48 [1.04-2.09],0.0278320508207163
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",13973,61,0.83 [0.47-1.47],0.5228468605579399
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",13993,81,0.91 [0.57-1.46],0.7077771173484985
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",19430,109,1.17 [0.85-1.62],0.3260465096114534
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,"Haemangioma, any site",19431,106,1.16 [0.84-1.61],0.3737430721781308
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Leiomyoma of uterus,10002,147,1.03 [0.75-1.42],0.8568601758583925
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Lung cancer and mesothelioma,12433,421,1.14 [0.95-1.37],0.1660419447420855
BRD3,Bromodomain-containing protein 3,Chapter II Neoplasms,Lymphoid leukaemia,13975,63,0.98 [0.60-1.61],0.9358039840463744
