Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",18366,150,1.14 [0.77-1.69],0.4999838490954407
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19302,199,1.39 [1.04-1.86],0.0256492780450109
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19077,1392,1.02 [0.89-1.17],0.7470053259318181
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,Candidiasis,19315,442,1.20 [0.96-1.49],0.110493562122588
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,18681,3388,1.00 [0.91-1.09],0.9559546824657998
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18654,3456,0.99 [0.91-1.08],0.8701139960687101
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19075,1142,1.04 [0.90-1.21],0.6083707341829555
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19231,106,1.13 [0.71-1.81],0.6073113030593857
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17044,1005,1.03 [0.88-1.21],0.6899411117238227
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,16441,1224,1.04 [0.90-1.20],0.6021442863552883
CEP350,Centrosome-associated protein 350,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,16093,266,1.02 [0.74-1.38],0.9239356089092108
