Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",19063,154,1.74 [1.06-2.84],0.027146284308164
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",20043,206,1.89 [1.25-2.87],0.0026699696533571
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19808,1442,1.84 [1.57-2.15],4.6198996964065927e-14
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Candidiasis,20054,461,1.94 [1.47-2.56],2.6993893216588773e-06
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19402,3544,1.51 [1.36-1.68],2.7721438558207882e-14
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19376,3590,1.77 [1.59-1.96],2.9735912293769748e-27
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19805,1192,1.51 [1.26-1.82],8.85661399734634e-06
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19970,111,2.35 [1.38-4.02],0.0017643704907658
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17690,1048,1.76 [1.45-2.13],8.49003991729175e-09
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17049,1267,2.29 [1.95-2.69],2.7166114541972883e-24
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,16697,276,2.44 [1.77-3.35],4.724594226633929e-08
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13078,2280,1.66 [1.46-1.89],1.4356973224719768e-14
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,16645,404,1.87 [1.39-2.51],2.9602478851593454e-05
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,20022,1409,1.51 [1.27-1.78],1.8040383949737685e-06
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Mycoses,20127,534,1.94 [1.50-2.51],5.12612192177102e-07
CTHRC1,Collagen triple helix repeat-containing protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,19381,1015,1.80 [1.49-2.17],1.5941372967179792e-09
