Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",19008,154,1.35 [0.98-1.85],0.0627159433733177
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19986,207,1.03 [0.78-1.36],0.8537639601574216
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19755,1440,0.96 [0.86-1.07],0.447152710579721
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Candidiasis,19999,458,1.06 [0.88-1.28],0.5493534010393111
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,19352,3530,1.02 [0.95-1.09],0.6588066198107096
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),19317,3580,0.98 [0.92-1.05],0.6308320653849441
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19750,1188,1.05 [0.93-1.18],0.4138082346985295
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19914,112,1.16 [0.80-1.69],0.4370994319515704
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17646,1053,1.02 [0.90-1.15],0.8066200583199445
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,17001,1265,0.97 [0.86-1.09],0.5735807515669189
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,16651,276,1.09 [0.85-1.39],0.4954175438413578
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,13048,2271,0.98 [0.90-1.06],0.5847947651708704
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,16600,405,1.09 [0.89-1.33],0.3956261603901895
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,19968,1406,1.02 [0.92-1.14],0.668305403097636
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Mycoses,20072,531,1.14 [0.96-1.35],0.1487938754323772
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,19330,1015,0.92 [0.81-1.04],0.180156048412877
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,20019,1165,1.03 [0.91-1.16],0.6418183525646386
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,18769,207,1.03 [0.78-1.37],0.8348171816847185
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,20122,52,1.12 [0.64-1.94],0.6946920961509913
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19868,1014,1.03 [0.91-1.17],0.6251628699533202
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19865,63,0.92 [0.55-1.55],0.7602729383167937
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Other viral diseases,20067,115,1.08 [0.75-1.57],0.6681040219775914
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",20052,100,1.05 [0.71-1.57],0.7944032987292728
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18707,392,1.06 [0.86-1.30],0.5658033103990805
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,18570,255,0.90 [0.70-1.17],0.4422198611833697
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,18666,104,0.97 [0.65-1.45],0.8868263112189528
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,20107,48,0.87 [0.48-1.57],0.6421500600345137
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,20062,154,1.29 [0.95-1.77],0.1075254787749393
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Viral warts,19958,50,1.92 [1.18-3.13],0.0088467699730912
GGCT,Gamma-glutamylcyclotransferase,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],19981,73,1.09 [0.68-1.74],0.7322620287272444
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign lipomatous neoplasm,19872,229,0.72 [0.55-0.95],0.0202941405230672
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,20048,38,1.48 [0.81-2.70],0.2015287994896689
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,20031,41,0.80 [0.42-1.53],0.5030068357189109
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,9523,71,0.71 [0.43-1.17],0.1764444913240345
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",19728,1449,1.02 [0.92-1.14],0.7123346369089021
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm of meninges,20108,55,1.02 [0.60-1.76],0.9316588782287084
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,20041,70,1.13 [0.70-1.81],0.6195241838954817
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,20098,103,0.86 [0.58-1.29],0.4722679756291089
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm of ovary,10548,65,1.06 [0.65-1.72],0.8197847614132361
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm: Ascending colon,20088,392,1.12 [0.91-1.37],0.2925585265672276
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm: Caecum,20099,334,0.95 [0.76-1.18],0.6319530631095753
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",19999,72,0.70 [0.43-1.15],0.1585506519625092
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm: Descending colon,20086,225,1.01 [0.77-1.32],0.9633491738241848
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm: Rectum,20043,358,1.03 [0.83-1.28],0.7737808132961219
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,19986,602,1.09 [0.93-1.29],0.2982399349160771
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Benign neoplasm: Transverse colon,20078,462,1.08 [0.89-1.30],0.4280819120799212
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Carcinoma in situ of breast,7926,45,0.86 [0.46-1.58],0.6171627479231576
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",7959,55,1.38 [0.82-2.33],0.2265957850807534
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",14398,63,1.18 [0.72-1.95],0.5064948597693633
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",14418,83,0.77 [0.49-1.22],0.2627105476170301
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",20069,110,0.80 [0.54-1.18],0.2624183138430465
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Haemangioma, any site",20070,107,0.81 [0.55-1.21],0.3136159672743004
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Leiomyoma of uterus,10308,149,1.19 [0.86-1.64],0.289158443881033
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Lung cancer and mesothelioma,12830,435,1.08 [0.88-1.33],0.4526669091254025
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Lymphoid leukaemia,14400,65,1.30 [0.80-2.10],0.2895293511068706
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",14528,193,1.03 [0.78-1.38],0.817527665488375
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",14598,263,0.77 [0.59-1.00],0.0480711769140342
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",8041,98,0.71 [0.47-1.09],0.1140634674897255
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",14433,98,1.07 [0.71-1.61],0.7486583456483211
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",14459,124,1.19 [0.83-1.70],0.3360542194432973
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",14446,111,0.94 [0.64-1.39],0.7505428768166791
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of ovary, excluding all cancers (controls excluding all cancers)",8024,81,0.96 [0.61-1.50],0.8614810730616824
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)",14445,110,0.95 [0.64-1.41],0.805651854927981
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",7219,827,0.88 [0.76-1.02],0.0789150146129041
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",14451,116,0.92 [0.62-1.34],0.6504577699771026
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",14416,81,1.66 [1.12-2.46],0.0114926063487148
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,14456,121,1.28 [0.90-1.81],0.1643158482281113
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Melanocytic naevi,19996,163,1.17 [0.86-1.60],0.3172081470496872
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Melanocytic naevi of trunk,20097,67,1.21 [0.74-1.96],0.4477327930157767
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Melanoma in situ,14382,100,1.27 [0.86-1.86],0.2248687860496127
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",14439,104,0.84 [0.56-1.26],0.4022559293953178
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",14509,174,1.00 [0.74-1.36],0.9780639427487432
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",14636,301,0.92 [0.72-1.16],0.475472280808615
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",14449,114,1.22 [0.84-1.76],0.2999182275337325
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,Other benign neoplasms of skin,19971,148,0.85 [0.61-1.20],0.3617251753159101
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",15612,1277,0.94 [0.84-1.05],0.2804872276745794
GGCT,Gamma-glutamylcyclotransferase,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",15680,1345,0.95 [0.85-1.06],0.3949153222614909
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,19860,329,0.91 [0.73-1.14],0.4240579906692087
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,18189,111,0.99 [0.67-1.46],0.965068019656674
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,19594,63,1.24 [0.76-2.04],0.393378815498132
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,19505,2943,1.00 [0.93-1.08],0.971194880833092
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,18701,62,1.81 [1.15-2.85],0.0107241001509925
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,19725,59,0.89 [0.52-1.53],0.6841884374314879
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,19713,1635,1.00 [0.90-1.10],0.9271870763025458
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,19711,1633,0.99 [0.90-1.10],0.8932665968247231
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,18175,97,0.85 [0.56-1.29],0.43918799264033
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,19822,1183,1.17 [1.04-1.31],0.0092038241953232
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other coagulation defects,19768,102,0.79 [0.53-1.20],0.274215402825011
GGCT,Gamma-glutamylcyclotransferase,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,19591,60,1.13 [0.67-1.90],0.653780642180646
