Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",21701,193,1.48 [1.01-2.17],0.0431495365073394
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",22912,247,1.32 [0.94-1.85],0.1059286919258252
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22641,1757,1.29 [1.13-1.46],0.0001103420911833
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Candidiasis,22918,544,1.23 [0.98-1.55],0.0752054190590826
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,22169,4217,1.21 [1.11-1.32],7.592493571338588e-06
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),22105,4293,1.22 [1.12-1.33],1.998253579391575e-06
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,22630,1428,1.31 [1.14-1.51],0.0001623636038321
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,22823,129,1.36 [0.85-2.16],0.1993617247273034
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,20098,1296,1.40 [1.21-1.63],8.032186947270744e-06
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19401,1582,1.49 [1.30-1.70],7.086800895067373e-09
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,18894,341,1.76 [1.33-2.33],8.483421794082207e-05
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,14916,2742,1.24 [1.11-1.37],5.980586636355056e-05
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,18832,497,1.60 [1.26-2.03],9.065167632041423e-05
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,22895,1693,1.27 [1.12-1.45],0.0002552879988246
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Mycoses,23012,638,1.28 [1.04-1.58],0.0210096092647949
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22129,1245,1.28 [1.09-1.48],0.0017606004599379
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,22937,1429,1.38 [1.20-1.59],6.126159412925319e-06
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,21449,247,1.34 [0.96-1.88],0.089870417247462
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,23071,67,1.78 [0.96-3.30],0.0674489828128365
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Other septicaemia,22757,1249,1.34 [1.16-1.56],0.0001270604964592
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,22772,78,1.37 [0.76-2.48],0.2991714260624115
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23007,141,1.62 [1.05-2.51],0.0292807960030239
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",22984,118,1.46 [0.90-2.37],0.1253226878611668
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,21386,502,1.59 [1.26-2.02],0.0001068367146457
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,21194,310,1.08 [0.79-1.48],0.6177037781651216
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,21339,137,1.35 [0.86-2.13],0.1922415587037337
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,23056,52,2.30 [1.18-4.47],0.0144576133786039
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23004,171,1.18 [0.78-1.79],0.4303839423109594
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Viral warts,22888,55,1.34 [0.65-2.74],0.428741249372899
OGFR,Opioid growth factor receptor,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],22909,76,1.17 [0.63-2.17],0.62110164295207
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign lipomatous neoplasm,22776,265,0.74 [0.53-1.05],0.0926543404583523
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,22987,39,1.33 [0.57-3.10],0.5107634765865707
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,22971,44,0.59 [0.26-1.36],0.2161072746466548
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,10988,86,1.03 [0.57-1.87],0.921723212309562
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",22607,1673,0.97 [0.84-1.10],0.6122209235917211
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm of meninges,23055,66,1.47 [0.77-2.79],0.2402142004164062
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,22978,78,2.01 [1.15-3.50],0.0141049360380885
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,23043,116,0.78 [0.47-1.30],0.3451394777819365
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm of ovary,12012,79,1.07 [0.59-1.95],0.8149304297242956
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm: Ascending colon,23031,439,0.98 [0.75-1.27],0.8725444205523559
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm: Caecum,23036,384,1.01 [0.76-1.33],0.9539669598362128
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",22923,86,0.83 [0.46-1.51],0.547208156054189
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm: Descending colon,23027,252,0.99 [0.70-1.40],0.9543946862870594
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm: Rectum,22985,410,0.94 [0.72-1.24],0.6822640303702351
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,22920,684,1.02 [0.82-1.25],0.884008466722676
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Benign neoplasm: Transverse colon,23012,541,1.09 [0.86-1.37],0.4843194185656549
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Carcinoma in situ of breast,9033,51,0.76 [0.35-1.64],0.4829958802489754
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",9076,67,1.49 [0.78-2.85],0.2241379708192794
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",16459,71,2.92 [1.68-5.08],0.0001479376295084
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",16487,99,1.01 [0.58-1.77],0.9697415284007092
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",23014,125,1.02 [0.63-1.66],0.933941003373438
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Haemangioma, any site",23015,122,1.02 [0.62-1.67],0.9352705937746344
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Leiomyoma of uterus,11744,167,0.97 [0.64-1.47],0.8950987579636487
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Lung cancer and mesothelioma,14596,478,1.07 [0.84-1.38],0.5728023205031554
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Lymphoid leukaemia,16461,73,2.62 [1.49-4.60],0.0007962631993816
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",16608,220,1.23 [0.85-1.78],0.2776888944816019
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",16705,317,0.91 [0.66-1.25],0.556090539632454
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",9153,102,0.98 [0.57-1.69],0.938064437159034
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",16497,109,0.95 [0.55-1.63],0.8549712712236577
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",16532,144,1.45 [0.92-2.28],0.1105346276228632
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",16511,123,1.14 [0.69-1.89],0.6057454487790526
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of ovary, excluding all cancers (controls excluding all cancers)",9137,86,0.88 [0.49-1.59],0.6805062156575223
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)",16514,126,0.87 [0.53-1.44],0.5896631641624932
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",8322,985,1.03 [0.86-1.23],0.7301005120937161
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",16525,137,0.73 [0.45-1.19],0.2106802579899749
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",16480,92,1.27 [0.72-2.24],0.4151957933946488
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,16535,147,1.50 [0.96-2.34],0.0765214423120142
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Melanocytic naevi,22925,183,1.30 [0.88-1.93],0.1864475791972029
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Melanocytic naevi of trunk,23043,77,1.94 [1.10-3.42],0.0218289494074173
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Melanoma in situ,16439,110,1.43 [0.86-2.39],0.1730088958985824
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",16509,121,1.22 [0.74-2.01],0.4373782416496875
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",16586,198,1.41 [0.96-2.07],0.078671812827757
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",16713,325,0.85 [0.63-1.16],0.3110930470835809
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",16514,126,2.20 [1.41-3.44],0.0005422904755061
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,Other benign neoplasms of skin,22899,163,1.22 [0.80-1.85],0.3621049331995597
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",17868,1480,1.04 [0.90-1.20],0.5952289938727349
OGFR,Opioid growth factor receptor,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",17948,1560,1.06 [0.92-1.22],0.4104514144969714
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,22763,394,1.23 [0.94-1.61],0.1369809889671598
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Anaemia in chronic diseases classified elsewhere,20745,167,2.65 [1.83-3.83],2.083762892164632e-07
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of spleen,22439,70,2.32 [1.30-4.15],0.0044114373847604
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,22301,3496,1.22 [1.12-1.34],1.425976438843311e-05
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Folate deficiency anaemia,21357,74,2.22 [1.26-3.92],0.0057359992394707
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Idiopathic thrombocytopenic purpura,22595,62,2.34 [1.26-4.34],0.0071865382501606
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,22550,1972,1.21 [1.07-1.36],0.0024135723435575
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,22548,1970,1.20 [1.07-1.36],0.0027457268273638
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified aplastic anaemias,20693,115,1.23 [0.74-2.04],0.4238048254014795
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,22706,1423,1.45 [1.26-1.67],1.5127347822274697e-07
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other coagulation defects,22647,114,1.60 [0.98-2.60],0.0592360819359958
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other diseases of blood and blood-forming organs,22442,73,1.18 [0.63-2.21],0.6151123578183
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other disorders of white blood cells,22446,77,1.47 [0.81-2.67],0.2030213472450816
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Purpura and other haemorrhagic conditions,22888,355,1.59 [1.21-2.10],0.0009224241133394
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Sarcoidosis,22944,40,1.37 [0.60-3.15],0.4524605391740594
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,"Thrombocytopenia, unspecified",22825,292,1.36 [0.99-1.85],0.0545441182378456
OGFR,Opioid growth factor receptor,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Vitamin B12 deficiency anaemia,21419,136,0.91 [0.57-1.45],0.6820626530770384
OGFR,Opioid growth factor receptor,"Chapter IV Endocrine, nutritional and metabolic diseases",Acidosis,15413,416,1.60 [1.23-2.08],0.0004177533266288
OGFR,Opioid growth factor receptor,"Chapter IV Endocrine, nutritional and metabolic diseases",Acute alcohol intoxication,21574,105,0.82 [0.48-1.42],0.4885899251920349
