Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",18401,147,0.99 [0.73-1.35],0.9675087970138772
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19348,197,1.00 [0.77-1.31],0.9747019550023353
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19122,1393,1.00 [0.91-1.11],0.9585627155137468
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Candidiasis,19362,436,1.09 [0.93-1.29],0.2793845360341782
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,18726,3408,1.07 [1.01-1.14],0.0228339370537748
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18709,3465,1.04 [0.98-1.10],0.2239098280114928
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19123,1151,1.11 [1.01-1.23],0.0339049125151845
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19278,105,0.92 [0.62-1.36],0.6760349478801051
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17093,1013,1.08 [0.97-1.20],0.1775340116493469
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,16480,1222,1.04 [0.94-1.15],0.481291861485902
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,16125,258,0.88 [0.68-1.14],0.3278587466919244
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,12618,2181,1.02 [0.94-1.10],0.6550215761604747
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,16082,392,1.20 [1.03-1.40],0.0229653538054836
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,19330,1358,1.11 [1.01-1.22],0.0254549013556638
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Mycoses,19429,503,1.12 [0.96-1.30],0.1419564376500411
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18710,981,1.00 [0.88-1.12],0.945019985176154
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,19372,1118,1.08 [0.97-1.20],0.1389382887663775
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,18169,197,1.01 [0.78-1.32],0.9211658920425102
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,19479,49,0.71 [0.36-1.38],0.3074885849424132
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19232,978,1.08 [0.97-1.21],0.149472872752854
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19234,61,1.05 [0.66-1.65],0.849429443528779
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Other viral diseases,19428,108,1.48 [1.19-1.85],0.0005339169590761
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",19414,94,1.43 [1.12-1.84],0.0042896165784698
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18107,378,0.99 [0.82-1.20],0.917706807958425
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,17980,251,0.99 [0.78-1.25],0.9096991492343744
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,18074,102,1.22 [0.91-1.63],0.1916216733601191
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,19464,45,0.89 [0.48-1.65],0.7009542833859148
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,19419,151,1.28 [1.01-1.62],0.0398683223522377
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Viral warts,19316,48,1.21 [0.77-1.91],0.4164443265118643
RTKN2,Rhotekin-2,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],19340,72,1.44 [1.08-1.92],0.0139199731296964
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign lipomatous neoplasm,19234,218,1.07 [0.84-1.36],0.5901467785596448
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,19406,36,1.18 [0.71-1.98],0.5215534961422502
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,19392,41,1.08 [0.64-1.83],0.7752253964871876
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,9195,71,0.94 [0.58-1.52],0.7877185670298698
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",19094,1394,0.93 [0.83-1.03],0.1610559436756255
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm of meninges,19465,55,0.91 [0.54-1.56],0.7426010394712894
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,19402,68,0.82 [0.49-1.38],0.4631393532681432
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,19456,100,1.15 [0.84-1.58],0.3701857808151946
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm of ovary,10232,65,1.04 [0.67-1.63],0.8488953110596832
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm: Ascending colon,19445,376,1.13 [0.95-1.34],0.1700360312762148
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm: Caecum,19458,318,1.02 [0.83-1.26],0.830177880176775
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",19357,73,1.13 [0.77-1.66],0.5449975178553788
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm: Descending colon,19444,217,0.87 [0.65-1.15],0.3259579690857834
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm: Rectum,19402,342,0.86 [0.68-1.08],0.1950603466397835
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,19346,579,1.06 [0.91-1.23],0.4414126199803024
RTKN2,Rhotekin-2,Chapter II Neoplasms,Benign neoplasm: Transverse colon,19438,445,1.12 [0.96-1.32],0.1529942367134818
RTKN2,Rhotekin-2,Chapter II Neoplasms,Carcinoma in situ of breast,7710,44,0.89 [0.48-1.65],0.7118551229708144
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",7741,52,0.68 [0.35-1.31],0.2527207245351756
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",13973,61,0.56 [0.29-1.10],0.0914688568976388
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",13993,81,1.20 [0.85-1.69],0.3022555060144171
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",19430,109,0.86 [0.58-1.29],0.4776801472870068
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Haemangioma, any site",19431,106,0.86 [0.58-1.30],0.483867009907588
RTKN2,Rhotekin-2,Chapter II Neoplasms,Leiomyoma of uterus,10002,147,1.01 [0.74-1.37],0.9617387021321292
RTKN2,Rhotekin-2,Chapter II Neoplasms,Lung cancer and mesothelioma,12433,421,0.98 [0.82-1.17],0.8015120967446578
RTKN2,Rhotekin-2,Chapter II Neoplasms,Lymphoid leukaemia,13975,63,0.67 [0.36-1.25],0.2094474976478882
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",14098,186,0.96 [0.72-1.29],0.7917303181203266
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of bladder, excluding all cancers (controls excluding all cancers)",14169,257,0.93 [0.72-1.20],0.5562920014595623
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of corpus uteri, excluding all cancers (controls excluding all cancers)",7826,99,1.05 [0.75-1.47],0.7687760513565355
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of intrahepatic ducts, biliary tract and gallbladder, excluding all cancers (controls excluding all cancers)",14003,91,0.71 [0.43-1.17],0.1822598312003376
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of kidney, except renal pelvis, excluding all cancers (controls excluding all cancers)",14029,117,0.61 [0.38-0.97],0.0371932803629289
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of oesophagus, excluding all cancers (controls excluding all cancers)",14019,107,1.06 [0.75-1.51],0.7282145343264772
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of ovary, excluding all cancers (controls excluding all cancers)",7802,75,1.11 [0.76-1.63],0.5796774199417931
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of pancreas, excluding all cancers (controls excluding all cancers)",14022,110,1.01 [0.71-1.44],0.9463239703716914
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",6987,802,1.06 [0.92-1.21],0.4287437277092372
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of rectum, excluding all cancers (controls excluding all cancers)",14026,114,1.33 [1.02-1.74],0.0357544839659901
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Malignant neoplasm of stomach, excluding all cancers (controls excluding all cancers)",13989,77,1.13 [0.75-1.68],0.562625241240678
RTKN2,Rhotekin-2,Chapter II Neoplasms,Malignant neoplasms of independent (primary) multiple sites,14028,116,0.99 [0.69-1.42],0.9627411878261188
RTKN2,Rhotekin-2,Chapter II Neoplasms,Melanocytic naevi,19354,159,0.88 [0.63-1.23],0.4585933270725375
RTKN2,Rhotekin-2,Chapter II Neoplasms,Melanocytic naevi of trunk,19456,67,0.83 [0.49-1.41],0.4924974553881894
RTKN2,Rhotekin-2,Chapter II Neoplasms,Melanoma in situ,13959,100,0.87 [0.57-1.33],0.5139327351421419
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Non-follicular lymphoma, hilmo, excluding all cancers",14013,101,1.16 [0.84-1.61],0.3555980123661217
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",14080,168,1.11 [0.85-1.45],0.4331936458559757
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Non-small cell lung cancer, excluding all cancers (controls excluding all cancers)",14207,295,1.09 [0.89-1.33],0.4004769540367751
RTKN2,Rhotekin-2,Chapter II Neoplasms,"Other and unspecified types of non-Hodgkin lymphoma, hilmo, excluding all cancers",14022,110,1.03 [0.72-1.47],0.8767439790026298
