Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",18366,150,1.11 [0.99-1.26],0.0810490927066075
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19302,199,1.06 [0.95-1.19],0.2974990219516682
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19077,1392,1.00 [0.96-1.05],0.9253307429450778
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Candidiasis,19315,442,0.97 [0.89-1.05],0.4569447130002217
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,18681,3388,1.00 [0.97-1.03],0.8859494605825595
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18654,3456,1.01 [0.99-1.04],0.3302605969509247
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19075,1142,1.00 [0.95-1.05],0.8980997380626589
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19231,106,0.96 [0.81-1.13],0.6193279093414397
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17044,1005,0.99 [0.94-1.04],0.6640011628645188
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,16441,1224,1.00 [0.95-1.05],0.958520333963364
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,16093,266,0.99 [0.90-1.10],0.9017033068106292
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,12607,2179,1.02 [0.98-1.06],0.2814384390381649
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,16042,391,1.07 [0.99-1.16],0.0912677127971368
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,19283,1350,1.00 [0.96-1.05],0.9122888979327664
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Mycoses,19385,512,1.00 [0.93-1.07],0.9542037658077156
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,18666,981,1.00 [0.95-1.05],0.995752765074824
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,19329,1113,1.00 [0.95-1.05],0.8781564863224018
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,18132,199,1.06 [0.95-1.19],0.2888357753594828
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Other infectious diseases,19435,48,0.99 [0.78-1.26],0.950036723778483
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19186,970,0.98 [0.93-1.04],0.5552942345804345
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,19188,63,1.27 [1.08-1.50],0.0031466314292471
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,19380,108,0.83 [0.69-0.99],0.0395765850707507
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",19366,94,0.77 [0.63-0.94],0.009130272970412
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,18068,383,0.95 [0.87-1.04],0.2989685425356297
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Viral agents as the cause of diseases classified to other chapters,17933,248,1.09 [0.98-1.20],0.0989702409292065
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Viral and other specified intestinal infections,18034,101,0.98 [0.83-1.16],0.7918621030479068
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Viral hepatitis,19420,44,1.07 [0.84-1.35],0.6008532812271989
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,19374,147,0.99 [0.87-1.14],0.9237911816895802
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Viral warts,19272,45,1.07 [0.85-1.35],0.5841307912675838
SHC1,SHC-transforming protein 1,Chapter I Certain infectious and parasitic diseases,Zoster [herpes zoster],19299,72,0.96 [0.78-1.17],0.6620098226834237
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign lipomatous neoplasm,19194,213,0.93 [0.82-1.05],0.2226620346063609
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,19362,34,0.98 [0.73-1.31],0.8739589204013666
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,19350,39,0.91 [0.68-1.21],0.5220064123243255
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign lipomatous neoplasm of spermatic cord,9203,69,0.88 [0.71-1.11],0.2844077555989271
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",19047,1379,0.96 [0.92-1.01],0.0957106390444864
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm of meninges,19423,57,0.98 [0.78-1.23],0.8655428190334908
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,19358,70,1.21 [1.03-1.43],0.0224375342931263
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm of other and unspecified endocrine glands,19412,99,0.94 [0.79-1.12],0.4664146626062483
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm of ovary,10185,61,1.10 [0.91-1.33],0.3295546491040109
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm: Ascending colon,19402,372,0.91 [0.83-1.00],0.0559825668821524
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm: Caecum,19412,313,0.92 [0.83-1.01],0.0848107981055168
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",19315,70,0.92 [0.75-1.14],0.4584244937141193
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm: Descending colon,19398,213,0.94 [0.83-1.06],0.2944464099928402
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm: Rectum,19356,344,0.97 [0.88-1.06],0.5290848457500349
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,19303,562,0.95 [0.88-1.02],0.1501654142250498
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Benign neoplasm: Transverse colon,19392,437,1.06 [0.98-1.14],0.14422528308911
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,Carcinoma in situ of breast,7678,44,0.85 [0.64-1.12],0.2474329832196647
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,"Carcinoma in situ of breast, intraductal",7711,55,0.88 [0.69-1.12],0.2974005468602269
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,"Chronic lymphocytic leukaemia and small lyphocytis leukaemia, excluding all cancers (controls excluding all cancers)",13939,61,0.75 [0.58-0.97],0.025606291137614
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,"Diffuse large B-cell lymphoma, excluding all cancers (controls excluding all cancers)",13958,80,0.79 [0.64-0.98],0.031959849701297
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",19387,106,0.99 [0.84-1.16],0.8714548890486425
SHC1,SHC-transforming protein 1,Chapter II Neoplasms,"Haemangioma, any site",19388,103,0.98 [0.83-1.16],0.8511421938516252
