Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,HR[95%CI],P_value
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,"Bacterial infection, other or unspecified",18401,147,1.18 [0.98-1.42],0.0812439619598837
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",19348,197,1.03 [0.86-1.23],0.718045797390898
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",19122,1393,0.97 [0.90-1.04],0.3852906323039639
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,Candidiasis,19362,436,0.99 [0.88-1.12],0.9055091815425264
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,18726,3408,1.02 [0.97-1.06],0.4628770473098524
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),18709,3465,1.01 [0.97-1.06],0.5589594042086672
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,Diarrhoea and gastroenteritis of presumed infectious origin,19123,1151,1.08 [1.01-1.16],0.0343564157768142
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,Enterocolitis due to Clostridium difficile,19278,105,1.02 [0.80-1.31],0.8801834690186381
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,17093,1013,1.03 [0.95-1.11],0.5183553772054044
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,16480,1222,1.04 [0.96-1.12],0.3226986325306567
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,Implicit fungal Sepsis,16125,258,0.95 [0.80-1.12],0.5312218157452229
SLC51B,Organic solute transporter subunit beta,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,12618,2181,1.02 [0.97-1.08],0.4619028840963176
