Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
NTF3,Neurotrophin-3,Chapter II Neoplasms,Benign neoplasm: Rectum,27460,59,2.51 [1.74-3.63],9.299006307006616e-07
NTF3,Neurotrophin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,25865,117,1.96 [1.38-2.79],0.0001747024208696
NTF3,Neurotrophin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,25853,105,1.94 [1.34-2.80],0.000439044790834
NTF3,Neurotrophin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,26164,416,1.70 [1.37-2.11],1.175988244912543e-06
NTF3,Neurotrophin-3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,26155,407,1.67 [1.34-2.07],3.927325295397153e-06
NTF3,Neurotrophin-3,Chapter VI Diseases of the nervous system,Epilepsy,26088,139,0.40 [0.26-0.62],3.3971846531821574e-05
NTF3,Neurotrophin-3,Chapter IX Diseases of the circulatory system,Secondary right heart disease,26931,97,2.02 [1.42-2.89],0.0001057890469139
NTF3,Neurotrophin-3,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,26931,97,2.02 [1.42-2.89],0.0001057890469139
NTF3,Neurotrophin-3,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",19477,94,2.01 [1.39-2.90],0.0001940949290127
NTF3,Neurotrophin-3,Chapter IX Diseases of the circulatory system,Cardiomyopathy,24069,40,2.40 [1.50-3.84],0.0002545066329164
NTF3,Neurotrophin-3,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,16827,280,2.97 [2.31-3.81],1.6436819915256178e-17
NTF3,Neurotrophin-3,Chapter IX Diseases of the circulatory system,"Heart failure, strict",26876,102,2.26 [1.66-3.08],2.1450537423740442e-07
NTF3,Neurotrophin-3,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,24741,1172,0.66 [0.57-0.77],1.398936590259213e-07
NTF3,Neurotrophin-3,Chapter X Diseases of the respiratory system,Early onset COPD,26651,158,0.46 [0.31-0.70],0.0002223474278549
NTF3,Neurotrophin-3,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",26671,178,0.50 [0.34-0.74],0.0004353830440742
NTF3,Neurotrophin-3,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",26671,178,0.50 [0.34-0.74],0.0004353830440742
NTF3,Neurotrophin-3,Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",25651,1008,0.68 [0.58-0.80],3.5662673411612468e-06
NTF3,Neurotrophin-3,Chapter X Diseases of the respiratory system,Asthma,20585,1008,0.70 [0.59-0.82],1.980653353918658e-05
NTF3,Neurotrophin-3,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",20393,1008,0.70 [0.59-0.83],2.8547250948338647e-05
NTF3,Neurotrophin-3,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",20570,993,0.69 [0.59-0.82],1.7491243181775382e-05
NTF3,Neurotrophin-3,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,19180,6051,0.87 [0.80-0.94],0.0004516451634694
NTF3,Neurotrophin-3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,19240,523,0.67 [0.54-0.84],0.0005548449659358
