Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
BECN1,Beclin-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,19593,753,1.23 [1.09-1.38],0.0004596084961902
BECN1,Beclin-1,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,17346,2355,1.12 [1.04-1.21],0.0028221548522109
BECN1,Beclin-1,Chapter IX Diseases of the circulatory system,"Hypertension, essential",18243,1727,1.12 [1.03-1.22],0.0070942166994555
BECN1,Beclin-1,Chapter IX Diseases of the circulatory system,Hypertension,18259,1743,1.12 [1.03-1.21],0.008686732538511
BECN1,Beclin-1,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,19189,1814,1.14 [1.06-1.23],0.0005897898099847
BECN1,Beclin-1,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,21040,995,1.17 [1.06-1.29],0.0018583816546202
BECN1,Beclin-1,Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",21812,854,1.16 [1.05-1.29],0.0051267109637158
BECN1,Beclin-1,Chapter X Diseases of the respiratory system,Asthma,17528,854,1.18 [1.06-1.32],0.0019725948620566
BECN1,Beclin-1,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",17372,854,1.19 [1.07-1.32],0.0017876086139238
BECN1,Beclin-1,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",17516,842,1.17 [1.05-1.31],0.0037292110358115
BECN1,Beclin-1,Chapter XI Diseases of the digestive system,Diseases of liver,22913,90,0.58 [0.40-0.83],0.0029838642237225
BECN1,Beclin-1,Chapter XIV Diseases of the genitourinary system,Irregular menses,23491,392,1.26 [1.08-1.46],0.0029040667767472
