Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IDS,Iduronate 2-sulfatase,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,18675,774,0.18 [0.09-0.35],8.194767349251319e-07
IDS,Iduronate 2-sulfatase,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,23269,931,0.36 [0.19-0.70],0.0023367630508362
IDS,Iduronate 2-sulfatase,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,25691,915,0.37 [0.20-0.70],0.0022641438240436
IDS,Iduronate 2-sulfatase,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,26468,411,0.10 [0.04-0.23],9.714642267605745e-08
IDS,Iduronate 2-sulfatase,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,25936,199,0.13 [0.03-0.51],0.0032410208252111
IDS,Iduronate 2-sulfatase,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",25939,196,0.14 [0.04-0.54],0.0043639327210986
IDS,Iduronate 2-sulfatase,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,23072,734,0.30 [0.14-0.61],0.0008892157431361
IDS,Iduronate 2-sulfatase,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,23019,681,0.30 [0.14-0.62],0.0013389813755438
IDS,Iduronate 2-sulfatase,Chapter VI Diseases of the nervous system,Neurological diseases,24178,1664,0.41 [0.25-0.68],0.0004497971954307
IDS,Iduronate 2-sulfatase,Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",26649,877,0.39 [0.21-0.76],0.0050186732735049
IDS,Iduronate 2-sulfatase,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,20640,2843,0.37 [0.24-0.58],9.350330438834847e-06
IDS,Iduronate 2-sulfatase,Chapter IX Diseases of the circulatory system,"Hypertension, essential",21681,2093,0.41 [0.26-0.67],0.0003584893065776
IDS,Iduronate 2-sulfatase,Chapter IX Diseases of the circulatory system,Hypertension,21703,2115,0.43 [0.27-0.70],0.0006331409680064
IDS,Iduronate 2-sulfatase,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",26346,739,0.24 [0.12-0.48],6.462921978661402e-05
IDS,Iduronate 2-sulfatase,Chapter IX Diseases of the circulatory system,Angina pectoris,26120,513,0.28 [0.12-0.65],0.0029290123674733
IDS,Iduronate 2-sulfatase,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,27459,231,0.14 [0.05-0.43],0.000587606030164
