Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22080,113,0.43 [0.22-0.86],0.0162116873299978
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",23401,80,0.34 [0.15-0.76],0.0081092150740688
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter II Neoplasms,Benign neoplasm of breast,23388,120,2.27 [1.28-4.04],0.0052447979987582
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter V Mental and behavioural disorders,Any mental disorder,19793,506,0.66 [0.47-0.93],0.0185935577558128
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",19413,126,0.41 [0.21-0.80],0.0084823907083056
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter V Mental and behavioural disorders,Other anxiety disorders,21820,64,0.27 [0.11-0.64],0.0029734164627823
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Glaucoma,22848,76,2.84 [1.29-6.27],0.0095834428892688
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,17244,2351,0.81 [0.67-0.97],0.0228985012142606
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter IX Diseases of the circulatory system,"Hypertension, essential",18142,1728,0.78 [0.64-0.96],0.0183797689968182
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter IX Diseases of the circulatory system,Hypertension,18157,1743,0.78 [0.64-0.96],0.0180965998134908
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter X Diseases of the respiratory system,Other diseases of upper respiratory tract,22784,481,0.71 [0.50-1.00],0.0478410377071839
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, all UC cases excluded)",23159,54,0.37 [0.14-0.97],0.0435936379935243
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, require KELA, min 2 HDR)",23388,78,0.44 [0.20-0.99],0.0478796255132066
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XI Diseases of the digestive system,Crohn disease,21821,78,0.44 [0.19-0.99],0.0476507805983544
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XI Diseases of the digestive system,Cholecystitis,21474,112,2.01 [1.03-3.94],0.0421194468485602
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XII Diseases of the skin and subcutaneous tissue,Nail disorders,22715,50,0.26 [0.10-0.70],0.0072783587847577
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other deformities of toe(s),15934,99,2.25 [1.10-4.62],0.0266613418056627
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other hammer toe(s) (acquired),15923,88,2.30 [1.06-5.02],0.0358509512446307
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XIV Diseases of the genitourinary system,Acute renal failure,21626,25,0.22 [0.05-0.93],0.0387475239600756
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XIV Diseases of the genitourinary system,Unspecified lump in breast,22902,142,1.90 [1.06-3.39],0.0306277037069904
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,Chapter XIV Diseases of the genitourinary system,Adenomyosis (Endometriosis of uterus),17578,136,0.52 [0.28-0.97],0.041356765403609
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,"Chapter XV Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems,23429,723,0.73 [0.54-0.98],0.0361719725879622
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,"Chapter XV Pregnancy, childbirth and the puerperium",Complications of labour and delivery,23435,988,0.76 [0.58-0.99],0.041259685051772
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,"Chapter XV Pregnancy, childbirth and the puerperium","Postpartum hemorraghe, all women as controls",23449,143,0.49 [0.26-0.90],0.0207413073571141
BHMT2,S-methylmethionine--homocysteine S-methyltransferase BHMT2,"Chapter XV Pregnancy, childbirth and the puerperium",Postpartum haemorrhage due to anatomy,22248,110,0.42 [0.21-0.84],0.0144438994414024
