Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CHRM1,Muscarinic acetylcholine receptor M1,Chapter II Neoplasms,Benign neoplasm: Stomach,23534,45,1.71 [1.05-2.80],0.0320312984185343
CHRM1,Muscarinic acetylcholine receptor M1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,23020,83,1.56 [1.05-2.33],0.0292441168901185
CHRM1,Muscarinic acetylcholine receptor M1,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,14141,84,1.73 [1.22-2.45],0.002132118633441
CHRM1,Muscarinic acetylcholine receptor M1,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,22689,58,1.72 [1.11-2.67],0.0151254150180014
CHRM1,Muscarinic acetylcholine receptor M1,Chapter IX Diseases of the circulatory system,Varicose veins,22570,518,1.28 [1.05-1.56],0.0126366488650176
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,20877,820,0.82 [0.67-1.00],0.0484734506624517
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XI Diseases of the digestive system,Diseases of liver,22872,86,1.52 [1.01-2.29],0.0435096122658002
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XI Diseases of the digestive system,Other diseases of liver,22831,45,1.72 [1.03-2.85],0.0363865687001349
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,16074,188,1.38 [1.03-1.86],0.03202686646924
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Polyarthropathies,16328,442,1.33 [1.08-1.64],0.0064512121084523
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,23047,168,1.37 [1.01-1.87],0.0447679466151417
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified arthritis,16113,227,1.39 [1.05-1.85],0.0214468481700784
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Lumbar disc prolapse,20156,87,1.54 [1.05-2.27],0.0278213552455625
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in limb,20226,257,0.65 [0.45-0.95],0.027408094423741
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIV Diseases of the genitourinary system,Other obstructive and reflux uropathy,21428,38,1.71 [1.00-2.90],0.0482746275611063
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIV Diseases of the genitourinary system,Acute renal failure,21718,26,1.86 [1.04-3.31],0.0361155171990812
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,21444,3924,0.91 [0.83-1.00],0.0451761387411329
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIV Diseases of the genitourinary system,Endometriosis,17823,303,0.67 [0.48-0.95],0.0237254013856767
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIV Diseases of the genitourinary system,Unspecified/other endometriosis,17603,83,0.45 [0.23-0.92],0.0273263617493282
CHRM1,Muscarinic acetylcholine receptor M1,Chapter XIV Diseases of the genitourinary system,Erosion and ectropion of cervix uteri,17605,85,1.68 [1.17-2.42],0.0052108873728387
CHRM1,Muscarinic acetylcholine receptor M1,"Chapter XV Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",23536,139,0.50 [0.29-0.86],0.012283386462834
CHRM1,Muscarinic acetylcholine receptor M1,"Chapter XV Pregnancy, childbirth and the puerperium",Pregnancy hypertension,23538,137,0.49 [0.29-0.85],0.0109164583585937
CHRM1,Muscarinic acetylcholine receptor M1,"Chapter XV Pregnancy, childbirth and the puerperium","Other obstetric conditions, not elsewhere classified",23535,209,0.54 [0.35-0.84],0.0056477402008376
CHRM1,Muscarinic acetylcholine receptor M1,"Chapter XV Pregnancy, childbirth and the puerperium","Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",23526,200,0.55 [0.36-0.86],0.0084647883455325
