Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
DCUN1D1,DCN1-like protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,20928,873,1.10 [1.02-1.19],0.0171375728583516
DCUN1D1,DCN1-like protein 1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,23383,90,1.27 [1.03-1.56],0.0248264504943117
DCUN1D1,DCN1-like protein 1,Chapter II Neoplasms,Leiomyoma of uterus,22955,851,1.09 [1.01-1.19],0.0314184709413083
DCUN1D1,DCN1-like protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,22034,377,1.15 [1.03-1.29],0.013981337598939
DCUN1D1,DCN1-like protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,22034,377,1.15 [1.03-1.29],0.013981337598939
DCUN1D1,DCN1-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,21501,750,1.19 [1.10-1.29],1.6992079919127413e-05
DCUN1D1,DCN1-like protein 1,Chapter VI Diseases of the nervous system,Epilepsy,22078,113,1.27 [1.05-1.53],0.0122950675348964
DCUN1D1,DCN1-like protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of lacrimal system,22532,89,1.24 [1.01-1.54],0.0446130833394653
DCUN1D1,DCN1-like protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Senile cataract,19878,145,0.71 [0.54-0.95],0.0201077542886399
DCUN1D1,DCN1-like protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of ocular muscles, binocular movement, accommodation and refraction",22699,76,0.67 [0.45-0.99],0.0449836951598721
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Interstitial lung disease,21858,57,1.35 [1.06-1.74],0.0166450933622459
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",23213,57,1.35 [1.05-1.73],0.0172139880425004
DCUN1D1,DCN1-like protein 1,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,21853,52,1.40 [1.09-1.80],0.0079684129347233
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,17079,328,1.23 [1.10-1.38],0.0003455100892455
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Constipation,21993,294,1.22 [1.08-1.38],0.0014803434501221
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Diseases of the digestive system,22264,257,1.42 [1.27-1.59],1.02989710865957e-09
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Intestinal malabsorption,22098,91,1.80 [1.56-2.08],7.831995789596475e-16
DCUN1D1,DCN1-like protein 1,Chapter XI Diseases of the digestive system,Coeliac disease,22085,78,1.75 [1.50-2.05],3.1225693456412272e-12
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified arthritis,16060,232,0.81 [0.66-0.99],0.0380716437593502
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,22701,206,1.19 [1.03-1.39],0.0209860474288987
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other systemic involvement of connective tissue,22577,82,1.30 [1.05-1.61],0.0169648238275474
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Impingement syndrome of shoulder,20000,115,0.73 [0.53-0.99],0.0415051253799238
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified soft tissue disorders,20052,167,0.76 [0.59-0.97],0.0269614491807104
DCUN1D1,DCN1-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Osteoporosis,21084,208,1.18 [1.01-1.37],0.0333799465469913
DCUN1D1,DCN1-like protein 1,Chapter XIV Diseases of the genitourinary system,Ovarian cyst,17812,338,0.84 [0.72-0.99],0.0331944659056627
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems,23415,719,0.88 [0.78-0.98],0.0254680069199021
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Complications of labour and delivery,23422,990,0.86 [0.77-0.95],0.0026183836860272
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Perineal laceration during delivery,22983,551,0.87 [0.77-1.00],0.0418732082482435
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Delivery,23440,280,0.82 [0.69-0.99],0.0392695515582342
DCUN1D1,DCN1-like protein 1,"Chapter XV Pregnancy, childbirth and the puerperium",Single spontaneous delivery,23379,219,0.76 [0.61-0.94],0.0130182332921479
