Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ECE1,Endothelin-converting enzyme 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,23571,191,1.44 [1.01-2.04],0.041371193825357
ECE1,Endothelin-converting enzyme 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,24431,80,1.71 [1.03-2.84],0.0390901613890611
ECE1,Endothelin-converting enzyme 1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,26168,68,1.92 [1.16-3.17],0.0110428594006972
ECE1,Endothelin-converting enzyme 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,25649,297,1.38 [1.05-1.82],0.0219248901984255
ECE1,Endothelin-converting enzyme 1,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",22655,661,1.29 [1.06-1.56],0.0118433375447022
ECE1,Endothelin-converting enzyme 1,Chapter II Neoplasms,Melanocytic naevi,26879,251,0.73 [0.53-1.00],0.0480245868034421
ECE1,Endothelin-converting enzyme 1,Chapter V Mental and behavioural disorders,Any mental disorder,22860,600,0.71 [0.58-0.88],0.0014672371802153
ECE1,Endothelin-converting enzyme 1,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",22301,41,0.33 [0.16-0.71],0.0040653803772348
ECE1,Endothelin-converting enzyme 1,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",22631,371,0.72 [0.55-0.94],0.0145023518550739
ECE1,Endothelin-converting enzyme 1,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",22401,141,0.55 [0.36-0.83],0.0046446072219965
ECE1,Endothelin-converting enzyme 1,Chapter V Mental and behavioural disorders,Other anxiety disorders,25211,70,0.45 [0.25-0.80],0.007119717002184
ECE1,Endothelin-converting enzyme 1,Chapter VI Diseases of the nervous system,Hemiplegia,26818,55,1.78 [1.00-3.17],0.0486050138398803
ECE1,Endothelin-converting enzyme 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of lacrimal system,26053,104,1.79 [1.19-2.71],0.0057172486975373
ECE1,Endothelin-converting enzyme 1,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,18985,47,0.44 [0.22-0.91],0.0264957469377146
ECE1,Endothelin-converting enzyme 1,Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,20981,724,1.22 [1.01-1.48],0.0416515834220854
ECE1,Endothelin-converting enzyme 1,Chapter XI Diseases of the digestive system,Other gastritis (incl. Duodenitis),21081,824,1.20 [1.00-1.43],0.0485136388609442
ECE1,Endothelin-converting enzyme 1,Chapter XI Diseases of the digestive system,Diseases of liver,26315,100,2.39 [1.67-3.41],1.5189245874936708e-06
ECE1,Endothelin-converting enzyme 1,Chapter XI Diseases of the digestive system,Other diseases of liver,26265,50,2.31 [1.39-3.82],0.0012156445330204
ECE1,Endothelin-converting enzyme 1,Chapter XI Diseases of the digestive system,Intestinal malabsorption,25518,105,1.57 [1.01-2.42],0.043726216768449
ECE1,Endothelin-converting enzyme 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Fibroblastic disorders,23079,54,0.49 [0.25-0.97],0.0408598196084073
ECE1,Endothelin-converting enzyme 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Palmar fascial fibromatosis [Dupuytren],23065,40,0.45 [0.20-0.98],0.0438794601529323
ECE1,Endothelin-converting enzyme 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rotator cuff syndrome,23094,69,0.52 [0.29-0.95],0.0327512508440935
ECE1,Endothelin-converting enzyme 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Osteoporosis,24382,234,1.41 [1.03-1.93],0.0330734252147469
ECE1,Endothelin-converting enzyme 1,Chapter XIV Diseases of the genitourinary system,Unspecified lump in breast,26473,167,1.44 [1.00-2.07],0.0485460753643299
ECE1,Endothelin-converting enzyme 1,Chapter XIV Diseases of the genitourinary system,Inflammatory diseases of female pelvic organs,26712,549,0.78 [0.63-0.97],0.0263139651958549
ECE1,Endothelin-converting enzyme 1,Chapter XIV Diseases of the genitourinary system,Inflammatory disease of cervix uteri,26295,132,0.53 [0.34-0.82],0.0039783061212497
ECE1,Endothelin-converting enzyme 1,Chapter XIV Diseases of the genitourinary system,Noninflammatory disorders of female genital tract,24678,4502,0.88 [0.81-0.96],0.0037913177846106
ECE1,Endothelin-converting enzyme 1,Chapter XIV Diseases of the genitourinary system,HSIL lesion of the cervix uteri,27083,138,0.63 [0.41-0.96],0.0320532230104554
ECE1,Endothelin-converting enzyme 1,Chapter XIV Diseases of the genitourinary system,"HSIL lesion of the cervix uteri, vagina or vulva",27073,151,0.66 [0.44-0.99],0.0465569556432523
ECE1,Endothelin-converting enzyme 1,"Chapter XV Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems,27078,865,0.80 [0.67-0.97],0.0214614845402531
ECE1,Endothelin-converting enzyme 1,"Chapter XV Pregnancy, childbirth and the puerperium",Maternal care for other known or suspected fetal problems,26462,249,0.71 [0.51-0.99],0.0447524983458792
ECE1,Endothelin-converting enzyme 1,Chapter VI Diseases of the nervous system,Falls/tendency to fall,24234,628,1.24 [1.02-1.52],0.0300251380043259
