Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,24233,992,1.39 [1.22-1.58],4.684640057095658e-07
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24154,198,2.19 [1.66-2.88],3.171436552996718e-08
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,18480,770,1.61 [1.38-1.87],5.00660295663161e-10
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,26112,124,1.48 [1.04-2.11],0.0285724538314958
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25032,85,1.61 [1.06-2.45],0.0269867085785036
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27551,123,1.45 [1.02-2.07],0.0389996498315896
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27594,102,1.59 [1.08-2.34],0.0187888678737197
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27589,97,1.60 [1.08-2.38],0.0198431018636487
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,Mycoses,27245,65,1.64 [1.02-2.64],0.0417923406680576
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",26426,437,1.50 [1.24-1.82],2.44786639618164e-05
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26292,303,1.55 [1.23-1.94],0.0001641688413573
ICAM5,Intercellular adhesion molecule 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,24774,1035,1.27 [1.12-1.44],0.0001807111481676
ICAM5,Intercellular adhesion molecule 5,Chapter II Neoplasms,Benign neoplasm: Stomach,27773,55,1.85 [1.08-3.16],0.0244401090772621
ICAM5,Intercellular adhesion molecule 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,26360,275,1.27 [1.01-1.62],0.0451407691740562
ICAM5,Intercellular adhesion molecule 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,26081,451,1.26 [1.05-1.52],0.0135674950638296
ICAM5,Intercellular adhesion molecule 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,26081,451,1.26 [1.05-1.52],0.0135674950638296
ICAM5,Intercellular adhesion molecule 5,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),24534,423,1.64 [1.35-2.00],5.68747802955627e-07
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,23030,931,1.56 [1.37-1.79],8.950803551008614e-11
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,25424,909,1.16 [1.01-1.32],0.0330592957706029
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,25906,120,3.30 [2.38-4.59],1.086017048780455e-12
ICAM5,Intercellular adhesion molecule 5,Chapter IX Diseases of the circulatory system,Peripheral artery disease,26750,61,2.56 [1.58-4.15],0.0001333157579532
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,25894,108,3.38 [2.39-4.76],4.211229344264448e-12
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,26206,420,1.68 [1.38-2.04],1.7394915010506928e-07
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,26196,410,1.66 [1.36-2.02],5.124970504052601e-07
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,22832,733,1.60 [1.38-1.87],1.2055853223270115e-09
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",22183,84,1.82 [1.18-2.82],0.0067424901596528
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,22778,679,1.59 [1.36-1.86],8.196031097330157e-09
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,22150,51,1.94 [1.13-3.35],0.0166565838484227
ICAM5,Intercellular adhesion molecule 5,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",22172,73,1.72 [1.08-2.72],0.0215199019453175
ICAM5,Intercellular adhesion molecule 5,Chapter V Mental and behavioural disorders,Any mental disorder,23431,625,1.39 [1.19-1.63],4.923658295347052e-05
ICAM5,Intercellular adhesion molecule 5,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",22927,121,1.73 [1.21-2.48],0.0027927490872432
ICAM5,Intercellular adhesion molecule 5,Chapter V Mental and behavioural disorders,Alcohol dependence,26303,26,2.26 [1.09-4.70],0.028750763717859
ICAM5,Intercellular adhesion molecule 5,Chapter V Mental and behavioural disorders,Smoking dependency,26196,36,2.78 [1.48-5.24],0.0015142641714393
ICAM5,Intercellular adhesion molecule 5,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",23192,386,1.38 [1.13-1.69],0.0014271928775464
ICAM5,Intercellular adhesion molecule 5,Chapter V Mental and behavioural disorders,Depression,25765,342,1.30 [1.05-1.61],0.0153331790268518
ICAM5,Intercellular adhesion molecule 5,Chapter V Mental and behavioural disorders,Depression or dysthymia,22971,300,1.29 [1.03-1.62],0.0263281988933074
ICAM5,Intercellular adhesion molecule 5,Chapter VI Diseases of the nervous system,Neurological diseases,23939,1641,1.15 [1.04-1.27],0.0071499093123647
ICAM5,Intercellular adhesion molecule 5,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,26424,427,1.36 [1.12-1.65],0.0017760407721798
ICAM5,Intercellular adhesion molecule 5,Chapter VI Diseases of the nervous system,Epilepsy,26137,140,1.59 [1.14-2.21],0.0058433175561839
ICAM5,Intercellular adhesion molecule 5,Chapter VI Diseases of the nervous system,Other sleep disorders,26094,97,1.50 [1.01-2.23],0.0433622838343155
ICAM5,Intercellular adhesion molecule 5,Chapter VI Diseases of the nervous system,Sleep apnoea,27353,70,1.77 [1.12-2.81],0.0153991784311334
