Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter II Neoplasms,Benign lipomatous neoplasm,23337,243,0.65 [0.44-0.97],0.0361116433593818
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,23481,109,1.50 [1.04-2.18],0.0319506503442591
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter II Neoplasms,Benign neoplasm of breast,23464,116,1.50 [1.04-2.16],0.030546051043219
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",19378,38,0.29 [0.09-0.89],0.0304304289537827
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",19651,311,0.68 [0.48-0.97],0.0352407116625403
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter IX Diseases of the circulatory system,Hypotension,22588,72,1.73 [1.15-2.59],0.0078733834903927
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,22739,203,1.38 [1.01-1.87],0.041300219014778
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XI Diseases of the digestive system,Inguinal hernia,20098,57,0.33 [0.14-0.80],0.0147451591128891
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, all UC cases excluded)",23235,54,0.29 [0.12-0.73],0.0084720044986614
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XI Diseases of the digestive system,Other diseases of anus and rectum,17567,757,1.23 [1.03-1.47],0.0242057825832461
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XII Diseases of the skin and subcutaneous tissue,Disorders of skin appendages,23139,393,0.70 [0.52-0.96],0.0250609385631529
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XII Diseases of the skin and subcutaneous tissue,Nail disorders,22798,52,0.37 [0.15-0.93],0.0350856376990588
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Pain in joint,17503,258,1.42 [1.10-1.84],0.0075858641941589
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,20136,69,1.68 [1.10-2.57],0.0163501629875625
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XIII Diseases of the musculoskeletal system and connective tissue,Impingement syndrome of shoulder,20082,119,0.54 [0.30-0.98],0.0413903435513796
SSBP1,"Single-stranded DNA-binding protein, mitochondrial",Chapter XIV Diseases of the genitourinary system,Other abnormal uterine and vaginal bleeding,17911,400,1.33 [1.06-1.67],0.0139991034479395
SSBP1,"Single-stranded DNA-binding protein, mitochondrial","Chapter XV Pregnancy, childbirth and the puerperium",Maternal care related to the fetus and amniotic cavity and possible delivery problems,23511,713,0.77 [0.61-0.98],0.0347134757231327
SSBP1,"Single-stranded DNA-binding protein, mitochondrial","Chapter XV Pregnancy, childbirth and the puerperium",Maternal care for other known or suspected fetal problems,22995,197,0.54 [0.33-0.86],0.0099566734152911
