Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
GPC1,Glypican-1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,24451,999,1.68 [1.38-2.04],1.938581366429327e-07
GPC1,Glypican-1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24354,199,3.84 [2.51-5.88],6.175401942442295e-10
GPC1,Glypican-1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,18652,779,2.00 [1.60-2.51],2.0681475447444647e-09
GPC1,Glypican-1,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",23432,678,1.73 [1.37-2.19],4.6210792179173096e-06
GPC1,Glypican-1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),24736,423,2.38 [1.77-3.20],1.0318866200621084e-08
GPC1,Glypican-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,23222,932,1.77 [1.44-2.17],5.3555742190126376e-08
GPC1,Glypican-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,26122,123,7.78 [4.66-12.99],4.262419745090015e-15
GPC1,Glypican-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,26109,110,6.57 [3.80-11.34],1.4463478077010285e-11
GPC1,Glypican-1,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,22340,50,6.82 [2.99-15.56],4.990902122864482e-06
GPC1,Glypican-1,Chapter IX Diseases of the circulatory system,Hypertension,21665,2116,1.43 [1.23-1.66],2.7941424972586622e-06
