Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,20739,845,1.06 [0.93-1.19],0.391070572235258
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,20710,166,1.17 [0.93-1.48],0.1821390822774283
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,22419,168,1.31 [1.07-1.60],0.0091923429613072
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,15799,637,1.12 [0.97-1.29],0.1102686208540203
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,22361,110,1.35 [1.07-1.71],0.0103622790171016
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21470,73,0.84 [0.52-1.37],0.4864738147257567
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23563,109,1.35 [1.06-1.71],0.0133581283067389
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23555,72,1.14 [0.78-1.65],0.5068086524781785
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,20926,50,0.80 [0.43-1.47],0.46880587667639
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23009,103,0.90 [0.61-1.33],0.5943556835077743
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Other septicaemia,22968,62,0.82 [0.48-1.40],0.4721446246756156
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,23633,67,0.70 [0.40-1.23],0.2179993220159186
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Other viral diseases,23606,85,0.87 [0.56-1.35],0.5404068791667969
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",23603,82,0.88 [0.56-1.37],0.5727028281879353
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Mycoses,23305,58,0.39 [0.20-0.78],0.0077266504525742
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",22620,365,1.01 [0.84-1.22],0.9194945109114648
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22368,113,1.21 [0.93-1.59],0.1611646889488824
GAS2,Growth arrest-specific protein 2,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,22506,251,0.90 [0.70-1.15],0.3990923728463268
GAS2,Growth arrest-specific protein 2,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",19305,46,1.06 [0.63-1.77],0.8265492038646383
GAS2,Growth arrest-specific protein 2,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",19317,58,nan [nan-nan],
GAS2,Growth arrest-specific protein 2,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",19488,229,1.07 [0.86-1.35],0.5345280952213234
GAS2,Growth arrest-specific protein 2,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",19495,236,1.09 [0.87-1.36],0.4549424655002247
GAS2,Growth arrest-specific protein 2,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",19835,576,0.97 [0.82-1.13],0.6656216616955931
GAS2,Growth arrest-specific protein 2,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",19305,46,0.81 [0.44-1.52],0.5197319306098985
GAS2,Growth arrest-specific protein 2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,21200,880,1.02 [0.91-1.16],0.7089350327207893
GAS2,Growth arrest-specific protein 2,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",22726,254,0.77 [0.58-1.01],0.0587509433925171
GAS2,Growth arrest-specific protein 2,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,23332,95,0.71 [0.44-1.13],0.1450033006443915
GAS2,Growth arrest-specific protein 2,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",23716,82,0.67 [0.40-1.12],0.1276777468078353
