Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,24200,990,1.06 [0.97-1.15],0.2244981203567471
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24112,193,1.11 [0.91-1.35],0.2927379752363529
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,26129,192,1.04 [0.86-1.27],0.6843858458066299
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,18459,766,1.01 [0.91-1.12],0.8614739857138665
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,26060,123,0.92 [0.72-1.19],0.5292765279675842
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,24988,83,1.11 [0.82-1.49],0.5041736150892941
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27508,122,0.94 [0.73-1.20],0.6010490110468588
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,27502,82,1.06 [0.78-1.43],0.7137792914957645
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,24361,65,1.09 [0.78-1.53],0.6258565242390328
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,26825,120,1.08 [0.84-1.39],0.5333700216934885
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Other septicaemia,26776,71,1.14 [0.83-1.57],0.4259486262401325
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,27586,78,1.03 [0.76-1.41],0.8278232280353872
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27552,100,1.14 [0.87-1.49],0.3539950637865463
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27547,95,1.15 [0.87-1.51],0.3279703968610904
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Mycoses,27201,62,0.80 [0.56-1.15],0.2255703532117051
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",26384,436,1.05 [0.92-1.20],0.4393388602018725
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26078,130,1.08 [0.85-1.37],0.5135197451708676
IL7,Interleukin-7,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26250,302,1.15 [0.99-1.35],0.0730730057753934
IL7,Interleukin-7,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",22565,50,0.92 [0.62-1.37],0.6947996164948986
IL7,Interleukin-7,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",22579,64,nan [nan-nan],
IL7,Interleukin-7,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",22772,257,nan [nan-nan],
IL7,Interleukin-7,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",22780,265,nan [nan-nan],
IL7,Interleukin-7,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",23190,675,0.98 [0.88-1.09],0.7231064616163603
IL7,Interleukin-7,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",22567,52,0.74 [0.50-1.10],0.1383063833740367
