Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,21138,857,1.01 [0.92-1.10],0.8830059886956705
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,21092,168,0.89 [0.73-1.08],0.227313949177039
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,22825,171,1.02 [0.84-1.23],0.8578620734108147
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,16102,644,0.96 [0.87-1.07],0.478273267224524
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,22765,111,0.88 [0.69-1.12],0.2962257725020069
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,21863,75,0.91 [0.68-1.21],0.5100391587664235
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",23978,110,0.88 [0.69-1.12],0.3003903011344452
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,23971,73,0.97 [0.73-1.29],0.8326983046792409
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,21313,52,1.17 [0.84-1.64],0.3456408336793031
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,23420,105,0.91 [0.71-1.16],0.4378554731002141
PIBF1,"Progesterone-induced-blocking factor 1, Isoform 4",Chapter I Certain infectious and parasitic diseases,Other septicaemia,23379,64,0.87 [0.64-1.19],0.3894261198417513
