Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,24464,991,0.63 [0.57-0.69],3.248826913271674e-21
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,24382,197,0.35 [0.29-0.42],4.2952136946269055e-28
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,26416,192,0.64 [0.52-0.79],2.921829579723869e-05
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,18652,769,0.45 [0.41-0.50],4.342490945660936e-48
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,26348,124,0.65 [0.50-0.85],0.001610988174723
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,25268,84,0.32 [0.24-0.43],1.6478466544606613e-15
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",27805,123,0.68 [0.52-0.88],0.0034719512958426
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,27799,83,0.89 [0.63-1.25],0.4874680084172885
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,24635,65,0.35 [0.26-0.49],1.8996930651975986e-10
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,27122,120,0.38 [0.30-0.48],4.83713708920863e-16
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Other septicaemia,27073,71,0.32 [0.24-0.42],3.744080202562782e-15
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,27888,77,0.67 [0.48-0.93],0.0172012932060991
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Other viral diseases,27851,101,0.63 [0.48-0.84],0.0018590351870716
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",27846,96,0.63 [0.47-0.84],0.0018074497005988
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Mycoses,27499,65,0.56 [0.40-0.78],0.0007779372054042
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",26675,437,0.64 [0.56-0.74],1.308201190955569e-09
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,26370,132,0.47 [0.37-0.59],2.6878736874941544e-10
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,26541,303,0.70 [0.59-0.83],4.896334785160628e-05
UMOD,Uromodulin,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",22812,52,0.99 [0.64-1.55],0.9730797345619112
UMOD,Uromodulin,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",22824,64,nan [nan-nan],
UMOD,Uromodulin,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",23023,263,nan [nan-nan],
UMOD,Uromodulin,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",23030,270,nan [nan-nan],
UMOD,Uromodulin,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",23434,674,0.87 [0.77-0.98],0.0224834274091639
UMOD,Uromodulin,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",22813,53,0.76 [0.50-1.15],0.1926699912128343
UMOD,Uromodulin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,25005,1039,0.65 [0.59-0.71],2.8460086143352483e-19
UMOD,Uromodulin,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",26799,294,0.82 [0.68-0.98],0.0259214161491892
UMOD,Uromodulin,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,27540,111,0.86 [0.64-1.15],0.3087271829492715
UMOD,Uromodulin,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",27984,90,0.91 [0.65-1.26],0.5613312642385913
UMOD,Uromodulin,Chapter II Neoplasms,Benign neoplasm: Rectum,27763,58,0.80 [0.54-1.19],0.2627154331524302
UMOD,Uromodulin,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,27983,70,1.16 [0.78-1.71],0.4739679302412731
UMOD,Uromodulin,Chapter II Neoplasms,Benign neoplasm: Stomach,28030,55,0.88 [0.58-1.33],0.5382250550126162
UMOD,Uromodulin,Chapter II Neoplasms,Benign lipomatous neoplasm,27801,277,1.02 [0.84-1.25],0.8127018762687183
UMOD,Uromodulin,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,27977,112,1.01 [0.74-1.37],0.9543545113691282
UMOD,Uromodulin,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,27977,105,1.12 [0.81-1.54],0.5029577277095697
UMOD,Uromodulin,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",27908,71,1.61 [1.06-2.46],0.026888427538802
UMOD,Uromodulin,Chapter II Neoplasms,"Haemangioma, any site",27910,70,1.65 [1.07-2.52],0.0224219179002654
UMOD,Uromodulin,Chapter II Neoplasms,Melanocytic naevi,27815,271,0.98 [0.80-1.19],0.8189253830851356
UMOD,Uromodulin,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,27990,123,0.83 [0.62-1.10],0.1968993889318789
UMOD,Uromodulin,Chapter II Neoplasms,Other benign neoplasms of skin,27876,232,0.95 [0.77-1.18],0.6588995037703334
UMOD,Uromodulin,Chapter II Neoplasms,Benign neoplasm of breast,27969,137,1.13 [0.85-1.51],0.3920763334166434
UMOD,Uromodulin,Chapter II Neoplasms,Leiomyoma of uterus,27446,1008,1.05 [0.95-1.17],0.3311387017996122
UMOD,Uromodulin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,26606,274,0.60 [0.50-0.71],6.83291422656254e-09
UMOD,Uromodulin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,26327,461,0.61 [0.53-0.70],3.5193289190205124e-12
UMOD,Uromodulin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,26327,461,0.61 [0.53-0.70],3.5193289190205124e-12
UMOD,Uromodulin,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),24762,422,0.55 [0.48-0.64],2.1160072692751678e-16
UMOD,Uromodulin,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,27448,97,0.71 [0.52-0.96],0.0249302273551014
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,27672,109,0.44 [0.34-0.57],1.5999745803463435e-10
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,23258,932,0.58 [0.52-0.64],1.2190205608027331e-26
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,25657,910,0.74 [0.67-0.82],1.4298725825349072e-08
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,26152,123,0.34 [0.28-0.43],8.397172595136316e-21
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Peripheral artery disease,27004,61,0.35 [0.26-0.47],1.7045450794788296e-11
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,26138,109,0.34 [0.27-0.43],3.9295822682457023e-19
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,26450,421,0.38 [0.33-0.43],5.87268948159226e-45
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,26440,411,0.38 [0.33-0.43],3.613299665722406e-44
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,25910,200,0.65 [0.52-0.82],0.000265187391324
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",25912,197,0.66 [0.52-0.83],0.0003768186771664
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,23062,736,0.60 [0.54-0.68],3.075571435478569e-18
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",22408,82,0.52 [0.38-0.71],3.5492256261693755e-05
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,23010,684,0.61 [0.54-0.69],1.356488295695031e-16
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,22376,50,0.31 [0.22-0.43],5.764990635092506e-12
UMOD,Uromodulin,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",22398,72,0.50 [0.36-0.70],3.6337384746296645e-05
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,Any mental disorder,23629,627,0.65 [0.58-0.74],2.831939716836464e-12
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",23121,119,0.60 [0.46-0.79],0.0001985310199145
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",27786,79,0.69 [0.50-0.96],0.0260160826301738
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",27828,47,0.75 [0.49-1.15],0.1855043188519096
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,26559,38,0.68 [0.42-1.08],0.1020066223348031
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",27980,38,0.70 [0.44-1.12],0.1363142790265595
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",23040,38,0.65 [0.41-1.04],0.0697447974496718
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,Alcohol dependence,26546,25,0.84 [0.46-1.54],0.5697484893908872
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,Smoking dependency,26437,36,0.57 [0.36-0.89],0.0145563539951107
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",23046,44,0.68 [0.44-1.06],0.0905369020798634
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",23390,388,0.62 [0.53-0.72],2.0057693249950507e-10
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,Depression,25988,344,0.64 [0.55-0.75],4.8270293819636426e-08
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,Depression or dysthymia,23170,302,0.64 [0.54-0.76],2.283470679260436e-07
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",23153,151,0.86 [0.67-1.12],0.2637092152699092
UMOD,Uromodulin,Chapter V Mental and behavioural disorders,Other anxiety disorders,26071,77,0.81 [0.57-1.15],0.2383357677795093
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Neurological diseases,24158,1658,0.82 [0.75-0.88],5.789105426482384e-07
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,22091,185,0.86 [0.68-1.09],0.222530750000245
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,27830,154,0.88 [0.68-1.13],0.3189450253986826
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,26671,432,0.78 [0.67-0.90],0.0009310634416498
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Epilepsy,26380,141,0.89 [0.69-1.17],0.4080252339778337
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Migraine,26370,131,0.81 [0.62-1.06],0.1305923361076129
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",27581,121,0.79 [0.60-1.05],0.1074194239643385
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Transient ischemic attack,27316,60,0.70 [0.48-1.02],0.0653965052874355
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Other sleep disorders,26337,98,0.64 [0.48-0.85],0.0024710198561622
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Sleep apnoea,27605,70,0.63 [0.45-0.89],0.0078734317592947
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",26627,872,0.92 [0.82-1.02],0.1130100009135087
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",25879,124,0.95 [0.71-1.27],0.7261360548259089
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Carpal tunnel syndrome,26310,555,0.97 [0.85-1.11],0.6656910612002152
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,27769,77,0.58 [0.42-0.80],0.0007666819983094
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Hemiplegia,27749,57,0.57 [0.40-0.83],0.0031732575019925
UMOD,Uromodulin,Chapter VI Diseases of the nervous system,Other neurological diseases,27529,126,0.63 [0.49-0.82],0.000455077150918
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of eyelid, lacrimal system and orbit",27276,430,1.10 [0.94-1.30],0.2267117876457474
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of eyelid,27099,253,1.03 [0.84-1.26],0.805367412707612
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Chalazion,26918,72,1.76 [1.15-2.70],0.009641185336979
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other specified and unspecified  disorders of eyelid,26984,138,1.06 [0.80-1.40],0.6861717129473786
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of lacrimal system,26952,106,0.97 [0.71-1.32],0.8256558037780031
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Senile cataract,23826,179,0.76 [0.60-0.95],0.0144759802646459
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other cataract,24063,416,0.88 [0.76-1.03],0.1155778661397976
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,26964,186,0.68 [0.55-0.85],0.0005366168019601
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,27757,34,0.30 [0.21-0.45],1.644303798325237e-09
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,1806,34,0.44 [0.29-0.66],0.0001030138351786
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",25985,34,0.28 [0.19-0.42],1.339143353974846e-10
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Glaucoma,27309,95,1.00 [0.72-1.39],0.9912110659751496
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other and unspecified glaucoma,27267,53,1.07 [0.68-1.67],0.7675450797068134
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of ocular muscles, binocular movement, accommodation and refraction",27173,98,0.86 [0.63-1.18],0.3635895674160502
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Visual disturbances,27440,105,0.92 [0.68-1.26],0.6057628750382078
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diseases of middle ear and mastoid,27905,133,0.74 [0.57-0.96],0.022877731160877
UMOD,Uromodulin,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of ear,27217,105,0.65 [0.49-0.86],0.0026630495215872
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,20636,2845,0.60 [0.56-0.64],2.3153668910683e-50
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Rheumatic valve diseases,27444,77,0.47 [0.35-0.63],7.742051340752706e-07
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"Hypertension, essential",21670,2094,0.57 [0.53-0.61],4.871234541272075e-50
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Hypertension,21692,2116,0.56 [0.52-0.60],7.256079169283849e-54
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,19628,52,0.13 [0.09-0.18],7.840635829747801e-36
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",26317,742,0.66 [0.59-0.74],3.9948470690305124e-13
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Angina pectoris,26090,515,0.68 [0.60-0.78],1.2862896308878436e-08
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Unstable angina pectoris,27348,151,0.58 [0.46-0.73],2.8343000481664694e-06
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,27430,233,0.56 [0.47-0.67],4.092335919102992e-10
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"Myocardial infarction, with ST-elevation",27958,28,0.59 [0.35-0.99],0.0451064858835035
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",25675,100,0.55 [0.41-0.72],1.9800843677999523e-05
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,26053,490,0.58 [0.51-0.66],6.313330176565246e-16
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Pulmonary embolism,27231,100,0.72 [0.53-0.97],0.0308516213652894
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Venous thromboembolism,27331,218,0.75 [0.61-0.92],0.0053499922420846
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Secondary right heart disease,27228,97,0.40 [0.31-0.52],3.073496452795629e-12
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Other pulmonary heart/vessel disease,27228,97,0.40 [0.31-0.52],3.073496452795629e-12
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"Hypertension, Pulmonary Arterial",19670,94,0.36 [0.28-0.47],7.389905539273776e-14
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Cardiomyopathy,24340,40,0.36 [0.24-0.52],1.4120695993687208e-07
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Conduction disorders,24381,81,0.42 [0.31-0.56],2.096741947734291e-09
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,16826,103,0.79 [0.58-1.08],0.145125593263358
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,17007,284,0.49 [0.41-0.59],1.5464765061068486e-15
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Other arrhythmias,24353,53,0.75 [0.49-1.13],0.1707373257515627
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,24358,58,0.38 [0.27-0.53],8.12386721483101e-09
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"Heart failure, strict",27167,105,0.24 [0.19-0.30],1.9237732585584606e-34
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"Stroke, including SAH",27230,129,0.61 [0.47-0.78],0.0001043238980384
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",27271,97,0.56 [0.42-0.74],4.574847413089416e-05
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"Ischaemic Stroke, excluding all haemorrhages",27341,85,0.57 [0.42-0.77],0.0002284248166361
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,27028,71,0.43 [0.32-0.58],5.8121368740956457e-08
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Other peripheral vascular diseases,27072,115,0.46 [0.36-0.59],6.49377503774741e-10
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Phlebitis and thrombophlebitis (not including DVT),26374,132,0.84 [0.64-1.10],0.2012534888782237
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,DVT of lower extremities,26348,106,0.84 [0.62-1.13],0.2542389585404658
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,"!Phlebitis/thrombophlebitis venae iliacae [externae/internae/communis], drug-induced",27815,103,0.88 [0.65-1.19],0.4105452878130518
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Varicose veins,26859,617,1.10 [0.96-1.26],0.1577873131376334
UMOD,Uromodulin,Chapter IX Diseases of the circulatory system,Hypotension,26865,95,0.54 [0.41-0.71],1.6690290923715038e-05
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,22779,2135,0.75 [0.70-0.80],2.5866816536853564e-15
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Acute upper respiratory infections,27812,128,0.85 [0.65-1.13],0.267234888787989
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Influenza and pneumonia,26356,200,0.66 [0.53-0.81],8.940033232603551e-05
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",26336,180,0.66 [0.53-0.83],0.0002960067926013
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Other acute lower respiratory infections,27104,232,0.63 [0.52-0.76],1.437111091394966e-06
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Unspecified acute lower respiratory infection,27096,224,0.67 [0.55-0.81],4.509869429423365e-05
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Other diseases of upper respiratory tract,27248,570,0.94 [0.82-1.08],0.3658780315767758
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Chronic sinusitis,26794,116,0.67 [0.51-0.88],0.0041583970386461
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Nasal polyp,26760,82,0.93 [0.65-1.32],0.6768253100436795
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,"Diseases of vocal cords and larynx+other diseases of upper respiratory tract, no elsewhere classified",27037,359,0.91 [0.77-1.07],0.2476769246252894
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Deviated nasal septum,26819,141,0.92 [0.70-1.20],0.5195401991085704
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Vocal cord dysfunction,13505,66,0.82 [0.55-1.23],0.3402343453436507
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,25017,1180,0.81 [0.74-0.89],8.761575115278217e-06
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Early onset COPD,26948,162,0.50 [0.41-0.62],3.2856994975236437e-10
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",26968,182,0.51 [0.42-0.63],1.7861210138826416e-10
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",26968,182,0.51 [0.42-0.63],1.7861210138826416e-10
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",25936,1013,0.87 [0.79-0.96],0.0067487353808414
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Asthma,20811,1013,0.79 [0.72-0.88],9.576037288620155e-06
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",20618,1013,0.79 [0.71-0.87],5.40470382780409e-06
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",20795,997,0.79 [0.71-0.88],1.064865407141242e-05
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,27700,83,0.48 [0.36-0.64],7.218822281581469e-07
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Interstitial lung disease,26204,63,0.61 [0.43-0.87],0.0062777145459635
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",27777,63,0.62 [0.43-0.88],0.0076409954041732
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,26197,56,0.60 [0.42-0.88],0.0078142488726129
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Pleural effusion,26149,89,0.43 [0.33-0.57],2.156432474972961e-09
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Other diseases of pleura,26256,196,0.46 [0.38-0.56],2.9178324144568818e-15
UMOD,Uromodulin,Chapter X Diseases of the respiratory system,Other respiratory disorders and diseases,26838,94,0.43 [0.33-0.55],2.3439329595318504e-10
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,19388,6098,0.82 [0.78-0.86],2.346232113643176e-14
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,"Diseases of oral cavity, salivary glands and jaws",27448,483,0.90 [0.78-1.04],0.1492994841081122
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Embedded and impacted teeth,27983,108,1.12 [0.80-1.55],0.5128318974434318
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Impacted teeth,27988,97,1.10 [0.78-1.56],0.5799286183090767
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Dental caries,27073,108,0.83 [0.62-1.12],0.2318396323676512
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Diseases of pulp and periapical tissues,27086,121,0.97 [0.72-1.30],0.834292429833882
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Palatinal maxillary canine,27973,119,1.10 [0.80-1.50],0.5647098128292674
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,27083,118,1.03 [0.76-1.38],0.8701302267450629
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Other diseases of lip and oral mucosa,26778,81,0.93 [0.66-1.32],0.6987022159230944
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Oral lichen ruber planus,27892,51,0.96 [0.61-1.49],0.8421917255342999
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,Gastroduodenal ulcer,21168,220,0.73 [0.59-0.89],0.0024349590235552
UMOD,Uromodulin,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",23306,2358,0.84 [0.79-0.91],1.7344592736840622e-06
