Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CBS,Cystathionine beta-synthase,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,35251,1908,1.38 [1.27-1.50],1.595546621191404e-14
CBS,Cystathionine beta-synthase,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,40341,906,1.42 [1.26-1.58],1.7439595822906067e-09
CBS,Cystathionine beta-synthase,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,40316,881,1.44 [1.29-1.62],2.4901469976021787e-10
CBS,Cystathionine beta-synthase,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,34967,1624,1.40 [1.29-1.53],4.339746243799646e-14
CBS,Cystathionine beta-synthase,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,34841,1498,1.41 [1.29-1.55],1.3191424938076905e-13
CBS,Cystathionine beta-synthase,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",42899,280,1.50 [1.25-1.81],1.565071196661107e-05
CBS,Cystathionine beta-synthase,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,40561,95,1.79 [1.34-2.37],6.263159531754745e-05
CBS,Cystathionine beta-synthase,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",43409,95,1.73 [1.31-2.28],9.93440146713708e-05
CBS,Cystathionine beta-synthase,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",35932,95,1.79 [1.35-2.38],5.460410998652532e-05
CBS,Cystathionine beta-synthase,Chapter V Mental and behavioural disorders,Alcohol dependence,40586,120,1.75 [1.35-2.29],3.1486843840885496e-05
CBS,Cystathionine beta-synthase,Chapter V Mental and behavioural disorders,Depression,40894,460,1.42 [1.22-1.64],3.33212077748966e-06
CBS,Cystathionine beta-synthase,Chapter V Mental and behavioural disorders,Depression or dysthymia,35965,401,1.42 [1.21-1.67],1.7447755828027418e-05
CBS,Cystathionine beta-synthase,Chapter VI Diseases of the nervous system,Neurological diseases,37501,2498,1.16 [1.08-1.25],5.496725751216511e-05
CBS,Cystathionine beta-synthase,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,30785,5430,1.26 [1.19-1.34],4.4780755273052265e-14
CBS,Cystathionine beta-synthase,Chapter IX Diseases of the circulatory system,"Hypertension, essential",32462,3724,1.28 [1.20-1.37],3.7677207659760793e-13
CBS,Cystathionine beta-synthase,Chapter IX Diseases of the circulatory system,Hypertension,32503,3765,1.28 [1.19-1.36],5.983847071192333e-13
CBS,Cystathionine beta-synthase,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",39862,1948,1.30 [1.20-1.41],2.5250197737277376e-10
CBS,Cystathionine beta-synthase,Chapter IX Diseases of the circulatory system,Angina pectoris,39084,1170,1.28 [1.16-1.42],2.009463068182707e-06
CBS,Cystathionine beta-synthase,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,42194,769,1.28 [1.13-1.45],6.992039306467688e-05
CBS,Cystathionine beta-synthase,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,39423,1541,1.32 [1.21-1.45],1.1607232384343732e-09
CBS,Cystathionine beta-synthase,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,29696,9836,1.18 [1.12-1.23],1.0330412629951063e-11
CBS,Cystathionine beta-synthase,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",36393,3647,1.18 [1.11-1.25],2.985942311394583e-07
CBS,Cystathionine beta-synthase,Chapter XI Diseases of the digestive system,Diaphragmatic hernia,36893,1461,1.25 [1.14-1.36],2.444016526249e-06
CBS,Cystathionine beta-synthase,Chapter XI Diseases of the digestive system,Other diseases of intestines,34152,3396,1.16 [1.09-1.24],8.30004676219669e-06
CBS,Cystathionine beta-synthase,Chapter XI Diseases of the digestive system,Diseases of liver,42181,210,2.17 [1.84-2.56],2.388490429560932e-20
CBS,Cystathionine beta-synthase,Chapter XI Diseases of the digestive system,Other diseases of liver,42086,115,1.85 [1.45-2.37],9.820322919526794e-07
CBS,Cystathionine beta-synthase,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",41234,1032,1.29 [1.16-1.43],2.7797765910250327e-06
CBS,Cystathionine beta-synthase,Chapter XI Diseases of the digestive system,Cholelithiasis,41029,827,1.28 [1.13-1.43],4.6733978299412686e-05
CBS,Cystathionine beta-synthase,Chapter XII Diseases of the skin and subcutaneous tissue,Diseases of the skin and subcutaneous tissue,38279,2627,1.16 [1.08-1.25],5.041103383348596e-05
