Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SCAMP3,Secretory carrier-associated membrane protein 3,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,33487,1584,1.14 [1.08-1.21],1.376802274563007e-06
SCAMP3,Secretory carrier-associated membrane protein 3,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,45524,1590,1.12 [1.06-1.18],3.49015087261921e-05
SCAMP3,Secretory carrier-associated membrane protein 3,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),44227,927,1.15 [1.08-1.23],4.62160027285462e-05
SCAMP3,Secretory carrier-associated membrane protein 3,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,41383,2351,1.10 [1.05-1.15],6.413066801872904e-05
SCAMP3,Secretory carrier-associated membrane protein 3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,47469,1110,1.19 [1.11-1.27],2.469404285162987e-07
SCAMP3,Secretory carrier-associated membrane protein 3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,47432,1073,1.17 [1.10-1.25],1.7051085213011258e-06
SCAMP3,Secretory carrier-associated membrane protein 3,Chapter IX Diseases of the circulatory system,"Hypertension, essential",38182,4524,1.10 [1.06-1.14],3.141950012961818e-07
SCAMP3,Secretory carrier-associated membrane protein 3,Chapter IX Diseases of the circulatory system,Hypertension,38248,4590,1.10 [1.06-1.14],1.8813504330377906e-07
SCAMP3,Secretory carrier-associated membrane protein 3,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,40854,4113,1.09 [1.06-1.13],3.886703153243593e-07
SCAMP3,Secretory carrier-associated membrane protein 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Soft tissue disorders,46192,2393,1.09 [1.04-1.14],8.204009782275109e-05
