Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ITGB2,Integrin beta-2,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,33439,1582,0.77 [0.65-0.91],0.0019729129389198
ITGB2,Integrin beta-2,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",40785,106,2.20 [1.29-3.74],0.0036985780175842
ITGB2,Integrin beta-2,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,48593,396,0.65 [0.47-0.89],0.0070582632092658
ITGB2,Integrin beta-2,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),44186,929,0.75 [0.61-0.93],0.0088849197286076
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,46555,271,6.31 [4.62-8.64],9.427130150101812e-31
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,46526,242,6.14 [4.42-8.53],2.44980111731891e-27
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,47398,1114,1.76 [1.46-2.12],2.9791708107341603e-09
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,47361,1077,1.69 [1.40-2.05],4.9519024338063935e-08
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,47345,372,0.45 [0.32-0.65],1.2065648971200911e-05
ITGB2,Integrin beta-2,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",47348,368,0.43 [0.30-0.61],3.4178131372951133e-06
ITGB2,Integrin beta-2,Chapter V Mental and behavioural disorders,Any mental disorder,43263,1305,0.52 [0.44-0.63],1.5127907620991453e-12
ITGB2,Integrin beta-2,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",42064,106,0.22 [0.12-0.42],2.3907217197944783e-06
ITGB2,Integrin beta-2,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",42610,652,0.45 [0.35-0.58],5.883447744350173e-10
ITGB2,Integrin beta-2,Chapter V Mental and behavioural disorders,Depression,47989,571,0.55 [0.42-0.72],9.767252099057726e-06
ITGB2,Integrin beta-2,Chapter V Mental and behavioural disorders,Depression or dysthymia,42101,498,0.63 [0.47-0.84],0.0014607187753473
ITGB2,Integrin beta-2,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",42214,256,0.44 [0.29-0.65],4.908112827305064e-05
ITGB2,Integrin beta-2,Chapter VI Diseases of the nervous system,Neurological diseases,43735,2942,0.70 [0.62-0.79],6.3015705629790225e-09
ITGB2,Integrin beta-2,Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,39694,262,0.19 [0.13-0.29],1.3407870016864708e-15
ITGB2,Integrin beta-2,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,50899,208,0.17 [0.11-0.26],3.1459406153690704e-15
ITGB2,Integrin beta-2,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,48508,965,0.63 [0.52-0.78],1.1327413083393404e-05
ITGB2,Integrin beta-2,Chapter VI Diseases of the nervous system,Epilepsy,47846,303,0.43 [0.30-0.62],6.581378071895881e-06
ITGB2,Integrin beta-2,Chapter VI Diseases of the nervous system,Carpal tunnel syndrome,48291,768,1.71 [1.38-2.12],1.2088983959804277e-06
ITGB2,Integrin beta-2,Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,50599,166,0.17 [0.10-0.27],9.971052775668544e-13
ITGB2,Integrin beta-2,Chapter VI Diseases of the nervous system,Hemiplegia,50548,115,0.19 [0.11-0.35],4.240950583652859e-08
ITGB2,Integrin beta-2,Chapter VI Diseases of the nervous system,Other neurological diseases,50201,242,0.40 [0.26-0.60],8.395069300777782e-06
ITGB2,Integrin beta-2,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,49180,443,1.50 [1.12-1.99],0.0057063277125231
ITGB2,Integrin beta-2,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,50513,107,3.54 [2.24-5.60],6.072106765174071e-08
ITGB2,Integrin beta-2,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,4377,107,2.20 [1.33-3.64],0.002140909293462
ITGB2,Integrin beta-2,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",46243,107,3.98 [2.53-6.28],2.7270657454461462e-09
ITGB2,Integrin beta-2,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,36217,6558,0.81 [0.74-0.89],1.3530514194263456e-05
ITGB2,Integrin beta-2,Chapter IX Diseases of the circulatory system,"Hypertension, essential",38114,4523,0.82 [0.74-0.91],0.0003186520376192
ITGB2,Integrin beta-2,Chapter IX Diseases of the circulatory system,Hypertension,38183,4592,0.81 [0.73-0.90],0.0001317092267829
ITGB2,Integrin beta-2,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,28171,234,0.56 [0.37-0.86],0.0085819852833755
ITGB2,Integrin beta-2,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,48818,158,0.44 [0.26-0.72],0.0012738784137583
ITGB2,Integrin beta-2,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,40813,4097,0.79 [0.71-0.88],9.939691530469182e-06
ITGB2,Integrin beta-2,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,45724,2004,0.66 [0.57-0.76],1.7527280413830005e-08
ITGB2,Integrin beta-2,Chapter X Diseases of the respiratory system,Early onset COPD,48816,347,0.45 [0.32-0.64],6.8824598479604256e-06
ITGB2,Integrin beta-2,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",48868,399,0.54 [0.39-0.74],0.0001675107600445
ITGB2,Integrin beta-2,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",48868,399,0.54 [0.39-0.74],0.0001675107600445
ITGB2,Integrin beta-2,Chapter X Diseases of the respiratory system,"Asthma, hospital admissions , main diagnosis only",47742,1656,0.62 [0.53-0.73],3.4691337808674303e-09
ITGB2,Integrin beta-2,Chapter X Diseases of the respiratory system,Asthma,36518,1656,0.58 [0.50-0.68],5.231628204375863e-11
ITGB2,Integrin beta-2,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",35982,1656,0.58 [0.50-0.68],5.038192408200232e-11
ITGB2,Integrin beta-2,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",36493,1631,0.58 [0.50-0.69],7.547412852619602e-11
