Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
RBM19,Probable RNA-binding protein 19,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,40639,565,1.29 [1.12-1.48],0.0003668726969364
RBM19,Probable RNA-binding protein 19,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,40639,565,1.29 [1.12-1.48],0.0003668726969364
RBM19,Probable RNA-binding protein 19,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,41087,800,1.22 [1.07-1.38],0.0022123374561555
RBM19,Probable RNA-binding protein 19,Chapter IX Diseases of the circulatory system,Transient ischemic attack,41929,130,1.45 [1.12-1.86],0.0041604521910074
RBM19,Probable RNA-binding protein 19,Chapter VI Diseases of the nervous system,Other sleep disorders,40564,277,1.45 [1.22-1.73],3.859249173239132e-05
RBM19,Probable RNA-binding protein 19,Chapter VI Diseases of the nervous system,Sleep apnoea,42343,211,1.44 [1.17-1.76],0.0005923001124142
RBM19,Probable RNA-binding protein 19,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of lacrimal system,41677,128,1.42 [1.09-1.85],0.0086964589728217
RBM19,Probable RNA-binding protein 19,Chapter XI Diseases of the digestive system,"Disorders of gallbladder, biliary tract and pancreas",40960,1035,1.17 [1.04-1.31],0.0086353326699824
RBM19,Probable RNA-binding protein 19,Chapter XI Diseases of the digestive system,Acute pancreatitis,40036,111,1.50 [1.16-1.94],0.0021891860053941
RBM19,Probable RNA-binding protein 19,Chapter XI Diseases of the digestive system,Acute pancreatitis (for exclusion),42982,111,1.50 [1.15-1.95],0.0023529602987825
RBM19,Probable RNA-binding protein 19,Chapter XII Diseases of the skin and subcutaneous tissue,Other and unspecified psoriasis,42742,90,1.50 [1.11-2.01],0.0077404528293582
RBM19,Probable RNA-binding protein 19,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Coxarthrosis,30500,484,1.26 [1.08-1.48],0.0042931831097768
