Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CFHR5,Complement factor H-related protein 5,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,38350,1561,1.26 [1.12-1.42],0.0001755917660881
CFHR5,Complement factor H-related protein 5,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,37732,364,1.54 [1.20-1.98],0.000612388734211
CFHR5,Complement factor H-related protein 5,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,28925,1307,1.49 [1.30-1.71],7.266204280115455e-09
CFHR5,Complement factor H-related protein 5,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,39127,144,1.85 [1.24-2.74],0.0023596547372093
CFHR5,Complement factor H-related protein 5,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,42476,203,1.60 [1.15-2.23],0.005141289084474
CFHR5,Complement factor H-related protein 5,Chapter I Certain infectious and parasitic diseases,Other septicaemia,42401,128,2.06 [1.36-3.12],0.0006385343166903
CFHR5,Complement factor H-related protein 5,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",41928,708,1.61 [1.34-1.92],2.3185270343768245e-07
CFHR5,Complement factor H-related protein 5,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,41464,244,1.64 [1.21-2.22],0.001463578285823
CFHR5,Complement factor H-related protein 5,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,41709,489,1.75 [1.41-2.17],3.166113952108135e-07
CFHR5,Complement factor H-related protein 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,39371,1328,1.22 [1.07-1.39],0.0028880981876671
CFHR5,Complement factor H-related protein 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,41505,580,1.51 [1.24-1.84],3.89925217155826e-05
CFHR5,Complement factor H-related protein 5,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,41505,580,1.51 [1.24-1.84],3.89925217155826e-05
