Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
MLLT1,Protein ENL,Chapter I Certain infectious and parasitic diseases,Other viral diseases,42937,146,1.22 [1.01-1.47],0.0388601316983914
MLLT1,Protein ENL,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",42594,213,1.23 [1.05-1.45],0.0129241256416567
MLLT1,Protein ENL,Chapter V Mental and behavioural disorders,Depression or dysthymia,35630,405,1.17 [1.04-1.33],0.0102020807020651
MLLT1,Protein ENL,Chapter VI Diseases of the nervous system,Migraine,40300,133,1.23 [1.01-1.49],0.0385693391313581
MLLT1,Protein ENL,Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",41204,1110,1.12 [1.04-1.21],0.0031465920145177
MLLT1,Protein ENL,Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",40299,205,1.22 [1.04-1.43],0.0168571093571093
MLLT1,Protein ENL,Chapter VI Diseases of the nervous system,Carpal tunnel syndrome,40733,639,1.11 [1.00-1.23],0.04836147116442
MLLT1,Protein ENL,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other cataract,37596,669,0.88 [0.78-1.00],0.04928998903976
MLLT1,Protein ENL,Chapter IX Diseases of the circulatory system,Unstable angina pectoris,41392,384,1.15 [1.01-1.31],0.039107279365861
MLLT1,Protein ENL,Chapter IX Diseases of the circulatory system,Pulmonary embolism,41746,188,1.25 [1.06-1.47],0.0095700908721037
MLLT1,Protein ENL,Chapter IX Diseases of the circulatory system,Venous thromboembolism,41956,389,1.17 [1.04-1.33],0.0122538614267753
MLLT1,Protein ENL,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,41169,128,1.26 [1.04-1.53],0.0204926239232914
MLLT1,Protein ENL,Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,32733,284,0.79 [0.65-0.97],0.0211023378601119
MLLT1,Protein ENL,Chapter XI Diseases of the digestive system,Inguinal hernia,36116,998,0.88 [0.79-0.98],0.0156436078227227
MLLT1,Protein ENL,Chapter XI Diseases of the digestive system,Ventral hernia,35290,172,1.20 [1.00-1.43],0.047429411412135
MLLT1,Protein ENL,Chapter XI Diseases of the digestive system,Irritable bowel syndrome,30776,278,1.19 [1.03-1.37],0.0158507867771778
MLLT1,Protein ENL,Chapter XI Diseases of the digestive system,Other functional intestinal disorders,30977,479,1.13 [1.01-1.27],0.0338616009903509
MLLT1,Protein ENL,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other systemic involvement of connective tissue,42054,94,1.28 [1.02-1.60],0.031974832320652
MLLT1,Protein ENL,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Deforming dorsopathies,37340,110,1.27 [1.03-1.57],0.0234742588252476
MLLT1,Protein ENL,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Cervical disc disorders,37317,87,1.26 [1.00-1.60],0.0484161800291748
MLLT1,Protein ENL,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Disorders of continuity of bone,39780,77,0.66 [0.44-0.98],0.0412626292718936
MLLT1,Protein ENL,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,34416,7118,1.05 [1.01-1.09],0.0079112821235054
MLLT1,Protein ENL,Chapter XIV Diseases of the genitourinary system,Diseases of male genital organs,17122,1046,1.10 [1.01-1.20],0.0339308888727379
MLLT1,Protein ENL,Chapter XIV Diseases of the genitourinary system,Other diseases of urinary system,39511,1746,1.08 [1.02-1.16],0.015355723268039
MLLT1,Protein ENL,Chapter XIV Diseases of the genitourinary system,Cystitis,37917,152,1.27 [1.06-1.51],0.0093574813117353
MLLT1,Protein ENL,Chapter XIV Diseases of the genitourinary system,Urethral stricture,37954,189,1.29 [1.10-1.52],0.0015615616398897
MLLT1,Protein ENL,Chapter XIV Diseases of the genitourinary system,Polyp of the female genital tract,18194,810,1.11 [1.02-1.22],0.0195079481238254
MLLT1,Protein ENL,Chapter XIV Diseases of the genitourinary system,Erosion and ectropion of cervix uteri,17468,84,1.31 [1.06-1.63],0.0131904492719235
MLLT1,Protein ENL,Chapter XIV Diseases of the genitourinary system,"Excessive, frequent and irregular menstruation",18529,1145,1.09 [1.01-1.18],0.0298737521976107
MLLT1,Protein ENL,Chapter XIV Diseases of the genitourinary system,Menorrhagia,18134,750,1.11 [1.02-1.22],0.0210637261528179
MLLT1,Protein ENL,"Chapter XV Pregnancy, childbirth and the puerperium","Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",23335,140,0.69 [0.52-0.91],0.0091648893579363
MLLT1,Protein ENL,"Chapter XV Pregnancy, childbirth and the puerperium",Pregnancy hypertension,23337,138,0.67 [0.50-0.89],0.0060223828372568
MLLT1,Protein ENL,"Chapter XV Pregnancy, childbirth and the puerperium",Haemorrhage in early pregnancy,23090,102,1.26 [1.01-1.56],0.0381547545598142
