Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
SLITRK1,SLIT and NTRK-like protein 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,37127,353,1.89 [1.39-2.56],4.125389799712732e-05
SLITRK1,SLIT and NTRK-like protein 1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,41134,277,1.52 [1.08-2.15],0.0171221902257692
SLITRK1,SLIT and NTRK-like protein 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,28434,1278,1.22 [1.03-1.45],0.022836234263037
SLITRK1,SLIT and NTRK-like protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,41043,186,1.82 [1.20-2.75],0.0044517553969684
SLITRK1,SLIT and NTRK-like protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",43106,184,1.84 [1.22-2.78],0.0037839394277198
SLITRK1,SLIT and NTRK-like protein 1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,37600,95,1.87 [1.04-3.34],0.0361082089280897
SLITRK1,SLIT and NTRK-like protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,41003,470,1.33 [1.01-1.74],0.0387301980085571
SLITRK1,SLIT and NTRK-like protein 1,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",19658,569,1.32 [1.02-1.70],0.032453081680868
SLITRK1,SLIT and NTRK-like protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,38705,1304,1.23 [1.04-1.45],0.0161558930762953
SLITRK1,SLIT and NTRK-like protein 1,Chapter II Neoplasms,Benign neoplasm: Stomach,43464,83,2.02 [1.09-3.73],0.0255109061355073
SLITRK1,SLIT and NTRK-like protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,40810,566,1.30 [1.02-1.67],0.0360803750311055
SLITRK1,SLIT and NTRK-like protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,40810,566,1.30 [1.02-1.67],0.0360803750311055
SLITRK1,SLIT and NTRK-like protein 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),37653,745,1.37 [1.10-1.71],0.0045049875485566
SLITRK1,SLIT and NTRK-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,40932,904,1.28 [1.05-1.56],0.0157871227613589
SLITRK1,SLIT and NTRK-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,39542,199,1.95 [1.31-2.91],0.0009499409462957
SLITRK1,SLIT and NTRK-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,39522,179,2.13 [1.41-3.22],0.0003500966053839
SLITRK1,SLIT and NTRK-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",33476,211,1.63 [1.09-2.44],0.0184295854996363
SLITRK1,SLIT and NTRK-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,33352,87,3.02 [1.72-5.31],0.0001177663445095
SLITRK1,SLIT and NTRK-like protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",33397,132,3.19 [2.06-4.96],2.309229073333694e-07
SLITRK1,SLIT and NTRK-like protein 1,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",36116,394,0.61 [0.45-0.83],0.0014642482716849
SLITRK1,SLIT and NTRK-like protein 1,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",42780,288,0.58 [0.41-0.83],0.0024600424192545
SLITRK1,SLIT and NTRK-like protein 1,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,40454,101,0.39 [0.22-0.70],0.0016465773886432
SLITRK1,SLIT and NTRK-like protein 1,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",43302,101,0.43 [0.24-0.77],0.004463856898782
SLITRK1,SLIT and NTRK-like protein 1,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",35823,101,0.39 [0.21-0.69],0.0014853436562013
SLITRK1,SLIT and NTRK-like protein 1,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",35820,98,0.55 [0.30-1.00],0.048508923087738
SLITRK1,SLIT and NTRK-like protein 1,Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",42958,120,1.81 [1.07-3.04],0.0257578634669231
SLITRK1,SLIT and NTRK-like protein 1,Chapter IX Diseases of the circulatory system,Transient ischemic attack,42097,130,1.80 [1.10-2.96],0.0201556024484063
SLITRK1,SLIT and NTRK-like protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other specified and unspecified  disorders of eyelid,41910,199,0.63 [0.42-0.97],0.0354254081622604
SLITRK1,SLIT and NTRK-like protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,42894,70,2.12 [1.10-4.08],0.0241933512242944
SLITRK1,SLIT and NTRK-like protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,3674,70,2.50 [1.33-4.68],0.0042795508822224
SLITRK1,SLIT and NTRK-like protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",39290,70,2.07 [1.07-4.01],0.0312843986733846
SLITRK1,SLIT and NTRK-like protein 1,Chapter IX Diseases of the circulatory system,Cardiomyopathy,36141,97,0.51 [0.28-0.95],0.0324184148684779
SLITRK1,SLIT and NTRK-like protein 1,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,24579,726,0.65 [0.51-0.82],0.000303536242271
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,Influenza and pneumonia,40370,385,1.43 [1.07-1.93],0.0167781212314313
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",40322,337,1.41 [1.03-1.94],0.0328250835934196
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,Nasal polyp,41243,209,0.65 [0.43-0.98],0.0399260025391299
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,38792,1726,0.83 [0.71-0.96],0.0111776290746295
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,Early onset COPD,41482,298,0.60 [0.42-0.85],0.0039154074554026
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",41524,340,0.57 [0.41-0.78],0.0006000098825076
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",41524,340,0.57 [0.41-0.78],0.0006000098825076
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,Asthma,31042,1416,0.81 [0.69-0.96],0.0128130181018131
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",30597,1416,0.81 [0.69-0.96],0.013058400423657
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",31022,1396,0.81 [0.69-0.96],0.0141483227130566
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,Interstitial lung disease,40899,136,0.43 [0.26-0.71],0.001015421317456
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",42949,136,0.43 [0.26-0.71],0.0009861933234463
SLITRK1,SLIT and NTRK-like protein 1,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,40887,124,0.42 [0.25-0.72],0.0015460718617731
SLITRK1,SLIT and NTRK-like protein 1,Chapter XI Diseases of the digestive system,Other gastritis (incl. Duodenitis),34038,1371,1.24 [1.05-1.45],0.0101154592994814
SLITRK1,SLIT and NTRK-like protein 1,Chapter XI Diseases of the digestive system,Functional dyspepsia,33400,733,1.30 [1.04-1.62],0.0198527112282043
SLITRK1,SLIT and NTRK-like protein 1,Chapter XI Diseases of the digestive system,Hernia,38100,2747,0.87 [0.77-0.98],0.0223071719354154
SLITRK1,SLIT and NTRK-like protein 1,Chapter XI Diseases of the digestive system,Inguinal hernia,36364,1011,0.82 [0.68-1.00],0.0448604609886562
SLITRK1,SLIT and NTRK-like protein 1,Chapter XI Diseases of the digestive system,Constipation,40760,430,1.41 [1.06-1.87],0.0181136977317432
SLITRK1,SLIT and NTRK-like protein 1,Chapter XI Diseases of the digestive system,Abscess of anal and rectal regions,30833,123,0.55 [0.32-0.94],0.0286999142759305
SLITRK1,SLIT and NTRK-like protein 1,Chapter XI Diseases of the digestive system,Diseases of liver,42077,207,1.67 [1.13-2.46],0.009508589478031
SLITRK1,SLIT and NTRK-like protein 1,Chapter XI Diseases of the digestive system,Other diseases of liver,41986,116,1.89 [1.14-3.15],0.0141541234764773
SLITRK1,SLIT and NTRK-like protein 1,Chapter XI Diseases of the digestive system,Intestinal malabsorption,40702,119,1.73 [1.02-2.93],0.0419793241297153
SLITRK1,SLIT and NTRK-like protein 1,Chapter XII Diseases of the skin and subcutaneous tissue,Seborrhoeic keratosis,39987,156,0.60 [0.38-0.98],0.0392976506519737
SLITRK1,SLIT and NTRK-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,30364,258,1.59 [1.11-2.29],0.0121252933778213
SLITRK1,SLIT and NTRK-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",42742,247,1.57 [1.09-2.27],0.0158857696520147
SLITRK1,SLIT and NTRK-like protein 1,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,42759,223,1.56 [1.06-2.30],0.0252751173777594
