Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,33707,1598,1.41 [1.28-1.55],5.804994768322238e-12
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,46950,271,1.76 [1.39-2.22],2.178610227662372e-06
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,46921,242,1.88 [1.46-2.40],6.897900531408811e-07
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,36518,6612,1.16 [1.10-1.23],5.4065578676083944e-08
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter IX Diseases of the circulatory system,"Hypertension, essential",38433,4561,1.20 [1.13-1.28],1.329047967885603e-08
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter IX Diseases of the circulatory system,Hypertension,38502,4630,1.21 [1.14-1.29],1.554106412593727e-09
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,34035,163,3.25 [2.36-4.47],4.230672045525918e-13
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,41144,4141,1.17 [1.10-1.24],2.094669007932004e-07
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,Influenza and pneumonia,47810,453,1.55 [1.30-1.85],1.2200336466751376e-06
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,"Pneumonia, organism unspecified",47753,396,1.59 [1.32-1.92],1.4320179592658394e-06
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,46084,2031,1.33 [1.22-1.44],4.1406428720477424e-11
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,Early onset COPD,49219,355,2.08 [1.69-2.55],3.2552683627337605e-12
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",49272,408,1.98 [1.63-2.40],3.02925834812062e-12
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",49272,408,1.98 [1.63-2.40],3.02925834812062e-12
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,Asthma,36821,1675,1.26 [1.15-1.38],8.635847348999012e-07
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",36282,1675,1.26 [1.15-1.38],8.555496459679318e-07
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",36796,1650,1.26 [1.15-1.38],1.1390514676263483e-06
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,35080,11676,1.13 [1.08-1.17],3.453103564166384e-08
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,49649,1515,1.24 [1.13-1.36],8.038391035939342e-06
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter XI Diseases of the digestive system,Diseases of liver,49953,252,1.84 [1.45-2.34],6.108390666359299e-07
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,40922,8555,1.11 [1.06-1.16],2.6635297660055377e-06
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,46282,511,2.48 [2.08-2.96],3.425152949577557e-24
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter XIV Diseases of the genitourinary system,Other obstructive and reflux uropathy,45907,136,2.17 [1.56-3.04],5.31274195679622e-06
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter XIV Diseases of the genitourinary system,Acute renal failure,46488,114,2.69 [1.85-3.90],1.965522662288185e-07
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,46515,141,4.30 [3.04-6.09],1.641024021310408e-16
TNFRSF10C,Tumor necrosis factor receptor superfamily member 10C,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,46510,136,3.37 [2.38-4.78],6.985173765455071e-12
