Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,44655,1815,1.33 [1.20-1.47],8.827105985415657e-08
C4BPB,C4b-binding protein beta chain,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,33738,1590,1.39 [1.24-1.56],2.1293045321274493e-08
C4BPB,C4b-binding protein beta chain,Chapter VI Diseases of the nervous system,Neurological diseases,44142,2967,1.32 [1.21-1.43],5.751585953837244e-11
C4BPB,C4b-binding protein beta chain,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,34079,157,2.95 [2.11-4.11],2.1522465945525846e-10
C4BPB,C4b-binding protein beta chain,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,29104,882,0.46 [0.39-0.55],1.4211940038272194e-19
C4BPB,C4b-binding protein beta chain,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,41157,4132,1.33 [1.23-1.43],1.5990573867547052e-14
C4BPB,C4b-binding protein beta chain,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,46123,2025,1.35 [1.23-1.49],1.532121834334124e-09
C4BPB,C4b-binding protein beta chain,Chapter X Diseases of the respiratory system,Asthma,36838,1673,1.42 [1.27-1.59],4.3429827644738575e-10
C4BPB,C4b-binding protein beta chain,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",36298,1673,1.42 [1.27-1.58],7.31521382922295e-10
C4BPB,C4b-binding protein beta chain,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",36814,1649,1.42 [1.27-1.59],5.173507698458402e-10
C4BPB,C4b-binding protein beta chain,Chapter XI Diseases of the digestive system,Gastrointestinal diseases,35102,11695,1.24 [1.18-1.31],7.024088555047182e-17
C4BPB,C4b-binding protein beta chain,Chapter XI Diseases of the digestive system,Noninfective enteritis and colitis,49675,1532,1.58 [1.42-1.76],1.835753638914171e-16
C4BPB,C4b-binding protein beta chain,Chapter XI Diseases of the digestive system,"Crohn disease (strict definition, require KELA, min 2 HDR)",51498,165,2.38 [1.75-3.23],3.0545042594451163e-08
C4BPB,C4b-binding protein beta chain,Chapter XI Diseases of the digestive system,Crohn disease,48308,165,2.43 [1.78-3.31],1.7050198308749962e-08
C4BPB,C4b-binding protein beta chain,Chapter XI Diseases of the digestive system,Other noninfective gastroenteritis and colitis,49383,1240,1.50 [1.33-1.70],4.6450735855385006e-11
C4BPB,C4b-binding protein beta chain,Chapter XI Diseases of the digestive system,Noninfectious colitis NAS,49369,1226,1.50 [1.33-1.69],7.864231751348371e-11
C4BPB,C4b-binding protein beta chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,37145,7993,1.30 [1.23-1.38],2.8748506877653003e-19
C4BPB,C4b-binding protein beta chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthropathies,40405,4646,1.28 [1.20-1.38],1.4527936871138016e-12
C4BPB,C4b-binding protein beta chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Arthrosis,38057,2298,1.39 [1.26-1.53],2.7042213747257804e-11
C4BPB,C4b-binding protein beta chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Artrosis, including avohilmo",43237,2298,1.38 [1.25-1.51],4.5096600855911077e-11
C4BPB,C4b-binding protein beta chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other arthrosis,36554,795,1.54 [1.32-1.79],4.7832609482730496e-08
C4BPB,C4b-binding protein beta chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other systemic involvement of connective tissue,50363,114,3.94 [2.81-5.51],1.2531644211584588e-15
C4BPB,C4b-binding protein beta chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylopathies,45090,595,1.79 [1.51-2.13],3.0328508652079846e-11
C4BPB,C4b-binding protein beta chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Dorsopathies,46358,1863,1.38 [1.24-1.52],6.772851746994693e-10
C4BPB,C4b-binding protein beta chain,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Osteopathies and chondropathies,48259,777,1.53 [1.31-1.78],5.446132125705761e-08
C4BPB,C4b-binding protein beta chain,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,46326,508,2.00 [1.66-2.41],3.294794629910308e-13
C4BPB,C4b-binding protein beta chain,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,46558,137,3.55 [2.59-4.86],3.805403560751789e-15
C4BPB,C4b-binding protein beta chain,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,46556,135,2.79 [2.00-3.90],1.922503276687956e-09
C4BPB,C4b-binding protein beta chain,Chapter XIV Diseases of the genitourinary system,Other disorders of  bladder,45583,550,1.64 [1.37-1.97],9.131386020304649e-08
