Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,44454,1806,2.59 [2.26-2.96],1.1004469256968186e-42
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,43730,429,5.96 [4.70-7.55],2.6207096186916294e-49
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,48589,332,2.51 [1.89-3.35],3.072526206889094e-10
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,33589,1581,4.20 [3.63-4.87],1.940857678979372e-82
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,45338,174,5.86 [4.22-8.16],8.166075790334075e-26
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,44284,116,5.18 [3.45-7.77],2.150030669131873e-15
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,49302,237,4.56 [3.41-6.10],1.35986051761216e-24
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Other septicaemia,49219,154,5.44 [3.90-7.59],2.098376933842994e-23
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",48695,829,2.78 [2.31-3.34],1.347661697015688e-27
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,48150,284,4.29 [3.26-5.64],1.617927980142817e-25
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,48433,567,2.52 [2.02-3.15],3.62269845154148e-16
FOLR1,Folate receptor alpha,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,45655,1589,3.73 [3.25-4.29],1.0722726481915364e-76
FOLR1,Folate receptor alpha,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,48797,393,2.79 [2.15-3.61],7.576073011858415e-15
FOLR1,Folate receptor alpha,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,48153,705,3.94 [3.25-4.76],3.793243106996232e-45
FOLR1,Folate receptor alpha,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,48153,705,3.94 [3.25-4.76],3.793243106996232e-45
FOLR1,Folate receptor alpha,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),44372,932,4.07 [3.42-4.85],6.195010647776928e-56
FOLR1,Folate receptor alpha,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,41492,2353,2.10 [1.86-2.38],7.68984848303716e-32
