Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,43108,1755,1.26 [1.21-1.31],1.9345392083695086e-26
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,42429,419,1.57 [1.45-1.70],2.7855464628730903e-28
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,47125,323,1.21 [1.10-1.33],8.529615538673148e-05
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,32571,1528,1.48 [1.41-1.55],6.257129562184548e-63
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,47021,219,1.16 [1.03-1.30],0.0121729825577027
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,43978,167,1.55 [1.37-1.75],2.823353606687532e-12
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",49454,218,1.14 [1.02-1.29],0.0229666546589332
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,49456,147,0.99 [0.85-1.14],0.8694071004973262
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,42956,114,1.56 [1.34-1.81],4.662326671183575e-09
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,47827,228,1.44 [1.30-1.61],1.2957819268073104e-11
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Other septicaemia,47748,149,1.50 [1.32-1.71],7.043685717347041e-10
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,49610,132,1.24 [1.07-1.44],0.0036399592170822
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Other viral diseases,49604,156,1.11 [0.97-1.28],0.1424816201655889
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",49592,144,1.09 [0.94-1.26],0.2584247346623439
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Mycoses,48927,100,1.11 [0.93-1.32],0.2524745265319814
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",47234,805,1.30 [1.22-1.38],1.542190989815975e-17
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,46705,276,1.40 [1.27-1.55],2.577423803919332e-11
AGR2,Anterior gradient protein 2 homolog,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,46984,555,1.26 [1.17-1.35],5.832213975294326e-10
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",39760,125,1.05 [0.89-1.23],0.576723927950755
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",40149,514,1.00 [0.92-1.08],0.98553726403657
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",40166,531,1.01 [0.93-1.09],0.8988839873914063
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",22454,657,1.00 [0.94-1.07],0.960325558965103
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",18066,228,1.02 [0.90-1.15],0.8083566981284029
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",39742,107,1.04 [0.87-1.23],0.6804369841133641
AGR2,Anterior gradient protein 2 homolog,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,44330,1534,1.36 [1.30-1.42],2.0441578901653656e-43
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",47133,638,1.09 [1.02-1.17],0.0156075592196506
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,48722,220,0.98 [0.87-1.10],0.6960449501102091
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",49771,216,1.16 [1.03-1.31],0.011890725442367
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Benign neoplasm: Rectum,49232,126,1.02 [0.87-1.19],0.8065405309622975
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,49779,131,1.16 [1.00-1.35],0.0513531990759504
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Benign neoplasm: Stomach,49873,99,1.04 [0.87-1.24],0.6507904489643154
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Benign lipomatous neoplasm,49338,569,0.99 [0.92-1.07],0.8270123206038235
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,49786,206,0.98 [0.86-1.11],0.7204043032076186
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,49795,174,1.05 [0.92-1.20],0.4848275137709246
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",49674,98,0.93 [0.78-1.12],0.4530102964360749
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,"Haemangioma, any site",49679,97,0.92 [0.77-1.10],0.3818925403250638
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Melanocytic naevi,49513,375,0.95 [0.87-1.04],0.2577930827834044
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,49812,166,0.98 [0.85-1.12],0.7359500220406741
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Other benign neoplasms of skin,49605,354,1.00 [0.91-1.10],0.93413941365799
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Benign neoplasm of breast,26793,135,1.13 [0.98-1.31],0.0970688276340467
AGR2,Anterior gradient protein 2 homolog,Chapter II Neoplasms,Leiomyoma of uterus,26305,977,1.01 [0.96-1.07],0.6864590527572791
