Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,38770,1572,0.99 [0.93-1.05],0.6843285773713115
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,38153,369,0.94 [0.84-1.06],0.3486960154740172
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,42300,292,1.02 [0.90-1.17],0.7334084133931192
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,29234,1319,0.97 [0.91-1.04],0.3831123462804322
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,42204,196,0.94 [0.80-1.10],0.464526106812782
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,39548,148,0.90 [0.75-1.08],0.2516498750894865
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",44313,194,0.95 [0.81-1.12],0.5501812785851223
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,44317,130,1.00 [0.83-1.22],0.9622724941341964
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,38644,100,1.07 [0.85-1.34],0.555216488420522
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,42938,206,0.91 [0.78-1.06],0.230363747687455
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Other septicaemia,42864,132,0.84 [0.69-1.03],0.0891621803138242
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,44444,118,1.09 [0.89-1.34],0.4085838394987001
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Other viral diseases,44443,149,1.05 [0.87-1.26],0.6055653019108704
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",44432,138,1.06 [0.87-1.28],0.5761455369165633
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Mycoses,43862,91,0.99 [0.79-1.26],0.9661694428816128
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",42384,710,0.97 [0.89-1.06],0.5073392551584521
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,41919,245,0.97 [0.84-1.11],0.6273287235836675
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,42162,488,1.00 [0.90-1.10],0.952580935475846
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",35639,110,0.87 [0.70-1.08],0.2052739411313296
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",35624,95,0.98 [0.78-1.23],0.8483022706790351
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",35980,451,1.02 [0.92-1.14],0.7227673443977698
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",35993,464,1.02 [0.92-1.14],0.6929453976109858
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",20190,584,0.98 [0.89-1.07],0.6129752409977542
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",16120,197,1.02 [0.87-1.20],0.8192528497623529
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",35622,93,0.88 [0.70-1.11],0.2841035972110093
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,39810,1344,1.03 [0.97-1.10],0.3241389176391093
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",42234,583,1.04 [0.95-1.14],0.4209364666744601
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,43630,210,0.99 [0.85-1.16],0.9079191905080986
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",44589,196,0.99 [0.84-1.16],0.9084145941618748
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Benign neoplasm: Rectum,44101,122,1.12 [0.91-1.37],0.2880451429582171
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,44592,115,0.92 [0.75-1.14],0.4467750168148027
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Benign neoplasm: Stomach,44679,84,0.87 [0.68-1.11],0.2580112396673153
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Benign lipomatous neoplasm,44202,515,0.92 [0.83-1.01],0.087507231998793
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,44603,196,0.90 [0.77-1.06],0.2039944459499896
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,44608,155,0.84 [0.70-1.01],0.0582288159427033
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",44505,93,0.88 [0.70-1.11],0.2751950978867281
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,"Haemangioma, any site",44510,92,0.90 [0.71-1.13],0.3622807770256755
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Melanocytic naevi,44354,337,1.08 [0.96-1.22],0.2074982847590598
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,44624,152,1.21 [1.01-1.46],0.0383847682605619
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Other benign neoplasms of skin,44431,310,0.98 [0.86-1.11],0.7552170349610768
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Benign neoplasm of breast,24113,121,0.94 [0.77-1.15],0.5259116322899055
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter II Neoplasms,Leiomyoma of uterus,23678,885,1.01 [0.93-1.09],0.8688804202674008
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,42496,334,1.06 [0.93-1.19],0.3938736552348765
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,41950,590,1.10 [1.00-1.21],0.0417293967044719
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,41950,590,1.10 [1.00-1.21],0.0417293967044719
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),38702,768,0.96 [0.89-1.04],0.3468192528705889
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Agranulocytosis,43725,121,0.82 [0.67-1.01],0.0595428263536862
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of other endocrine glands,44176,137,1.00 [0.82-1.21],0.9756413920730708
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,36167,1967,0.98 [0.93-1.04],0.5331368569690276
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of the thyroid gland,42103,927,1.03 [0.96-1.11],0.396199504263547
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,40650,205,0.91 [0.78-1.07],0.2569887436850384
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Peripheral artery disease,42648,189,0.92 [0.78-1.08],0.3132720968822621
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,40629,184,0.92 [0.78-1.08],0.299007705220524
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,41372,927,1.03 [0.95-1.12],0.4256880352302498
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,41346,901,1.03 [0.95-1.11],0.4823270864085516
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,41403,306,0.88 [0.76-1.02],0.0804057397927967
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",41405,302,0.89 [0.77-1.03],0.1184125254529554
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,35873,1673,0.97 [0.91-1.03],0.2671947080019108
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Hyperlipidaemia, other/unspecified",34414,214,0.88 [0.76-1.03],0.1207811868838518
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Pure hypercholesterolaemia,35750,1550,0.97 [0.91-1.03],0.3235421520738227
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases",Volume depletion,34287,87,1.13 [0.88-1.44],0.335921552294715
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter IV Endocrine, nutritional and metabolic diseases","Other disorders of fluid, electrolyte and acid-base balance",34339,139,0.95 [0.79-1.16],0.6379105730617833
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,Any mental disorder,37864,1125,0.97 [0.91-1.04],0.460688987274589
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",37147,408,0.97 [0.87-1.09],0.6260668338554292
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",43985,299,1.00 [0.87-1.14],0.9653387074845804
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,"Alcohol use disorder, ICD-based",44090,217,1.03 [0.88-1.20],0.7500651022917617
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,Acute alcohol intoxication,41597,103,0.83 [0.66-1.04],0.1041270686493801
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,"Acute alcohol intoxication, ICD10",44516,103,0.85 [0.68-1.05],0.1337128527456434
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,"Alcohol abuse, main dg, excluding more controls",36842,103,0.83 [0.66-1.03],0.0934885103817868
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,Alcohol dependence,41620,126,0.87 [0.71-1.07],0.1998637435379895
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,Smoking dependency,41525,110,1.01 [0.81-1.25],0.9560082465344354
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,"Schizophrenia or delusion, excluding more controls",36839,100,0.86 [0.69-1.08],0.1993520007498677
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,"Mood disorders, excluding more controls",37284,545,1.00 [0.90-1.10],0.9576674928720356
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,Depression,41931,478,1.00 [0.90-1.11],0.9929839812543222
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,Depression or dysthymia,36879,417,1.01 [0.90-1.13],0.8490250419151879
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,"Anxiety disorders, excluding more controls",36959,220,0.97 [0.83-1.13],0.6741766103835483
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter V Mental and behavioural disorders,Other anxiety disorders,42147,113,0.81 [0.65-0.99],0.0437095337732446
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Neurological diseases,38429,2575,0.99 [0.95-1.04],0.6765065283482212
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Other degenerative diseases of the nervous system,34915,249,0.96 [0.84-1.11],0.5970370589892292
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,MS-disease / Multiple Sclerosis,44413,198,0.98 [0.84-1.15],0.802297646533263
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Episodal and paroxysmal disorders,42394,827,0.96 [0.88-1.04],0.2786610872250481
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Epilepsy,41824,257,0.83 [0.72-0.96],0.0098957173996298
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Migraine,41708,141,1.04 [0.86-1.26],0.6862847141305879
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,"Migraine, unspecified, drug-induced",44157,126,1.06 [0.87-1.30],0.5631060027476056
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter IX Diseases of the circulatory system,Transient ischemic attack,43255,134,0.99 [0.82-1.21],0.9571943568861284
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Other sleep disorders,41853,286,0.98 [0.86-1.12],0.7754629541998267
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Sleep apnoea,43699,219,0.96 [0.83-1.12],0.6312746001274483
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,"Nerve, nerve root and plexus disorders",42655,1153,1.02 [0.96-1.09],0.4991768631868187
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,"Other and unspecified nerve root and plexus disorders, also in other diseases",41714,212,1.06 [0.91-1.23],0.476243635767942
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Carpal tunnel syndrome,42163,661,1.01 [0.92-1.10],0.8754437581353622
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Cerebral palsy and other paralytic syndromes,44181,146,0.98 [0.82-1.18],0.8499182369576582
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Hemiplegia,44138,103,0.98 [0.78-1.22],0.8537341288785457
ELAC1,Zinc phosphodiesterase ELAC protein 1,Chapter VI Diseases of the nervous system,Other neurological diseases,43830,207,0.86 [0.74-1.01],0.0626402652958076
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Disorders of eyelid, lacrimal system and orbit",43527,649,0.97 [0.89-1.06],0.5414206918419441
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other disorders of eyelid,43251,373,0.99 [0.88-1.11],0.8226741344354381
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Chalazion,43012,134,0.95 [0.78-1.15],0.5688533024491864
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other specified and unspecified  disorders of eyelid,43082,204,1.03 [0.88-1.21],0.6766498556357772
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of lacrimal system,43011,133,1.07 [0.88-1.31],0.4798735175906935
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Senile cataract,38484,272,1.02 [0.89-1.17],0.7892844033907408
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Other cataract,38903,691,1.01 [0.92-1.10],0.8949099664383261
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,42936,350,1.13 [1.00-1.28],0.0456987811506261
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,44101,70,1.26 [0.96-1.66],0.0936364169756266
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,3783,70,1.22 [0.92-1.61],0.1705957474787077
ELAC1,Zinc phosphodiesterase ELAC protein 1,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",40388,70,1.27 [0.97-1.67],0.0822121289189922
