Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Certain infectious and parasitic diseases,37710,1522,0.98 [0.82-1.19],0.8656804176512496
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,37127,353,1.10 [0.76-1.60],0.6232276418061846
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Intestinal infectious diseases,41134,277,0.83 [0.53-1.30],0.4161936383037822
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,28434,1278,0.95 [0.77-1.18],0.6483183069429619
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Other bacterial intestinal infections,41043,186,0.97 [0.57-1.64],0.9021093744547182
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Explicit Sepsis,38485,140,0.67 [0.35-1.29],0.2323890923470385
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,"Bacterial intestinal infections, IBD co-morbidities",43106,184,0.96 [0.56-1.64],0.8848551637135897
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Other specified/unspecified bacterial intestinal infections,43110,124,1.07 [0.57-2.02],0.8241310671962787
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Implicit viral Sepsis,37600,95,1.30 [0.67-2.54],0.4372004951781512
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,41780,197,0.88 [0.52-1.48],0.6280838474897643
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Other septicaemia,41707,124,0.66 [0.33-1.32],0.2406056603883971
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Viral infections characterized by skin and mucous membrane lesions,43233,118,0.87 [0.44-1.71],0.6922401031547807
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Other viral diseases,43239,143,1.54 [0.94-2.54],0.0896395434973508
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,"Other viral diseases, not elsewhere classified",43230,134,1.66 [1.01-2.72],0.0446972233310381
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Mycoses,42681,93,0.61 [0.27-1.37],0.2349657382108571
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,"Bacterial, viral and other infectious agents",41216,683,0.93 [0.70-1.23],0.6052112238801834
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,40769,236,0.87 [0.54-1.41],0.5729250643315741
TPSG1,Tryptase gamma,Chapter I Certain infectious and parasitic diseases,Other bacterial agents as the cause of diseases classified to other chapters,41003,470,0.98 [0.70-1.36],0.9030785048771108
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Malignant neoplasm of colon, excluding all cancers (controls excluding all cancers)",34663,107,1.42 [0.76-2.65],0.2729831613789094
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Malignant melanoma of skin, excluding all cancers (controls excluding all cancers)",34646,90,1.32 [0.67-2.60],0.4239069822091451
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)",34999,443,0.92 [0.65-1.30],0.6370561640215272
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Squamous cell neoplasms and carcinomas of the skin, excluding all cancers (controls excluding all cancers)",35012,456,0.96 [0.68-1.35],0.7935488658604
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)",19658,569,0.97 [0.72-1.32],0.8627061865095105
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)",15656,189,0.89 [0.51-1.54],0.678896555469575
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Non-Hodgkin lymphoma, all, excluding all cancers (controls excluding all cancers)",34646,90,0.91 [0.42-1.98],0.8083774156375216
TPSG1,Tryptase gamma,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,38705,1304,0.93 [0.76-1.15],0.5065164189006932
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Benign neoplasm of colon, rectum, anus and anal canal",41072,569,0.88 [0.65-1.20],0.4271576684113629
TPSG1,Tryptase gamma,Chapter II Neoplasms,Benign neoplasm: Sigmoid colon,42435,205,0.96 [0.58-1.60],0.8859153162771891
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Benign neoplasm: Colon, unspecified",43373,192,0.54 [0.31-0.95],0.0323977553910714
TPSG1,Tryptase gamma,Chapter II Neoplasms,Benign neoplasm: Rectum,42907,117,1.10 [0.58-2.10],0.7621431584513718
TPSG1,Tryptase gamma,Chapter II Neoplasms,Benign neoplasm of other and ill-defined parts of digestive system,43383,113,0.95 [0.48-1.86],0.8728778113207663
TPSG1,Tryptase gamma,Chapter II Neoplasms,Benign neoplasm: Stomach,43464,83,0.98 [0.45-2.14],0.9558779665456196
TPSG1,Tryptase gamma,Chapter II Neoplasms,Benign lipomatous neoplasm,43003,505,1.10 [0.81-1.50],0.5544452119534486
TPSG1,Tryptase gamma,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk,43390,192,0.84 [0.49-1.43],0.5160222712436067
TPSG1,Tryptase gamma,Chapter II Neoplasms,Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs,43397,151,1.21 [0.70-2.09],0.4841925271890478
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Haemangioma and lymphangioma, any site",43298,89,1.84 [1.05-3.21],0.0327550646181021
TPSG1,Tryptase gamma,Chapter II Neoplasms,"Haemangioma, any site",43303,88,1.87 [1.08-3.26],0.0259011791411259
TPSG1,Tryptase gamma,Chapter II Neoplasms,Melanocytic naevi,43147,336,1.11 [0.77-1.62],0.5768820410209614
TPSG1,Tryptase gamma,Chapter II Neoplasms,Melanocytic naevi of other and unspecified parts of face,43412,152,1.51 [0.93-2.44],0.0925358734110293
TPSG1,Tryptase gamma,Chapter II Neoplasms,Other benign neoplasms of skin,43222,301,0.74 [0.48-1.14],0.1711748924251193
TPSG1,Tryptase gamma,Chapter II Neoplasms,Benign neoplasm of breast,23464,116,0.68 [0.33-1.39],0.2927084408448747
TPSG1,Tryptase gamma,Chapter II Neoplasms,Leiomyoma of uterus,23049,854,1.10 [0.87-1.40],0.4245159266292566
TPSG1,Tryptase gamma,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified iron deficiency,41342,321,0.99 [0.66-1.48],0.9676665976039048
TPSG1,Tryptase gamma,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other anaemias,40810,566,0.88 [0.64-1.20],0.410624355813736
TPSG1,Tryptase gamma,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Other and unspecified anaemias,40810,566,0.88 [0.64-1.20],0.410624355813736
