Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CA3,Carbonic anhydrase 3,Chapter I Certain infectious and parasitic diseases,Implicit bacterial Sepsis,19862,244,1.55 [1.30-1.84],8.968074153216683e-07
CA3,Carbonic anhydrase 3,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,15321,828,1.37 [1.24-1.52],1.657533928186869e-09
CA3,Carbonic anhydrase 3,Chapter I Certain infectious and parasitic diseases,Other bacterial diseases,22759,122,1.63 [1.29-2.06],4.302116823723421e-05
CA3,Carbonic anhydrase 3,Chapter I Certain infectious and parasitic diseases,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,22337,153,1.67 [1.35-2.06],1.5804354505363766e-06
CA3,Carbonic anhydrase 3,Chapter I Certain infectious and parasitic diseases,Condition for Implicit Sepsis (Organ dysfunction codes),20133,517,1.32 [1.17-1.50],1.2097896533160591e-05
CA3,Carbonic anhydrase 3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,21161,151,1.97 [1.61-2.42],8.793656955800884e-11
CA3,Carbonic anhydrase 3,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes without complications,21145,135,1.95 [1.57-2.42],1.799218512410782e-09
CA3,Carbonic anhydrase 3,Chapter VI Diseases of the nervous system,Neurological diseases,20280,1332,1.33 [1.22-1.44],7.085281793890538e-12
CA3,Carbonic anhydrase 3,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,16165,3800,1.16 [1.09-1.23],9.748900259444774e-07
CA3,Carbonic anhydrase 3,Chapter IX Diseases of the circulatory system,"Hypertension, essential",17061,2482,1.17 [1.09-1.25],1.1138144598487234e-05
CA3,Carbonic anhydrase 3,Chapter IX Diseases of the circulatory system,Hypertension,17108,2529,1.18 [1.10-1.26],2.0334302008445314e-06
CA3,Carbonic anhydrase 3,Chapter IX Diseases of the circulatory system,Hypertensive Renal Disease,14690,111,2.30 [1.82-2.92],4.910022953366184e-12
CA3,Carbonic anhydrase 3,Chapter IX Diseases of the circulatory system,Cardiomyopathy,18742,79,1.83 [1.37-2.44],3.730864533036506e-05
CA3,Carbonic anhydrase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Diseases of the musculoskeletal system and connective tissue,17679,3594,1.12 [1.06-1.18],9.271333478102592e-05
CA3,Carbonic anhydrase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylopathies,21190,286,1.51 [1.29-1.77],5.420693339380206e-07
CA3,Carbonic anhydrase 3,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylosis,21067,163,1.63 [1.32-2.01],4.81074641614888e-06
CA3,Carbonic anhydrase 3,Chapter XIV Diseases of the genitourinary system,Genitourinary diseases,18374,2399,1.23 [1.15-1.31],3.093294657736519e-10
CA3,Carbonic anhydrase 3,Chapter XIV Diseases of the genitourinary system,Renal tubulo-interstitial diseases,21129,308,1.90 [1.64-2.20],1.3539457502938446e-17
CA3,Carbonic anhydrase 3,Chapter XIV Diseases of the genitourinary system,Acute renal failure,21165,76,1.98 [1.49-2.64],3.286993183194782e-06
CA3,Carbonic anhydrase 3,Chapter XIV Diseases of the genitourinary system,Chronic kidney disease,21181,92,2.46 [1.93-3.15],4.698998502623867e-13
CA3,Carbonic anhydrase 3,Chapter XIV Diseases of the genitourinary system,Unspecified kidney failure,21181,92,2.60 [2.04-3.31],8.684903037844133e-15
