Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
IL7,Interleukin-7,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,21448,693,0.82 [0.73-0.92],0.0006244957224188
IL7,Interleukin-7,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,21422,667,0.81 [0.72-0.91],0.0003510595254309
IL7,Interleukin-7,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,21933,174,0.65 [0.51-0.83],0.0004864564149283
IL7,Interleukin-7,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",21933,173,0.65 [0.51-0.83],0.0005706733544929
IL7,Interleukin-7,Chapter VI Diseases of the nervous system,Epilepsy,21969,163,0.66 [0.53-0.82],0.0002235441104559
IL7,Interleukin-7,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,15978,3754,0.90 [0.85-0.95],0.0002113239969096
IL7,Interleukin-7,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",20969,1665,0.81 [0.75-0.87],2.39501461720768e-08
IL7,Interleukin-7,Chapter IX Diseases of the circulatory system,Angina pectoris,20233,929,0.76 [0.69-0.83],1.5582871398372026e-08
IL7,Interleukin-7,Chapter IX Diseases of the circulatory system,Major coronary heart disease event,22644,730,0.83 [0.75-0.93],0.0007958498313349
IL7,Interleukin-7,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",19803,499,0.80 [0.70-0.91],0.0005700519458364
IL7,Interleukin-7,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,20703,1422,0.81 [0.75-0.88],3.298021513051676e-07
IL7,Interleukin-7,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,18576,129,0.59 [0.46-0.77],6.653930857691754e-05
IL7,Interleukin-7,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Rheumatoid arthritis,16985,88,1.70 [1.29-2.23],0.0001616415646101
IL7,Interleukin-7,Chapter XIII Diseases of the musculoskeletal system and connective tissue,"Other (seronegative) rheumatoid arthritis, wide",23422,85,1.64 [1.24-2.17],0.0004993796156994
IL7,Interleukin-7,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other/unspecified rheumatoid arthritis,23427,75,1.80 [1.34-2.41],8.985668854282368e-05
