Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
NADK,NAD kinase,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Glaucoma,23058,99,1.49 [1.18-1.89],0.0008677167717249
NADK,NAD kinase,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,15996,3767,1.18 [1.11-1.26],3.688690954808665e-07
NADK,NAD kinase,Chapter IX Diseases of the circulatory system,"Hypertension, essential",16890,2464,1.22 [1.13-1.31],6.437885536962817e-08
NADK,NAD kinase,Chapter IX Diseases of the circulatory system,Hypertension,16936,2510,1.21 [1.13-1.30],1.3772837193340796e-07
NADK,NAD kinase,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",20997,1675,1.14 [1.06-1.23],0.0008122584035445
NADK,NAD kinase,Chapter IX Diseases of the circulatory system,"Stroke, excluding SAH",22706,164,1.39 [1.15-1.68],0.0007313996253194
NADK,NAD kinase,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,18471,2009,1.16 [1.08-1.24],3.710487732101184e-05
NADK,NAD kinase,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,21186,856,1.21 [1.09-1.33],0.0001906267534856
NADK,NAD kinase,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,23281,97,1.57 [1.26-1.96],7.264548537186628e-05
NADK,NAD kinase,Chapter X Diseases of the respiratory system,Interstitial lung disease,22545,77,1.69 [1.34-2.13],1.022882992997373e-05
NADK,NAD kinase,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",23363,77,1.69 [1.34-2.13],1.100703344987876e-05
NADK,NAD kinase,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,22538,70,1.67 [1.31-2.14],3.27775973299444e-05
NADK,NAD kinase,Chapter X Diseases of the respiratory system,Other diseases of pleura,21541,284,1.32 [1.13-1.54],0.0005050902409933
NADK,NAD kinase,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Systemic lupus erythematosus,23416,33,1.73 [1.26-2.38],0.0007189005305824
