Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
OLFM4,Olfactomedin-4,Chapter I Certain infectious and parasitic diseases,Implicit Sepsis,12376,635,1.13 [1.06-1.21],0.0004119528146238
OLFM4,Olfactomedin-4,"Chapter IV Endocrine, nutritional and metabolic diseases",Metabolic disorders,15200,1128,1.11 [1.06-1.17],4.470606652478434e-05
OLFM4,Olfactomedin-4,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 1 diabetes,17070,110,1.32 [1.12-1.54],0.0006967195682635
OLFM4,Olfactomedin-4,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes,17506,546,1.41 [1.31-1.52],6.541127968953954e-19
OLFM4,Olfactomedin-4,"Chapter IV Endocrine, nutritional and metabolic diseases",Type 2 diabetes without complications,17492,532,1.42 [1.32-1.54],4.177275849234925e-19
OLFM4,Olfactomedin-4,"Chapter IV Endocrine, nutritional and metabolic diseases",Disorders of lipoprotein metabolism and other lipidaemias,15079,1007,1.10 [1.04-1.16],0.0008667582363232
OLFM4,Olfactomedin-4,Chapter V Mental and behavioural disorders,Any mental disorder,16484,568,1.17 [1.09-1.25],1.1707719607209865e-05
OLFM4,Olfactomedin-4,Chapter V Mental and behavioural disorders,"Substance abuse, excluding more controls",16203,287,1.21 [1.10-1.33],0.0001436049728961
OLFM4,Olfactomedin-4,Chapter V Mental and behavioural disorders,"Mental and behavioural disorders due to alcohol, excluding acute intoxication",18888,217,1.20 [1.08-1.34],0.0008896474837175
OLFM4,Olfactomedin-4,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,13044,2980,1.07 [1.03-1.11],0.0007070689821583
OLFM4,Olfactomedin-4,Chapter IX Diseases of the circulatory system,"Hypertension, essential",13790,1938,1.11 [1.07-1.16],7.459780256714941e-07
OLFM4,Olfactomedin-4,Chapter IX Diseases of the circulatory system,Hypertension,13816,1964,1.11 [1.07-1.16],5.887028274603476e-07
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,Diseases of the respiratory system,15108,1641,1.09 [1.04-1.13],0.0001246485584975
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,Chronic lower respiratory diseases,17281,693,1.13 [1.06-1.21],8.861196165349708e-05
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,Early onset COPD,18280,157,1.34 [1.17-1.52],1.287539527296867e-05
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,"COPD, hospital admissions 1, only main diagnosis",18303,180,1.36 [1.21-1.54],6.799895742080818e-07
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,"Other chronic obstructive pulmonary disease, including avohilmo",18303,180,1.36 [1.21-1.54],6.799895742080818e-07
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,Asthma,13155,535,1.14 [1.06-1.22],0.00047320794875
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,"Asthma, excluding more controls",12878,535,1.14 [1.06-1.22],0.0003674376113906
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,"Asthma, unspecified (mode)",13145,525,1.14 [1.06-1.22],0.0003657075949308
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,18972,91,1.44 [1.22-1.71],2.334800373864929e-05
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,Interstitial lung disease,18358,72,1.52 [1.26-1.84],1.3910949042217006e-05
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",19037,72,1.53 [1.26-1.85],1.1967920191928302e-05
OLFM4,Olfactomedin-4,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,18352,66,1.48 [1.21-1.80],0.0001254352334942
