Protein,Protein_definition,Disease_category,Disease,NB_individual,NB_case,OR[95%CI],P_value
CMIP,C-Maf-inducing protein,Chapter I Certain infectious and parasitic diseases,Other septicaemia,19449,67,0.74 [0.56-0.98],0.0388941020435241
CMIP,C-Maf-inducing protein,"Chapter IV Endocrine, nutritional and metabolic diseases",Obesity,18977,142,0.80 [0.65-0.99],0.0377613228615999
CMIP,C-Maf-inducing protein,"Chapter IV Endocrine, nutritional and metabolic diseases","Obesity, other/unspecified",18978,142,0.80 [0.65-0.99],0.039486934346311
CMIP,C-Maf-inducing protein,Chapter VI Diseases of the nervous system,Epilepsy,19028,140,0.74 [0.61-0.91],0.0032624507952223
CMIP,C-Maf-inducing protein,Chapter VI Diseases of the nervous system,Other neurological diseases,20055,103,0.76 [0.61-0.96],0.0220559634684829
CMIP,C-Maf-inducing protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Disorders of choroid and retina,19647,198,1.19 [1.01-1.40],0.0334637680942656
CMIP,C-Maf-inducing protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Background diabetic retinopathy,20128,40,1.65 [1.17-2.35],0.0048081698733975
CMIP,C-Maf-inducing protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process",Diabetic maculopathy,2223,40,1.61 [1.13-2.31],0.0091219364992813
CMIP,C-Maf-inducing protein,"Chapter VII Diseases of the eye, adnexa, ear and mastoid process","Diabetic maculopathy, excluding more controls",17945,40,1.64 [1.15-2.33],0.0057527038315336
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,Death due to cardiac causes,13775,3146,0.90 [0.85-0.95],8.055966489524512e-05
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,"Ischaemic heart disease, wide definition",18146,1391,0.89 [0.83-0.95],0.0004987584970595
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,Angina pectoris,17524,769,0.85 [0.78-0.93],0.0002860604949046
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,"Myocardial infarction, strict",17170,415,0.87 [0.77-0.98],0.0181620580045005
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,Coronary atherosclerosis,17921,1187,0.89 [0.83-0.96],0.0021302497189801
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,Pulmonary embolism,19731,104,0.78 [0.62-0.99],0.0382509337095663
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,Conduction disorders,16158,141,0.71 [0.58-0.87],0.0008556384207321
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,Paroxysmal tachycardia,10162,115,0.74 [0.59-0.93],0.0087073971755788
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,Atrial fibrillation and flutter,10565,518,0.78 [0.70-0.88],1.999040633766092e-05
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,Other or ill-defined heart diseases,16132,115,0.62 [0.50-0.78],3.941550882751212e-05
CMIP,C-Maf-inducing protein,Chapter IX Diseases of the circulatory system,Other diseases of arteries and capillaries,19300,69,0.73 [0.55-0.97],0.0287215490825526
CMIP,C-Maf-inducing protein,Chapter X Diseases of the respiratory system,Early onset COPD,19347,169,0.81 [0.68-0.97],0.0219116254816628
CMIP,C-Maf-inducing protein,Chapter X Diseases of the respiratory system,Other respiratory diseases principally affecting the interstitium,20094,98,0.71 [0.56-0.91],0.0060851070650388
CMIP,C-Maf-inducing protein,Chapter X Diseases of the respiratory system,Interstitial lung disease,19444,77,0.74 [0.56-0.97],0.02679515206808
CMIP,C-Maf-inducing protein,Chapter X Diseases of the respiratory system,"ILD, hospital admissions",20167,77,0.74 [0.56-0.97],0.0271877468417104
CMIP,C-Maf-inducing protein,Chapter X Diseases of the respiratory system,Idiopathic pulmonary fibrosis,19438,71,0.68 [0.51-0.90],0.0080640805728533
CMIP,C-Maf-inducing protein,Chapter XI Diseases of the digestive system,Other disorders of teeth and supporting structures,19815,67,0.66 [0.49-0.89],0.0055800172616872
CMIP,C-Maf-inducing protein,Chapter XI Diseases of the digestive system,"Diseases of oesophagus, stomach and duodenum",17165,1719,0.93 [0.88-0.99],0.0150965565283738
CMIP,C-Maf-inducing protein,Chapter XI Diseases of the digestive system,Gastro-oesophageal reflux disease,16017,571,0.90 [0.81-0.99],0.0270956893948873
CMIP,C-Maf-inducing protein,Chapter XI Diseases of the digestive system,Other diseases of stomach and duodenum,15589,143,0.79 [0.65-0.97],0.0222481325622438
CMIP,C-Maf-inducing protein,Chapter XI Diseases of the digestive system,Ventral hernia,15799,81,0.76 [0.59-0.99],0.0409436988641891
CMIP,C-Maf-inducing protein,Chapter XI Diseases of the digestive system,Diseases of liver,19741,121,0.72 [0.58-0.88],0.001965867176057
CMIP,C-Maf-inducing protein,Chapter XI Diseases of the digestive system,Other diseases of liver,19689,69,0.72 [0.54-0.95],0.0198455282295835
CMIP,C-Maf-inducing protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Other specified/unspecified arthritis,14755,138,0.73 [0.59-0.89],0.0021888233648575
CMIP,C-Maf-inducing protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spondylopathies,18152,251,0.84 [0.72-0.97],0.0206825412744476
CMIP,C-Maf-inducing protein,Chapter XIII Diseases of the musculoskeletal system and connective tissue,Spinal stenosis,17982,81,0.76 [0.59-0.99],0.0419237096613315
